Station,Date,Depth,Parameter,Value,Unit,VQ
17,'10/31/2002',NaN,Salinity,NaN,ppth,NA
90,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.076,mg/l,NA
90,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.26,mg/l,NA
90,'10/31/2002',NaN,pH,7.5,None,NA
90,'10/31/2002',NaN,Salinity,13.3,ppth,NA
90,'10/31/2002',NaN,Phosphorus as P,0.101,mg/l,NA
90,'10/31/2002',NaN,"Temperature, water",33.6,deg C,NA
90,'10/31/2002',NaN,Dissolved oxygen (DO),4.91,mg/l,NA
90,'10/31/2002',NaN,"Nitrogen, Kjeldahl",1.13,mg/l,NA
90,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
90,'10/31/2002',NaN,Turbidity,NaN,NTU,NA
90,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",1.79,mg/m3,NA
47,'10/31/2002',NaN,Salinity,35.1,ppth,NA
47,'10/31/2002',NaN,"Nitrogen, Kjeldahl",0.444,mg/l,NA
47,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
47,'10/31/2002',NaN,Dissolved oxygen (DO),4.24,mg/l,NA
47,'10/31/2002',NaN,pH,7.69,None,NA
47,'10/31/2002',NaN,Phosphorus as P,0.075,mg/l,NA
47,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",1.4,mg/m3,NA
47,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,mg/l,NA
47,'10/31/2002',NaN,"Temperature, water",29.6,deg C,NA
47,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",NaN,mg/l,NA
47,'10/31/2002',NaN,Turbidity,NaN,NTU,NA
41,'10/31/2002',NaN,pH,7.67,None,NA
41,'10/31/2002',NaN,pH,2.48,None,NA
41,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",3.21,mg/m3,NA
41,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",NaN,mg/l,NA
41,'10/31/2002',NaN,Turbidity,NaN,NTU,NA
41,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.443,mg/l,NA
41,'10/31/2002',NaN,Phosphorus as P,NaN,mg/l,NA
41,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
41,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,mg/l,NA
41,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,mg/l,NA
41,'10/31/2002',NaN,Salinity,32.3,ppth,NA
41,'10/31/2002',NaN,Phosphorus as P,0.075,mg/l,NA
41,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",7.67,mg/l,NA
41,'10/31/2002',NaN,Salinity,29.4,ppth,NA
41,'10/31/2002',NaN,"Temperature, water",120,deg C,NA
41,'10/31/2002',NaN,Dissolved oxygen (DO),5.5,mg/l,NA
41,'10/31/2002',NaN,"Nitrogen, Kjeldahl",0.49,mg/l,NA
41,'10/31/2002',NaN,Dissolved oxygen (DO),5.67,mg/l,NA
41,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",5.15,mg/m3,NA
41,'10/31/2002',NaN,"Nitrogen, Kjeldahl",0.546,mg/l,NA
41,'10/31/2002',NaN,Turbidity,NaN,NTU,NA
41,'10/31/2002',NaN,"Temperature, water",29.3,deg C,NA
40,'10/31/2002',NaN,pH,7.6,None,NA
40,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,mg/l,NA
40,'10/31/2002',NaN,"Nitrogen, Kjeldahl",0.433,mg/l,NA
40,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",1.47,mg/m3,NA
40,'10/31/2002',NaN,Salinity,33.9,ppth,NA
40,'10/31/2002',NaN,Turbidity,1.8,NTU,NA
40,'10/31/2002',NaN,Phosphorus as P,0.0709,mg/l,NA
40,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.0392,mg/l,NA
40,'10/31/2002',NaN,Dissolved oxygen (DO),4.52,mg/l,NA
40,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
40,'10/31/2002',NaN,"Temperature, water",29.7,deg C,NA
38,'10/31/2002',NaN,Salinity,35.4,ppth,NA
38,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,mg/l,NA
38,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",1.58,mg/m3,NA
38,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
38,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",NaN,mg/l,NA
38,'10/31/2002',NaN,"Temperature, water",29.2,deg C,NA
38,'10/31/2002',NaN,pH,7.93,None,NA
38,'10/31/2002',NaN,Phosphorus as P,0.0712,mg/l,NA
