Org ID|Org Name|Station ID|WBID|Act Date|Act Time|Act Type|Act Category|Act Depth|Depth Units|Relative Depth|Characteristic|Result Value|Result Units|VQ|Analysis Date|Analysis Time|Procedure Name|Comment|Sample Fraction|MDL|MDL Units|PQL|Medium|Matrix
21FLBROW|Broward County Environmental Protection Department|12|3273|01/31/2017|11:40:00 AM|Field Msr/Obs|Routine Msr/Obs|0.50|m||Specific conductance|570|umho/cm||01/31/2017|11:40:00 AM|120.1|||1|umho/cm|4|Water|Surface Water
21FLBROW|Broward County Environmental Protection Department|12|3273|01/31/2017|11:40:00 AM|Field Msr/Obs|Routine Msr/Obs|0.50|m||pH|7.96|None||01/31/2017|11:40:00 AM|150.1||Total|0|None|0|Water|Surface Water
21FLBROW|Broward County Environmental Protection Department|12|3273|01/31/2017|11:40:00 AM|Field Msr/Obs|Routine Msr/Obs|0.50|m||Salinity|0.28|ppth||01/31/2017|11:40:00 AM|2520-B||Total|0.025|ppth|0.1|Water|Surface Water
21FLBROW|Broward County Environmental Protection Department|12|3273|01/31/2017|11:40:00 AM|Sample|Routine Sample|0.50|m||Fecal Coliform|10|#/100ml|B|02/02/2017|04:20:00 PM|9222-D||Total||||Water|Surface Water
21FLBROW|Broward County Environmental Protection Department|12|3273|01/31/2017|11:40:00 AM|Field Msr/Obs|Routine Msr/Obs|0.50|m||Temperature, water|20.2|deg C||01/31/2017|11:40:00 AM|170.1|||0|deg C|0|Water|Surface Water
21FLBROW|Broward County Environmental Protection Department|12|3273|01/31/2017|11:40:00 AM|Field Msr/Obs|Routine Msr/Obs|0.50|m||Dissolved oxygen (DO)|8.36|mg/l||01/31/2017|11:40:00 AM|360.1||Total|0.05|mg/l|0.2|Water|Surface Water
21FLBROW|Broward County Environmental Protection Department|8|3270|01/31/2017|11:10:00 AM|Field Msr/Obs|Routine Msr/Obs|0.50|m||Specific conductance|730|umho/cm||01/31/2017|11:10:00 AM|120.1|||1|umho/cm|4|Water|Surface Water
21FLBROW|Broward County Environmental Protection Department|8|3270|01/31/2017|11:10:00 AM|Field Msr/Obs|Routine Msr/Obs|0.50|m||pH|7.81|None||01/31/2017|11:10:00 AM|150.1||Total|0|None|0|Water|Surface Water
21FLBROW|Broward County Environmental Protection Department|8|3270|01/31/2017|11:10:00 AM|Field Msr/Obs|Routine Msr/Obs|0.50|m||Dissolved oxygen (DO)|6.36|mg/l||01/31/2017|11:10:00 AM|360.1||Total|0.05|mg/l|0.2|Water|Surface Water
21FLBROW|Broward County Environmental Protection Department|8|3270|01/31/2017|11:10:00 AM|Field Msr/Obs|Routine Msr/Obs|0.50|m||Salinity|0.36|ppth||01/31/2017|11:10:00 AM|2520-B||Total|0.025|ppth|0.1|Water|Surface Water
21FLBROW|Broward County Environmental Protection Department|8|3270|01/31/2017|11:10:00 AM|Sample|Routine Sample|0.50|m||Fecal Coliform|55|#/100ml|B|02/02/2017|04:20:00 PM|9222-D||Total||||Water|Surface Water
21FLBROW|Broward County Environmental Protection Department|8|3270|01/31/2017|11:10:00 AM|Field Msr/Obs|Routine Msr/Obs|0.50|m||Temperature, water|19.8|deg C||01/31/2017|11:10:00 AM|170.1|||0|deg C|0|Water|Surface Water
21FLBROW|Broward County Environmental Protection Department|110|3271|01/31/2017|10:45:00 AM|Field Msr/Obs|Routine Msr/Obs|0.50|m||Temperature, water|19|deg C||01/31/2017|10:45:00 AM|170.1|||0|deg C|0|Water|Surface Water
21FLBROW|Broward County Environmental Protection Department|110|3271|01/31/2017|10:45:00 AM|Field Msr/Obs|Routine Msr/Obs|0.50|m||pH|8.24|None||01/31/2017|10:45:00 AM|150.1||Total|0|None|0|Water|Surface Water
