Org ID|Org Name|Station ID|WBID|Act Date|Act Time|Act Type|Act Category|Act Depth|Depth Units|Relative Depth|Characteristic|Result Value|Result Units|VQ|Analysis Date|Analysis Time|Procedure Name|Comment|Sample Fraction|MDL|MDL Units|PQL|Medium|Matrix
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:40:00 AM|Sample|Routine Sample||||Phosphorus, orthophosphate as PO4|0.002|mg/l|I!|07/09/2015|02:58:00 PM|365.1||Total|0.002|mg/l|0.008|Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:40:00 AM|Sample|Routine Sample||||Nitrogen, ammonia (NH3) as NH3|0.08|mg/l||07/24/2015|11:42:00 AM|350.1||Total|0.01|mg/l|0.04|Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:40:00 AM|Sample|Routine Sample|0.1|m||Fecal Coliform|1000|cfu/100ml|B|07/10/2015|05:00:00 PM|9222-D||Total|1|cfu/100ml|1|Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:40:00 AM|Sample|Routine Sample||||Turbidity|0.2|NTU|I|07/10/2015|09:31:00 AM|180.1||Total|0.1|NTU|0.4|Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:40:00 AM|Sample|Routine Sample||||Phosphorus as PO4|0.006|mg/l|I|07/22/2015|01:21:00 PM|365.1||Total|0.002|mg/l|0.008|Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:40:00 AM|Sample|Routine Sample||||Nitrogen, Kjeldahl|0.14|mg/l|I|07/20/2015|05:39:00 PM|351.2||Total|0.08|mg/l|0.32|Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:40:00 AM|Sample|Routine Sample||||Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N|*Non-detect||U|07/27/2015|11:18:00 AM|353.2||Total|0.01|mg/l|0.04|Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:40:00 AM|Sample|Routine Sample|0.1|m||Chlorophyll a, free of pheophytin|0.27|ug/l|I|07/10/2015|01:24:00 PM|445||Total|0.16|ug/l|0.64|Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:38:00 AM|Field Msr/Obs|Replicate Msr/Obs|0.1|m||Specific conductance|56926|umho/cm|D|07/09/2015|11:38:00 AM|2510||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:38:00 AM|Field Msr/Obs|Replicate Msr/Obs|0.1|m||Dissolved oxygen saturation|98.4|%|D|07/09/2015|11:38:00 AM|4500-O-G||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:38:00 AM|Field Msr/Obs|Replicate Msr/Obs|0.1|m||pH|8.06|None|D|07/09/2015|11:38:00 AM|4500-H||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:38:00 AM|Field Msr/Obs|Replicate Msr/Obs|0.1|m||Salinity|37.71|ppth|D|07/09/2015|11:38:00 AM|2520-B||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:38:00 AM|Field Msr/Obs|Replicate Msr/Obs|0.1|m||Dissolved oxygen (DO)|6|mg/l|D|07/09/2015|11:38:00 AM|4500-O-G||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:38:00 AM|Field Msr/Obs|Replicate Msr/Obs|0.1|m||Temperature, water|30.51|deg C|D|07/09/2015|11:38:00 AM|2550||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:37:00 AM|Field Msr/Obs|Replicate Msr/Obs|0.5|m||Temperature, water|30.51|deg C|D|07/09/2015|11:37:00 AM|2550||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:37:00 AM|Field Msr/Obs|Replicate Msr/Obs|0.5|m||Dissolved oxygen saturation|98.7|%|D|07/09/2015|11:37:00 AM|4500-O-G||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:37:00 AM|Field Msr/Obs|Replicate Msr/Obs|0.5|m||pH|8.05|None|D|07/09/2015|11:37:00 AM|4500-H||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:37:00 AM|Field Msr/Obs|Replicate Msr/Obs|0.5|m||Dissolved oxygen (DO)|6.02|mg/l|D|07/09/2015|11:37:00 AM|4500-O-G||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:37:00 AM|Field Msr/Obs|Replicate Msr/Obs|0.5|m||Salinity|37.7|ppth|D|07/09/2015|11:37:00 AM|2520-B||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:37:00 AM|Field Msr/Obs|Replicate Msr/Obs|0.5|m||Specific conductance|56910|umho/cm|D|07/09/2015|11:37:00 AM|2510||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:35:00 AM|Field Msr/Obs|Routine Msr/Obs|1.844|m||Dissolved oxygen saturation|110.6|%|D!|07/09/2015|11:35:00 AM|4500-O-G|Results corrected as per field sheets|Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:35:00 AM|Field Msr/Obs|Routine Msr/Obs|1.844|m||Light attenuation coefficent|-0.2793|None|D|07/09/2015|11:48:00 AM|FP||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:35:00 AM|Field Msr/Obs|Routine Msr/Obs|1.844|m||Salinity|37.68|ppth|D|07/09/2015|11:35:00 AM|2520-B||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:35:00 AM|Field Msr/Obs|Routine Msr/Obs|1.844|m||Temperature, water|30.57|deg C|D|07/09/2015|11:35:00 AM|2550||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:35:00 AM|Field Msr/Obs|Routine Msr/Obs|1.844|m||Specific conductance|56881|umho/cm|D|07/09/2015|11:35:00 AM|2510||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:35:00 AM|Field Msr/Obs|Routine Msr/Obs|1.844|m||Dissolved oxygen (DO)|6.94|mg/l|D|07/09/2015|11:35:00 AM|4500-O-G||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:35:00 AM|Field Msr/Obs|Routine Msr/Obs|1.844|m||Depth|1.844|m|D|07/09/2015|11:35:00 AM|FP||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:35:00 AM|Field Msr/Obs|Routine Msr/Obs|1.844|m||pH|8.06|None|D|07/09/2015|11:35:00 AM|4500-H||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BISC127|6001|07/09/2015|11:15:00 AM|Sample|Routine Sample||||Phosphorus as PO4|0.005|mg/l|IJ|07/22/2015|01:10:00 PM|365.1|QJ16: Matrix spike duplicate recovery was outside laboratory control limit. The RPD between Matrix spike and spike duplicate is in acceptable range.|Total|0.002|mg/l|0.008|Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BISC127|6001|07/09/2015|11:15:00 AM|Sample|Routine Sample||||Nitrogen, ammonia (NH3) as NH3|0.09|mg/l||07/24/2015|11:43:00 AM|350.1||Total|0.01|mg/l|0.04|Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BISC127|6001|07/09/2015|11:15:00 AM|Sample|Routine Sample|0.1|m||Chlorophyll a, free of pheophytin|0.38|ug/l|I|07/10/2015|01:39:00 PM|445||Total|0.16|ug/l|0.64|Water|Surface Water
