Org ID|Org Name|Station ID|WBID|Act Date|Act Time|Act Type|Act Category|Act Depth|Depth Units|Relative Depth|Characteristic|Result Value|Result Units|VQ|Analysis Date|Analysis Time|Procedure Name|Comment|Sample Fraction|MDL|MDL Units|PQL|Medium|Matrix
21FLDADE|Dade Environmental Resource Management (Florida)|FBJB|3303G|12/20/1994|12:16:00 PM|Field Msr/Obs|Replicate Msr/Obs|0|m||Dissolved oxygen (DO)|8.16|mg/l||12/20/1994|12:16:00 PM|4500-O-G|D|Total||||Water|
21FLDADE|Dade Environmental Resource Management (Florida)|FBJB|3303G|12/20/1994|12:16:00 PM|Field Msr/Obs|Replicate Msr/Obs|0|m||Salinity|2.7|ppth||12/20/1994|12:16:00 PM|2520-B|D|Total||||Water|
21FLDADE|Dade Environmental Resource Management (Florida)|FBJB|3303G|12/20/1994|12:16:00 PM|Field Msr/Obs|Replicate Msr/Obs|0|m||Specific conductance|4960|umho/cm||12/20/1994|12:16:00 PM|2510|D|Total||||Water|
21FLDADE|Dade Environmental Resource Management (Florida)|FBJB|3303G|12/20/1994|12:16:00 PM|Field Msr/Obs|Replicate Msr/Obs|0|m||Temperature, water|22.09|deg C||12/20/1994|12:16:00 PM|2550|D|Total||||Water|
21FLDADE|Dade Environmental Resource Management (Florida)|FBJB|3303G|12/20/1994|12:16:00 PM|Field Msr/Obs|Replicate Msr/Obs|0|m||pH|8.26|None||12/20/1994|12:16:00 PM|4500-H|D|Total||||Water|
21FLDADE|Dade Environmental Resource Management (Florida)|FBJB|3303G|12/20/1994|12:16:00 PM|Field Msr/Obs|Replicate Msr/Obs|0|m||Oxidation reduction potential (ORP)|350|mV||12/20/1994|12:16:00 PM||D|Total||||Water|
21FLDADE|Dade Environmental Resource Management (Florida)|FBJB|3303G|12/20/1994|12:15:00 PM|Field Msr/Obs|Replicate Msr/Obs|.7|m||Depth|0.7|m||12/20/1994|12:15:00 PM||D|Total||||Water|
21FLDADE|Dade Environmental Resource Management (Florida)|FBJB|3303G|12/20/1994|12:15:00 PM|Field Msr/Obs|Replicate Msr/Obs|.7|m||Temperature, water|22.07|deg C||12/20/1994|12:15:00 PM|2550|D|Total||||Water|
21FLDADE|Dade Environmental Resource Management (Florida)|FBJB|3303G|12/20/1994|12:15:00 PM|Field Msr/Obs|Replicate Msr/Obs|.7|m||Specific conductance|4990|umho/cm||12/20/1994|12:15:00 PM|2510|D|Total||||Water|
21FLDADE|Dade Environmental Resource Management (Florida)|FBJB|3303G|12/20/1994|12:15:00 PM|Field Msr/Obs|Replicate Msr/Obs|.7|m||Salinity|2.7|ppth||12/20/1994|12:15:00 PM|2520-B|D|Total||||Water|
21FLDADE|Dade Environmental Resource Management (Florida)|FBJB|3303G|12/20/1994|12:15:00 PM|Field Msr/Obs|Replicate Msr/Obs|.7|m||pH|8.26|None||12/20/1994|12:15:00 PM|4500-H|D|Total||||Water|
21FLDADE|Dade Environmental Resource Management (Florida)|FBJB|3303G|12/20/1994|12:15:00 PM|Field Msr/Obs|Replicate Msr/Obs|.7|m||Oxidation reduction potential (ORP)|352|mV||12/20/1994|12:15:00 PM||D|Total||||Water|
21FLDADE|Dade Environmental Resource Management (Florida)|FBJB|3303G|12/20/1994|12:15:00 PM|Field Msr/Obs|Replicate Msr/Obs|.7|m||Dissolved oxygen (DO)|8.28|mg/l||12/20/1994|12:15:00 PM|4500-O-G|D|Total||||Water|
21FLDADE|Dade Environmental Resource Management (Florida)|FBTC|8078|12/20/1994|09:42:00 AM|Field Msr/Obs|Replicate Msr/Obs|.7|m||Depth|0.7|m||12/20/1994|09:42:00 AM||D|Total||||Water|
21FLDADE|Dade Environmental Resource Management (Florida)|FBTC|8078|12/20/1994|09:42:00 AM|Field Msr/Obs|Replicate Msr/Obs|.7|m||pH|7.92|None||12/20/1994|09:42:00 AM|4500-H|D|Total||||Water|
