Org ID|Org Name|Station ID|WBID|Act Date|Act Time|Act Type|Act Category|Act Depth|Depth Units|Relative Depth|Characteristic|Result Value|Result Units|VQ|Analysis Date|Analysis Time|Procedure Name|Comment|Sample Fraction|MDL|MDL Units|PQL|Medium|Matrix
21FLPBCH|Palm Beach County Environmental Resources Management Departm|18D|3226F1|11/02/2017|03:10:00 PM|Field Msr/Obs|Routine Msr/Obs|0.5|m||pH|9.06|None||11/02/2017|03:10:00 PM|FT_1100||||||Water|Surface Water
21FLPBCH|Palm Beach County Environmental Resources Management Departm|18D|3226F1|11/02/2017|03:10:00 PM|Sample|Routine Sample|0.5|m||Nitrogen, ammonia as N|0.0255|mg/l||11/14/2017|10:26:00 AM|353.2||Total|0.014|mg/l|0.042|Water|Surface Water
21FLPBCH|Palm Beach County Environmental Resources Management Departm|18D|3226F1|11/02/2017|03:10:00 PM|Sample|Routine Sample|0.5|m||Chlorophyll a, corrected for pheophytin|27.5|mg/m3||11/13/2017|11:00:00 AM|2540-D||Total|1|mg/m3|3|Water|Surface Water
21FLPBCH|Palm Beach County Environmental Resources Management Departm|18D|3226F1|11/02/2017|03:10:00 PM|Sample|Routine Sample|0.5|m||Phosphorus, orthophosphate as P|*Non-detect||U|11/03/2017|06:35:00 PM|365.3||Total|0.003|mg/l|0.009|Water|Surface Water
21FLPBCH|Palm Beach County Environmental Resources Management Departm|18D|3226F1|11/02/2017|03:10:00 PM|Sample|Routine Sample|0.5|m||Phosphorus as P|0.0629|mg/l||11/13/2017|02:43:00 PM|180.1||Total|0.00600|mg/l|0.20|Water|Surface Water
21FLPBCH|Palm Beach County Environmental Resources Management Departm|18D|3226F1|11/02/2017|03:10:00 PM|Sample|Routine Sample|0.5|m||Turbidity|9.1|NTU||11/03/2017|06:52:00 PM|351.2||Total|0.15|NTU|0.50|Water|Surface Water
21FLPBCH|Palm Beach County Environmental Resources Management Departm|18D|3226F1|11/02/2017|03:10:00 PM|Sample|Routine Sample|0.5|m||Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N|0.0886|mg/l||11/10/2017|10:39:00 AM|6010B||Total|0.019|mg/l|0.057|Water|Surface Water
21FLPBCH|Palm Beach County Environmental Resources Management Departm|18D|3226F1|11/02/2017|03:10:00 PM|Sample|Routine Sample|0.5|m||Nitrogen, Kjeldahl|0.521|mg/l||11/10/2017|11:59:00 AM|365.1||Total|0.07|mg/l|0.21|Water|Surface Water
21FLPBCH|Palm Beach County Environmental Resources Management Departm|18D|3226F1|11/02/2017|03:10:00 PM|Field Msr/Obs|Routine Msr/Obs|0.5|m||Temperature, water|25.2|deg C||11/02/2017|03:10:00 PM|FT_1400||||||Water|Surface Water
21FLPBCH|Palm Beach County Environmental Resources Management Departm|18D|3226F1|11/02/2017|03:10:00 PM|Field Msr/Obs|Routine Msr/Obs|0.5|m||Salinity|10.9|ppth||11/02/2017|03:10:00 PM|FT_1300||||||Water|Surface Water
