Requested report - WIN WAVES
ORGANIZATION ID = 21FLBBAPPROJECT ID - PROJECT NAME = JTDIEOFF - Julia Tuttle Die-Off MonitoringDEP ANALYTE GROUP = General Physical-Chemical | Biological | NutrientsDEP ANALYTE NAME - UNIT = Ammonia (N) - mg/L | Nitrogen- Total Kjeldahl - mg/L | Nitrate-Nitrite (N) - mg/L | pH - SU | Phosphorus- Total - mg/L | Salinity - PSU | Chlorophyll a, free of pheophytin - ug/L | Dissolved Oxygen - mg/L | Temperature, Water - deg C | Chlorophyll a- uncorrected - ug/L | Chlorophyll a- corrected - ug/L | Ammonia- Un-ionized (NH3) - mg/L
Report Run on APRIL 30, 2025The data you are accessing are from the WIN Warehouse.  The WIN Warehouse is refreshed on a weekly basis with new data that are submitted to WIN.  The refresh process occurs on the weekend; data uploaded to WIN through each Friday are available in the WIN Warehouse by the following Monday.  WIN replaces Florida STORET as an active data repository.  Florida STORET data are accessible through STORET Public Access (SPA).The following data met your selection criteria
"Organization ID"|"Monitoring Location ID"|"Org Decimal Latitude"|"Org Latitude (DD MM SS.SSSS)"|"Org Decimal Longitude"|"Org Longitude (DD MM SS.SSSS)"|"WBID"|"Activity ID"|"Activity Type"|"Activity Start Date Time"|"Matrix"|"Sample Collection Type"|"Sampling Agency Name"|"Activity Depth"|"Activity Depth Unit"|"Activity Top Depth"|"Activity Bottom Depth"|"Activity Depth Top Bottom Unit"|"DEP Result ID"|"DEP Analyte Name"|"DEP Result Value Number"|"DEP Result Value Text"|"DEP Result Unit"|"DEP MDL"|"DEP PQL"|"Value Qualifier"|"Sample Fraction"|"Lab ID"|"Result Comments"|"Audit Censored Decisions"
"21FLBBAP"|"WQ04"|"25.826"|""|"-80.1341"|""|"3226H6"|"WQ04-04/06/20"|"Sample"|"04/06/2020 12:35:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"FDEP BISCAYNE BAY AQUATIC PRESERVES"|"1.691"|"m"|""|""|""|"7190664"|"Nitrate-Nitrite (N)"|"0.007"|""|"mg/L"|"0.004"|"0.01"|"I"|"Total"|"E31780"|""|""
"21FLBBAP"|"WQ02"|"25.8533"|""|"-80.1455"|""|"3226H5"|"WQ02-05/05/20"|"Sample"|"05/05/2020 15:00:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"FDEP BISCAYNE BAY AQUATIC PRESERVES"|"1.676"|"m"|""|""|""|"7187465"|"Nitrogen- Total Kjeldahl"|"0.28"|""|"mg/L"|"0.16"|"0.4"|"I"|"Total"|"E31780"|""|""
"21FLBBAP"|"WQ02"|"25.8533"|""|"-80.1455"|""|"3226H5"|"WQ02-05/05/20"|"Sample"|"05/05/2020 15:00:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"FDEP BISCAYNE BAY AQUATIC PRESERVES"|"1.676"|"m"|""|""|""|"7186300"|"Phosphorus- Total"|"0.01"|""|"mg/L"|"0.004"|"0.01"|""|"Total"|"E31780"|""|""
"21FLBBAP"|"WQ04"|"25.826"|""|"-80.1341"|""|"3226H6"|"WQ04-04/06/20"|"Sample"|"04/06/2020 12:35:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"FDEP BISCAYNE BAY AQUATIC PRESERVES"|"1.691"|"m"|""|""|""|"7190134"|"Phosphorus- Total"|"0.011"|""|"mg/L"|"0.004"|"0.01"|""|"Total"|"E31780"|""|""
"21FLBBAP"|"WQ04"|"25.826"|""|"-80.1341"|""|"3226H6"|"WQ04-04/06/20"|"Sample"|"04/06/2020 12:35:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"FDEP BISCAYNE BAY AQUATIC PRESERVES"|"1.691"|"m"|""|""|""|"7190741"|"Ammonia (N)"|"0.01"|""|"mg/L"|"0.002"|"0.005"|""|"Total"|"E31780"|""|""
"21FLBBAP"|"WQ04"|"25.826"|""|"-80.1341"|""|"3226H6"|"WQ04-04/06/20"|"Sample"|"04/06/2020 12:35:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"FDEP BISCAYNE BAY AQUATIC PRESERVES"|"1.691"|"m"|""|""|""|"7189987"|"Nitrogen- Total Kjeldahl"|"0.26"|""|"mg/L"|"0.16"|"0.4"|"I"|"Total"|"E31780"|""|""
"21FLBBAP"|"WQ02"|"25.8533"|""|"-80.1455"|""|"3226H5"|"WQ02-05/05/20"|"Sample"|"05/05/2020 15:00:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"FDEP BISCAYNE BAY AQUATIC PRESERVES"|"1.676"|"m"|""|""|""|"7185772"|"Ammonia (N)"|"0.004"|""|"mg/L"|"0.002"|"0.005"|"I"|"Total"|"E31780"|""|""
"21FLBBAP"|"WQ02"|"25.8533"|""|"-80.1455"|""|"3226H5"|"WQ02-05/05/20"|"Sample"|"05/05/2020 15:00:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"FDEP BISCAYNE BAY AQUATIC PRESERVES"|"1.676"|"m"|""|""|""|"7189298"|"Nitrate-Nitrite (N)"|"0.004"|""|"mg/L"|"0.004"|"0.01"|"U"|"Total"|"E31780"|""|""
"21FLBBAP"|"WQ04"|"25.826"|""|"-80.1341"|""|"3226H6"|"WQ04-11/17/20-FP1"|"Field"|"11/17/2020 16:05:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"FDEP BISCAYNE BAY AQUATIC PRESERVES"|"2.007"|"m"|""|""|""|"7491715"|"Dissolved Oxygen"|"7.21"|""|"mg/L"|""|""|""|""|""|""|""
"21FLBBAP"|"WQ04"|"25.826"|""|"-80.1341"|""|"3226H6"|"WQ04-11/17/20-FP1"|"Field"|"11/17/2020 16:05:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"FDEP BISCAYNE BAY AQUATIC PRESERVES"|"2.007"|"m"|""|""|""|"7491834"|"pH"|"7.92"|""|"SU"|""|""|""|""|""|""|""
"21FLBBAP"|"JT61"|"25.8169"|""|"-80.1782"|""|"3226H6"|"JT61-11/16/20-FP1"|"Field"|"11/16/2020 13:25:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"FDEP BISCAYNE BAY AQUATIC PRESERVES"|"106.4"|"m"|""|""|""|"7492236"|"pH"|"7.8"|""|"SU"|""|""|""|""|""|""|""
"21FLBBAP"|"VR11"|"25.8047"|""|"-80.1794"|""|"3226H6"|"VR11-10/12/20"|"Sample"|"10/12/2020 09:00:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"FDEP BISCAYNE BAY AQUATIC PRESERVES"|"1381"|"m"|""|""|""|"7491049"|"Phosphorus- Total"|"0.01"|""|"mg/L"|"0.004"|"0.01"|""|"Total"|"E31780"|""|""
"21FLBBAP"|"VR11"|"25.8047"|""|"-80.1794"|""|"3226H6"|"VR11-10/12/20"|"Sample"|"10/12/2020 09:00:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"FDEP BISCAYNE BAY AQUATIC PRESERVES"|"1381"|"m"|""|""|""|"7491056"|"Nitrate-Nitrite (N)"|"0.033"|""|"mg/L"|"0.004"|"0.01"|""|"Total"|"E31780"|""|""
"21FLBBAP"|"VR11"|"25.8047"|""|"-80.1794"|""|"3226H6"|"VR11-10/12/20"|"Sample"|"10/12/2020 09:00:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"FDEP BISCAYNE BAY AQUATIC PRESERVES"|"1381"|"m"|""|""|""|"7491225"|"Chlorophyll a, free of pheophytin"|"1.1"|""|"ug/L"|"0.12"|"0.36"|""|"Total"|"E31780"|""|""
"21FLBBAP"|"VR11"|"25.8047"|""|"-80.1794"|""|"3226H6"|"VR11-10/12/20"|"Sample"|"10/12/2020 09:00:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"FDEP BISCAYNE BAY AQUATIC PRESERVES"|"1381"|"m"|""|""|""|"7491177"|"Nitrogen- Total Kjeldahl"|"0.35"|""|"mg/L"|"0.16"|"0.4"|"I"|"Total"|"E31780"|""|""
"21FLBBAP"|"JT61"|"25.8169"|""|"-80.1782"|""|"3226H6"|"JT61-11/16/20-FP1"|"Field"|"11/16/2020 13:25:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"FDEP BISCAYNE BAY AQUATIC PRESERVES"|"106.4"|"m"|""|""|""|"7492726"|"Temperature, Water"|"27.516"|""|"deg C"|""|""|""|""|""|""|""
"21FLBBAP"|"WQ04"|"25.826"|""|"-80.1341"|""|"3226H6"|"WQ04-11/17/20-FP1"|"Field"|"11/17/2020 16:05:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"FDEP BISCAYNE BAY AQUATIC PRESERVES"|"2.007"|"m"|""|""|""|"7493135"|"Temperature, Water"|"27.028"|""|"deg C"|""|""|""|""|""|""|""
"21FLBBAP"|"JT61"|"25.8169"|""|"-80.1782"|""|"3226H6"|"JT61-11/16/20-FP1"|"Field"|"11/16/2020 13:25:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"FDEP BISCAYNE BAY AQUATIC PRESERVES"|"106.4"|"m"|""|""|""|"7493476"|"Dissolved Oxygen"|"7.1"|""|"mg/L"|""|""|""|""|""|""|""
"21FLBBAP"|"VR11"|"25.8047"|""|"-80.1794"|""|"3226H6"|"VR11-10/12/20"|"Sample"|"10/12/2020 09:00:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"FDEP BISCAYNE BAY AQUATIC PRESERVES"|"1381"|"m"|""|""|""|"7491535"|"Ammonia (N)"|"0.034"|""|"mg/L"|"0.002"|"0.005"|""|"Total"|"E31780"|""|""
"21FLBBAP"|"LR05"|"25.871488"|""|"-80.231037"|""|"3287"|"LR05-07/07/20-FP1"|"Field"|"07/07/2020 12:10:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"FDEP BISCAYNE BAY AQUATIC PRESERVES"|"0.639"|"m"|""|""|""|"7185969"|"Dissolved Oxygen"|"1.67"|""|"mg/L"|""|""|""|""|""|""|""
"21FLBBAP"|"LR05"|"25.871488"|""|"-80.231037"|""|"3287"|"LR05-07/07/20"|"Sample"|"07/07/2020 12:10:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"FDEP BISCAYNE BAY AQUATIC PRESERVES"|"0.639"|"m"|""|""|""|"7186232"|"Ammonia (N)"|"0.25"|""|"mg/L"|"0.02"|"0.05"|""|"Total"|"E31780"|""|""
"21FLBBAP"|"DM08"|"25.8398"|""|"-80.1704"|""|"3226H6"|"DM08-07/07/20-FP1"|"Field"|"07/07/2020 16:55:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"FDEP BISCAYNE BAY AQUATIC PRESERVES"|"0.112"|"m"|""|""|""|"7186385"|"Temperature, Water"|"32.604"|""|"deg C"|""|""|""|""|""|""|""
