Requested report - WIN WAVES
ORGANIZATION ID = 21FLBROWPROJECT ID - PROJECT NAME = PROJ-001 - Surfacewater Quality Monitoring NetworkDEP ANALYTE GROUP = General Physical-Chemical | Biological | NutrientsDEP ANALYTE NAME - UNIT = Ammonia (N) - mg/L | Nitrogen- Total Kjeldahl - mg/L | Nitrate (N) - mg/L | Nitrate-Nitrite (N) - mg/L | Nitrite (N) - mg/L | Orthophosphate (P) - mg/L | pH - SU | Phosphorus- Total - mg/L | Salinity - PSU | Turbidity - NTU | Chlorophyll a, free of pheophytin - ug/L | Nitrogen- Total - mg/L | Silica (SiO2) - mg/L | Dissolved Oxygen - mg/L | Temperature, Water - deg C | Chlorophyll a- uncorrected - ug/L | Chlorophyll a- corrected - ug/L | Ammonia- Un-ionized (NH3) - mg/L | Silicate - mg/L
Report Run on MAY 27, 2025The data you are accessing are from the WIN Warehouse.  The WIN Warehouse is refreshed on a weekly basis with new data that are submitted to WIN.  The refresh process occurs on the weekend; data uploaded to WIN through each Friday are available in the WIN Warehouse by the following Monday.  WIN replaces Florida STORET as an active data repository.  Florida STORET data are accessible through STORET Public Access (SPA).The following data met your selection criteria
"Organization ID"|"Monitoring Location ID"|"Org Decimal Latitude"|"Org Latitude (DD MM SS.SSSS)"|"Org Decimal Longitude"|"Org Longitude (DD MM SS.SSSS)"|"WBID"|"Activity ID"|"Activity Type"|"Activity Start Date Time"|"Matrix"|"Sample Collection Type"|"Sampling Agency Name"|"Activity Depth"|"Activity Depth Unit"|"Activity Top Depth"|"Activity Bottom Depth"|"Activity Depth Top Bottom Unit"|"DEP Result ID"|"DEP Analyte Name"|"DEP Result Value Number"|"DEP Result Value Text"|"DEP Result Unit"|"DEP MDL"|"DEP PQL"|"Value Qualifier"|"Sample Fraction"|"Lab ID"|"Result Comments"|"Audit Censored Decisions"
"21FLBROW"|"4"|"26.35132"|""|"-80.28333"|""|"3264"|"190528-11:00-4F"|"Field"|"05/28/2019 11:00:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"BROWARD COUNTY DEP"|"0.5"|"m"|""|""|""|"6423800"|"Dissolved Oxygen"|"7.66"|""|"mg/L"|""|""|""|""|""|""|""
"21FLBROW"|"4"|"26.35132"|""|"-80.28333"|""|"3264"|"180829-11:20-4F"|"Field"|"08/29/2018 11:20:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"BROWARD COUNTY DEP"|"0.5"|"m"|""|""|""|"6429028"|"pH"|"7.36"|""|"SU"|""|""|""|""|""|"Chlorophyll a: J qualifier due to low precision (relative percent difference exceeds limits) between sample and associated field duplicate results (Reference PAL#2198). TP: J qualifier due to contamination in associated method blanks and continuing calibration blanks (reference PAL#223). NH3: J qualifier due to low associated matrix spike recovery. Result may have negative bias due to matrix effects (reference PAL#228)."|""
"21FLBROW"|"4"|"26.35132"|""|"-80.28333"|""|"3264"|"180829-11:20-4F"|"Field"|"08/29/2018 11:20:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"BROWARD COUNTY DEP"|"0.5"|"m"|""|""|""|"6429030"|"Dissolved Oxygen"|"2.75"|""|"mg/L"|""|""|""|""|""|"Chlorophyll a: J qualifier due to low precision (relative percent difference exceeds limits) between sample and associated field duplicate results (Reference PAL#2198). TP: J qualifier due to contamination in associated method blanks and continuing calibration blanks (reference PAL#223). NH3: J qualifier due to low associated matrix spike recovery. Result may have negative bias due to matrix effects (reference PAL#228)."|""
"21FLBROW"|"4"|"26.35132"|""|"-80.28333"|""|"3264"|"180829-11:20-4F"|"Field"|"08/29/2018 11:20:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"BROWARD COUNTY DEP"|"0.5"|"m"|""|""|""|"6432162"|"Salinity"|"0.31"|""|"PSU"|""|""|""|""|""|"Chlorophyll a: J qualifier due to low precision (relative percent difference exceeds limits) between sample and associated field duplicate results (Reference PAL#2198). TP: J qualifier due to contamination in associated method blanks and continuing calibration blanks (reference PAL#223). NH3: J qualifier due to low associated matrix spike recovery. Result may have negative bias due to matrix effects (reference PAL#228)."|""
"21FLBROW"|"15"|"26.1183"|""|"-80.14363"|""|"3277A"|"190925-11:35-15S"|"Sample"|"09/25/2019 11:35:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"BROWARD COUNTY DEP"|"0.5"|"m"|""|""|""|"6428943"|"Orthophosphate (P)"|"0.022"|""|"mg/L"|"0.003"|"0.012"|"Q"|"Dissolved"|"E46053"|""|""
"21FLBROW"|"5"|"26.22162"|""|"-80.10303"|""|"3226G1"|"170307-12:15-5S"|"Sample"|"03/07/2017 12:15:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"BROWARD COUNTY DEP"|"0.5"|"m"|""|""|""|"6425423"|"Ammonia (N)"|"0.026"|""|"mg/L"|"0.016"|"0.064"|"I"|"Dissolved"|"E46053"|"TP, TKN, TN, and TON data have been qualified with a ?, indicating that the presence or absence of the analyte cannot be accurately determined.  Do not use TP, TKN, TN, or TON data (reference PAL#272 and 273)."|""
"21FLBROW"|"5"|"26.22162"|""|"-80.10303"|""|"3226G1"|"170307-12:15-5S"|"Sample"|"03/07/2017 12:15:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"BROWARD COUNTY DEP"|"0.5"|"m"|""|""|""|"6430157"|"Phosphorus- Total"|"0.621"|""|"mg/L"|"0.008"|"0.032"|"?"|"Total"|"E46053"|"TP, TKN, TN, and TON data have been qualified with a ?, indicating that the presence or absence of the analyte cannot be accurately determined.  Do not use TP, TKN, TN, or TON data (reference PAL#272 and 273)."|""
"21FLBROW"|"24"|"26.0595"|""|"-80.14398"|""|"3277E"|"180827-10:10-24S"|"Sample"|"08/27/2018 10:10:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"BROWARD COUNTY DEP"|"0.5"|"m"|""|""|""|"6424070"|"Chlorophyll a- corrected"|"1.27"|""|"ug/L"|"0.136"|"0.544"|""|"Total"|"E46053"|""|""
"21FLBROW"|"24"|"26.0595"|""|"-80.14398"|""|"3277E"|"180827-10:10-24S"|"Sample"|"08/27/2018 10:10:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"BROWARD COUNTY DEP"|"0.5"|"m"|""|""|""|"6424085"|"Nitrate-Nitrite (N)"|"0.092"|""|"mg/L"|"0.006"|"0.024"|"?"|"Dissolved"|"E46053"|"TP: J qualifier due to contamination in associated method blanks and continuing calibration blanks (reference PAL#223)."|""
"21FLBROW"|"2"|"26.3277"|""|"-80.13158"|""|"3226F5"|"190909-10:40-2F"|"Field"|"09/09/2019 10:40:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"BROWARD COUNTY DEP"|"0.5"|"m"|""|""|""|"6424482"|"Salinity"|"0.29"|""|"PSU"|""|""|""|""|""|""|""
"21FLBROW"|"2"|"26.3277"|""|"-80.13158"|""|"3226F5"|"170711-10:00-2S"|"Sample"|"07/11/2017 10:00:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"BROWARD COUNTY DEP"|"0.5"|"m"|""|""|""|"6430832"|"Phosphorus- Total"|"0.025"|""|"mg/L"|"0.008"|"0.032"|"QI"|"Total"|"E46053"|""|""
"21FLBROW"|"5"|"26.22162"|""|"-80.10303"|""|"3226G1"|"170502-13:50-5S"|"Sample"|"05/02/2017 13:50:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"BROWARD COUNTY DEP"|"0.5"|"m"|""|""|""|"6424101"|"Ammonia (N)"|"0.053"|""|"mg/L"|"0.016"|"0.064"|"I"|"Dissolved"|"E46053"|""|""
"21FLBROW"|"89"|"26.229646"|""|"-80.281948"|""|"3270"|"170711-11:50-89S"|"Sample"|"07/11/2017 11:50:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"BROWARD COUNTY DEP"|"0.5"|"m"|""|""|""|"6423638"|"Chlorophyll a- corrected"|"2.56"|""|"ug/L"|"0.059"|"0.236"|""|"Total"|"E46053"|""|""
"21FLBROW"|"89"|"26.229646"|""|"-80.281948"|""|"3270"|"170711-11:50-89S"|"Sample"|"07/11/2017 11:50:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"BROWARD COUNTY DEP"|"0.5"|"m"|""|""|""|"6426404"|"Nitrogen- Total Kjeldahl"|"1.12"|""|"mg/L"|"0.053"|"0.212"|""|"Total"|"E46053"|""|""
"21FLBROW"|"89"|"26.229646"|""|"-80.281948"|""|"3270"|"170711-11:50-89S"|"Sample"|"07/11/2017 11:50:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"BROWARD COUNTY DEP"|"0.5"|"m"|""|""|""|"6426173"|"Phosphorus- Total"|"0.008"|""|"mg/L"|"0.008"|"0.032"|"QU"|"Total"|"E46053"|""|""
"21FLBROW"|"32"|"25.95677"|""|"-80.43062"|""|"3284"|"191113-10:55-32S"|"Sample"|"11/13/2019 10:55:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"BROWARD COUNTY DEP"|"0.5"|"m"|""|""|""|"6429930"|"Phosphorus- Total"|"0.015"|""|"mg/L"|"0.015"|"0.06"|"U"|"Total"|"E46053"|""|""
"21FLBROW"|"40"|"26.03485"|""|"-80.11713"|""|"3226G3"|"170503-10:20-40S"|"Sample"|"05/03/2017 10:20:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"BROWARD COUNTY DEP"|"0.5"|"m"|""|""|""|"6425130"|"Ammonia (N)"|"0.081"|""|"mg/L"|"0.016"|"0.064"|""|"Dissolved"|"E46053"|""|""
