Requested report - WIN WAVES
ORGANIZATION ID = 21FLPBCHPROJECT ID - PROJECT NAME = ERMWQ - PBC ERM Ambient Water Quality MonitoringDEP ANALYTE GROUP = General Physical-Chemical | Biological | NutrientsDEP ANALYTE NAME - UNIT = Ammonia (N) - mg/L | Nitrogen- Total Kjeldahl - mg/L | Nitrate (N) - mg/L | Nitrate-Nitrite (N) - mg/L | Nitrite (N) - mg/L | Orthophosphate (P) - mg/L | pH - SU | Phosphorus- Total - mg/L | Salinity - PSU | Turbidity - NTU | Chlorophyll a, free of pheophytin - ug/L | Nitrogen- Total - mg/L | Silica (SiO2) - mg/L | Dissolved Oxygen - mg/L | Temperature, Water - deg C | Chlorophyll a- uncorrected - ug/L | Chlorophyll a- corrected - ug/L
Report Run on APRIL 30, 2025The data you are accessing are from the WIN Warehouse.  The WIN Warehouse is refreshed on a weekly basis with new data that are submitted to WIN.  The refresh process occurs on the weekend; data uploaded to WIN through each Friday are available in the WIN Warehouse by the following Monday.  WIN replaces Florida STORET as an active data repository.  Florida STORET data are accessible through STORET Public Access (SPA).The following data met your selection criteria
"Organization ID"|"Monitoring Location ID"|"Org Decimal Latitude"|"Org Latitude (DD MM SS.SSSS)"|"Org Decimal Longitude"|"Org Longitude (DD MM SS.SSSS)"|"WBID"|"Activity ID"|"Activity Type"|"Activity Start Date Time"|"Matrix"|"Sample Collection Type"|"Sampling Agency Name"|"Activity Depth"|"Activity Depth Unit"|"Activity Top Depth"|"Activity Bottom Depth"|"Activity Depth Top Bottom Unit"|"DEP Result ID"|"DEP Analyte Name"|"DEP Result Value Number"|"DEP Result Value Text"|"DEP Result Unit"|"DEP MDL"|"DEP PQL"|"Value Qualifier"|"Sample Fraction"|"Lab ID"|"Result Comments"|"Audit Censored Decisions"
"21FLPBCH"|"43"|""|"26 39 51.82"|""|"-80 42 44.72"|"3248"|"0521202143E21215D3"|"Field"|"05/21/2021 11:30:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8457171"|"Temperature, Water"|"24.6"|""|"deg C"|""|""|""|""|""|""|""
"21FLPBCH"|"43"|""|"26 39 51.82"|""|"-80 42 44.72"|"3248"|"0521202143E21215D3"|"Field"|"05/21/2021 11:30:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8457195"|"Dissolved Oxygen"|"6.36"|""|"mg/L"|""|""|""|""|""|""|""
"21FLPBCH"|"43"|""|"26 39 51.82"|""|"-80 42 44.72"|"3248"|"0521202143E21215D3"|"Field"|"05/21/2021 11:30:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8457202"|"pH"|"7.87"|""|"SU"|""|""|""|""|""|""|""
"21FLPBCH"|"11"|""|"26 49 53.52"|""|"-80 3 36.84"|"3226E1"|"0429202111D3021S"|"Sample"|"04/29/2021 16:55:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8457500"|"Nitrate-Nitrite (N)"|"0.033"|""|"mg/L"|"0.033"|"0.05"|"U"|"Total"|"E84973"|""|""
"21FLPBCH"|"11"|""|"26 49 53.52"|""|"-80 3 36.84"|"3226E1"|"0429202111D3021S"|"Sample"|"04/29/2021 16:55:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8457503"|"Phosphorus- Total"|"0.038"|""|"mg/L"|"0.0028"|"0.004"|""|"Total"|"E84973"|""|""
"21FLPBCH"|"11"|""|"26 49 53.52"|""|"-80 3 36.84"|"3226E1"|"0429202111D3021S"|"Sample"|"04/29/2021 16:55:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8457507"|"Orthophosphate (P)"|"0.023"|""|"mg/L"|"0.0038"|"0.004"|""|"Total"|"E84973"|""|""
"21FLPBCH"|"11"|""|"26 49 53.52"|""|"-80 3 36.84"|"3226E1"|"0429202111D3021S"|"Sample"|"04/29/2021 16:55:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8457510"|"Ammonia (N)"|"0.035"|""|"mg/L"|"0.035"|"0.05"|"U"|"Total"|"E84973"|""|""
"21FLPBCH"|"11"|""|"26 49 53.52"|""|"-80 3 36.84"|"3226E1"|"0429202111D3021S"|"Sample"|"04/29/2021 16:55:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8457520"|"Chlorophyll a- corrected"|"1"|""|"ug/L"|"1"|"5"|"U"|"Total"|"E84973"|""|""
"21FLPBCH"|"11"|""|"26 49 53.52"|""|"-80 3 36.84"|"3226E1"|"0429202111D3021S"|"Sample"|"04/29/2021 16:55:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8457542"|"Nitrogen- Total Kjeldahl"|"0.24"|""|"mg/L"|"0.086"|"0.5"|"I"|"Total"|"E84973"|""|""
"21FLPBCH"|"11"|""|"26 49 53.52"|""|"-80 3 36.84"|"3226E1"|"0429202111D3021S"|"Sample"|"04/29/2021 16:55:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8457551"|"Turbidity"|"2.3"|""|"NTU"|"0.2"|"0.2"|""|""|"E84973"|""|""
