"","DEP.Result.ID","Activity.ID","year","month","day","time","Activity.Start.Date.Time","lat_deg","lat_min","Org.Decimal.Latitude","lon_deg","lon_min","Org.Decimal.Longitude","Monitoring.Location.ID","Activity.Type","Activity.Depth","Activity.Depth.Unit","Activity.Depth.Top.Bottom.Unit","Sample.Collection.Type","Activity.Top.Depth","Activity.Bottom.Depth","Value.Qualifier","Result.Comments","DEP.Analyte.Name","DEP.Result.Value.Number","DEP.Result.Unit","program","RowID","ProgramID","ProgramName","Habitat","IndicatorID","IndicatorName","ParameterID","ParameterName","ParameterUnits","ProgramLocationID","AreaID","ManagedAreaName","Region","ActivityType","SampleDate","ResultValue","Year","Month","ActivityDepth_m","RelativeDepth","TotalDepth_m","MDL","PQL","DetectionUnit","ValueQualifier","ValueQualifierSource","SampleFraction","ResultComments","OriginalLatitude","OriginalLongitude","SEACAR_QAQCFlagCode","SEACAR_QAQC_Description","Include","SEACAR_EventID","MADup","ExportVersion","data_source","CLIENT SAMPLE ID","LAB SAMPLE ID","MATRIX","COLLECTED","ANALYTE","SAMPLE RESULT","REPORTING LIMIT","UNITS","METHOD","DILUTION","ANALYZED","PREPARED","source_file","SAMPLE COLLECTION DATE","Organization.ID","Org.Latitude..DD.MM.SS.SSSS.","Org.Longitude..DD.MM.SS.SSSS.","WBID","Matrix","Sampling.Agency.Name","DEP.Result.Value.Text","DEP.MDL","DEP.PQL","Sample.Fraction","Lab.ID","Audit.Censored.Decisions"
"...1",NA,NA,NA,NA,NA,NA,"01/16/2024 12:00:00",NA,NA,NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","22","35854186017","Water","01/16/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","01/23/2024","01/23/2024","Results 1-16-2024.xls","1-16-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...2",NA,NA,NA,NA,NA,NA,"01/16/2024 12:00:00",NA,NA,NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.05,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","23","35854186018","Water","01/16/2024","Nitrogen, Ammonia","0.050","0.050","mg/L","350.1 Ammonia","1","01/23/2024","01/23/2024","Results 1-16-2024.xls","1-16-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...3",NA,NA,NA,NA,NA,NA,"01/16/2024 12:00:00",NA,NA,NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.21,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","24","35854186019","Water","01/16/2024","Nitrogen, Ammonia","0.21","0.050","mg/L","350.1 Ammonia","1","01/23/2024","01/23/2024","Results 1-16-2024.xls","1-16-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...4",NA,NA,NA,NA,NA,NA,"01/16/2024 12:00:00",NA,NA,NA,NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.044,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","25","35854186020","Water","01/16/2024","Nitrogen, Ammonia","0.044","0.050","mg/L","350.1 Ammonia","1","01/23/2024","01/23/2024","Results 1-16-2024.xls","1-16-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...5",NA,NA,NA,NA,NA,NA,"01/16/2024 12:00:00",NA,NA,NA,NA,NA,NA,"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","26","35854186001","Water","01/16/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","01/22/2024","01/22/2024","Results 1-16-2024.xls","1-16-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...6",NA,NA,NA,NA,NA,NA,"01/16/2024 12:00:00",NA,NA,NA,NA,NA,NA,"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.037,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","27","35854186002","Water","01/16/2024","Nitrogen, Ammonia","0.037","0.050","mg/L","350.1 Ammonia","1","01/22/2024","01/22/2024","Results 1-16-2024.xls","1-16-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...7",NA,NA,NA,NA,NA,NA,"01/16/2024 12:00:00",NA,NA,NA,NA,NA,NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.036,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","28","35854186003","Water","01/16/2024","Nitrogen, Ammonia","0.036","0.050","mg/L","350.1 Ammonia","1","01/22/2024","01/22/2024","Results 1-16-2024.xls","1-16-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...8",NA,NA,NA,NA,NA,NA,"01/16/2024 12:00:00",NA,NA,NA,NA,NA,NA,"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","29","35854186006","Water","01/16/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","01/23/2024","01/23/2024","Results 1-16-2024.xls","1-16-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...9",NA,NA,NA,NA,NA,NA,"01/16/2024 12:00:00",NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","30","35854186007","Water","01/16/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","01/23/2024","01/23/2024","Results 1-16-2024.xls","1-16-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...10",NA,NA,NA,NA,NA,NA,"01/16/2024 12:00:00",NA,NA,NA,NA,NA,NA,"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","31","35854186008","Water","01/16/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","01/23/2024","01/23/2024","Results 1-16-2024.xls","1-16-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
