"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation"
"1","BROWARD","1",-0.27,0.0296296296296296,0.0813220418028846,0.641185879737966,28,6.20464285714286,1.37,14.7,0.453338482249956
"2","BROWARD","10",0.19,0.130864197530864,0.179384846385155,0.135908397847371,28,3.995,1.34,13.7,0.728671069753738
"3","BROWARD","11",-0.736,-0.263555555555556,0.513634369102868,0.065320954083632,54,13.3540740740741,1.15,40.8,0.699455614180683
"4","BROWARD","110",1.295,0.306666666666667,0.0104757387122968,0.0157432588934541,28,10.9764285714286,1.77,27.8,0.560782624282695
"5","BROWARD","111",-0.49625,-0.361538461538461,0.722396421419967,0.175308080808274,28,7.32678571428571,1.47,18.9,0.646626692792321
"6","BROWARD","112",-0.21,-0.433333333333333,0.499106480302157,0.0591720678258594,27,4.56592592592593,1.03,11.7,0.669228069983115
"7","BROWARD","12",0.1899,0.3,0.691576199508389,0.251452186508022,28,3.41235714285714,0.547,10.3,0.803566134672754
"8","BROWARD","120",-0.859999999999999,-0.2,0.161424152824495,0.243977118090386,28,7.95607142857143,1.62,18.9,0.585577470328149
"9","BROWARD","121",-0.0945,-0.102040816326531,0.0494567451341872,0.792300725853227,55,10.2722909090909,0.136,38.9,0.933310649133661
"10","BROWARD","122",0.163,0.236904761904762,0.789916856134517,0.53424124385567,43,3.08041860465116,0.16,13,0.902419950973019
"11","BROWARD","123",-0.4745,-0.173913043478261,0.244146407841692,0.574551539027083,26,9.015,2.29,41,0.867722846422749
"12","BROWARD","124",0.0265000000000002,0.0429563492063492,0.0779912239229008,0.964518018090956,54,7.67688888888889,0.152,27.5,0.829098227134571
"13","BROWARD","125",-0.035,-0.08,0.487279533978229,1,26,4.19807692307692,1.22,10,0.620211200448306
"14","BROWARD","128",0.3325,0.28,0.638182971346887,0.768894485495812,21,6.45095238095238,1.14,28.6,0.950241585347411
"15","BROWARD","129",1.18,0.506666666666667,0.748187698674684,0.0779127039341392,21,9.93047619047619,1.16,26.4,0.656748337607697
"16","BROWARD","14",0.52525,0.515384615384615,0.977071606317341,0.0164886567276701,28,7.31428571428571,1.62,12,0.420534473889125
"17","BROWARD","15",-0.124,-0.173809523809524,0.393327601344236,0.100102439600073,43,3.00123255813953,0.675,13.5,0.792829912172625
"18","BROWARD","16",-0.253333333333333,-0.0173913043478261,0.382294084298878,0.770756305139485,26,14.915,1.7,42.9,0.685225836096169
