"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation","significant_trend"
"1","BBAP","BB14",-0.0275,-0.0862745098039216,0.340291368459339,0.497422307883388,52,NA,NA,NA,NA,NA
"2","BBAP","BH22",-0.175,-0.135714285714286,0.133400874393457,0.169794312720695,43,2.75906976744186,0.48,38,2.09002142338398,NA
"3","BBAP","CWA2",0.195,0.131578947368421,0.417089280662033,0.239677723218463,39,1.91794871794872,0.31,7.5,0.843355709832848,NA
"4","BBAP","CWA4",NA,NA,NA,NA,3,0.823333333333333,0.77,0.9,0.0826744042779844,NA
"5","BBAP","CWA5",0.015,-0.25,0.28284544911436,1,15,1.242,0.45,5.1,0.97382721452708,NA
"6","BBAP","DM00",NA,NA,NA,NA,2,1.015,0.83,1.2,0.257763063092633,NA
"7","BBAP","DM08",0.128,0.19452736318408,0.913248063158767,0.0706132376434146,67,3.18283582089552,0.1,28,1.43817796947633,NA
"8","BBAP","DM28",NA,NA,NA,NA,1,1.3,1.3,1.3,NA,NA
"9","BBAP","JFK03",0.115,0.159574468085106,0.80894567137131,0.281843947347675,49,NA,NA,NA,NA,NA
"10","BBAP","JT29",NA,NA,NA,NA,1,2.2,2.2,2.2,NA,NA
"11","BBAP","JT61",0.1,0.230769230769231,0.620522363495181,0.305842726819483,28,2.88428571428571,0.9,13,1.02560725323817,NA
"12","BBAP","JT66",0.0266666666666667,0.118589743589744,0.159486734792435,0.747992352782297,52,3.24192307692308,0.3,29,1.60306688315009,NA
"13","BBAP","JT71",-0.0675,-0.182389937106918,0.507856353803885,0.125753667043742,53,2.45716981132075,0.22,22,1.76057901918778,NA
"14","BBAP","LR03",0.483333333333333,0.21025641025641,0.37141859726431,0.0930264006927169,65,5.582,0.86,20,0.653961665642241,NA
"15","BBAP","LR05",NA,NA,NA,NA,1,12,12,12,NA,NA
"16","BBAP","LR06",NA,NA,NA,NA,1,7.7,7.7,7.7,NA,NA
"17","BBAP","LRNSP",NA,NA,NA,NA,1,4.1,4.1,4.1,NA,NA
"18","BBAP","LRSP",NA,NA,NA,NA,2,1.93,0.36,3.5,1.15042243156775,NA
"19","BBAP","LRUP",NA,NA,NA,NA,2,2.75,2,3.5,0.385694607919935,NA
"20","BBAP","MRDC",NA,NA,NA,NA,1,1.9,1.9,1.9,NA,NA
"21","BBAP","MRDW",NA,NA,NA,NA,1,0.89,0.89,0.89,NA,NA
"22","BBAP","MRMO",NA,NA,NA,NA,1,0.99,0.99,0.99,NA,NA
"23","BBAP","MRRB",0.145,0.666666666666667,1,0.479500122186953,8,1.9525,0.48,5,0.958525754321985,NA
"24","BBAP","MRSC",0.2,0.223684210526316,0.65885135314462,0.173546221787853,39,4.56384615384615,0.49,73,2.57512964051527,NA
"25","BBAP","RB1A",0.085,-0.0333333333333333,0.333995546013261,0.666227645409619,22,1.68045454545455,0.48,7.3,1.05241352678737,NA
"26","BBAP","VR01",-0.0275,-0.0106666666666667,0.24282908642627,0.6658672949531,50,3.5068,0.49,18,1.26963621333806,NA
"27","BBAP","VR11",-0.105,-0.36,0.880761697389986,0.253993266749784,26,1.89807692307692,0.84,6,0.690874110427339,NA
"28","BBAP","VS01",NA,NA,NA,NA,3,4.37333333333333,0.82,9.2,0.990704726143033,NA
"29","BBAP","WQ01",NA,NA,NA,NA,2,2.05,1.5,2.6,0.379423150880587,NA
"30","BBAP","WQ02",NA,NA,NA,NA,3,3.73333333333333,2.2,5.7,0.4794069199521,NA
"31","BBAP","WQ04",NA,NA,NA,NA,3,3.93333333333333,3.5,4.2,0.0962526838271233,NA
"32","DERM_BBWQ","AC01",-0.0025,-0.0118480725623583,0.260577541907896,1,84,3.28547619047619,0.97,8.84,0.551279497587637,NA
"33","DERM_BBWQ","AR03",-0.0715,-0.179591836734694,0.787931166008825,0.0677786258440761,84,2.19,0.84,4.43,0.410887990311832,NA
"34","DERM_BBWQ","BB01A",-1.07,-0.142857142857143,0.334260952079015,1,19,5.13684210526316,1.73,12.1,0.467796790280619,NA
"35","DERM_BBWQ","BB02",-0.029,-0.0465419501133787,0.165395588250178,0.648227440180172,84,4.50821428571429,0.93,10.72,0.520513506635897,NA
"36","DERM_BBWQ","BB04",0.0025,0.00714285714285714,0.665334015413774,1,86,2.56406976744186,0.85,11.68,0.64071104446269,NA
"37","DERM_BBWQ","BB05A",-0.0108333333333333,-0.0684807256235828,0.191536763673597,0.739823939177328,84,2.10059523809524,0.51,8.91,0.789138617395969,NA
"38","DERM_BBWQ","BB08",0.142499999999995,0.26027397260274,0.928368080132497,0.0211995267857648,73,2.76054794520548,0.37,43.99,1.88093649615012,NA
"39","DERM_BBWQ","BB09",0.00166666666666667,0.00302521008403361,0.799183877760404,1,85,2.41541176470588,0.44,12.23,0.857974662777523,NA
"40","DERM_BBWQ","BB10",0.04,0.0990990990990991,0.807134977511037,0.226033463130038,74,2.09067567567568,0.54,16.88,1.08544855905553,NA
"41","DERM_BBWQ","BB11",-0.01,-0.0207641196013289,0.204081381700647,1,86,2.41476744186046,0.46,8.6,0.740600505417616,NA
"42","DERM_BBWQ","BB13",NA,NA,NA,NA,2,1.915,1.13,2.7,0.579716786664689,NA
"43","DERM_BBWQ","BB13A",0.45,0.459459459459459,0.859753911712974,0.0559960777215449,37,2.18810810810811,0.46,6.62,0.72787078463672,NA
"44","DERM_BBWQ","BB14",-0.0958333333333333,-0.214143990929705,0.983428947826519,0.0341007928209648,84,1.61309523809524,0.33,14.42,1.25560782968822,NA
"45","DERM_BBWQ","BB15",0.14,0.418803418803419,0.837990851681901,0.0449385960334345,39,1.37282051282051,0.47,3.96,0.539551350078103,NA
