"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation"
"1","SFER","1",NA,NA,NA,NA,1,NA,NA,NA,NA
"2","SFER","10",0.686,0.692307692307692,0.945353363868444,0.0960923294556733,17,NA,NA,NA,NA
"3","SFER","11",NA,NA,NA,NA,1,NA,NA,NA,NA
"4","SFER","12",0.5314,0.846153846153846,0.940502462034805,0.0265002806024919,18,NA,NA,NA,NA
"5","SFER","13",NA,NA,NA,NA,1,NA,NA,NA,NA
"6","SFER","14",NA,NA,NA,NA,1,NA,NA,NA,NA
"7","SFER","15",NA,NA,NA,NA,1,NA,NA,NA,NA
"8","SFER","16",0.9155,0.692307692307692,0.945353363868444,0.0960923294556733,17,NA,NA,NA,NA
"9","SFER","17",NA,NA,NA,NA,1,NA,NA,NA,NA
"10","SFER","18",0.653,0.538461538461538,0.991435306816346,0.267257493154388,18,NA,NA,NA,NA
"11","SFER","19",NA,NA,NA,NA,1,NA,NA,NA,NA
"12","SFER","2",0.4471,0.333333333333333,0.607555646043238,0.53382942174414,17,NA,NA,NA,NA
"13","SFER","20",NA,NA,NA,NA,1,NA,NA,NA,NA
"14","SFER","21LK",0.635,0.538461538461538,0.341470893841087,0.0960923294556733,18,NA,NA,NA,NA
"15","SFER","22",NA,NA,NA,NA,1,NA,NA,NA,NA
"16","SFER","23",NA,NA,NA,NA,1,NA,NA,NA,NA
"17","SFER","24",NA,NA,NA,NA,1,NA,NA,NA,NA
"18","SFER","3",NA,NA,NA,NA,2,NA,NA,NA,NA
"19","SFER","30",0.4233,0.538461538461538,0.652579854788326,0.267257493154388,17,6.69452764705882,5.113,9.9145,0.190358489151103
"20","SFER","31",0.322100000000001,0.384615384615385,0.457448995148845,0.267257493154388,18,NA,NA,NA,NA
"21","SFER","32",NA,NA,NA,NA,1,NA,NA,NA,NA
"22","SFER","33",0.40055,0.692307692307692,0.945353363868444,0.0960923294556733,18,NA,NA,NA,NA
"23","SFER","34",NA,NA,NA,NA,1,NA,NA,NA,NA
"24","SFER","39",NA,NA,NA,NA,1,NA,NA,NA,NA
"25","SFER","4",NA,NA,NA,NA,1,NA,NA,NA,NA
"26","SFER","40",NA,NA,NA,NA,1,NA,NA,NA,NA
"27","SFER","41",0.4326,0.230769230769231,0.675808142725845,0.579099741953919,18,NA,NA,NA,NA
"28","SFER","42",NA,NA,NA,NA,1,NA,NA,NA,NA
"29","SFER","45",0.9708,0.384615384615385,0.457448995148845,0.267257493154388,18,NA,NA,NA,NA
"30","SFER","46",NA,NA,NA,NA,1,NA,NA,NA,NA
"31","SFER","47",1.223,0.538461538461538,0.341470893841087,0.0960923294556733,18,NA,NA,NA,NA
"32","SFER","48",NA,NA,NA,NA,1,NA,NA,NA,NA
"33","SFER","49",1.005,0.384615384615385,0.457448995148845,0.267257493154388,17,NA,NA,NA,NA
"34","SFER","5",NA,NA,NA,NA,1,NA,NA,NA,NA
"35","SFER","5.5",NA,NA,NA,NA,1,NA,NA,NA,NA
"36","SFER","50",NA,NA,NA,NA,1,NA,NA,NA,NA
"37","SFER","51",1.095,0.384615384615385,0.213144259857247,0.267257493154388,18,NA,NA,NA,NA
"38","SFER","52",NA,NA,NA,NA,1,NA,NA,NA,NA
"39","SFER","53",0.306,0.384615384615385,0.457448995148845,0.267257493154388,17,NA,NA,NA,NA
"40","SFER","54",1.224,0.384615384615385,0.457448995148845,0.267257493154388,17,NA,NA,NA,NA
"41","SFER","55",0.8276,0.230769230769231,0.675808142725845,0.579099741953919,17,NA,NA,NA,NA
"42","SFER","56",1.1214,0.384615384615385,0.457448995148845,0.267257493154388,17,NA,NA,NA,NA
"43","SFER","57",0.7106,0.538461538461538,0.341470893841087,0.0960923294556733,18,NA,NA,NA,NA
