"","source","site","slope","n_values","mean","min","max","coefficient.of.variation","significant_slope","pvalue"
"1","MiamiBeach","#1",NA,1,10,10,10,NA,NA,NA
"2","MiamiBeach","#10",NA,1,20,20,20,NA,NA,NA
"3","MiamiBeach","#11",NA,1,51,51,51,NA,NA,NA
"4","MiamiBeach","#12",NA,1,4350,4350,4350,NA,NA,NA
"5","MiamiBeach","#13",NA,1,10,10,10,NA,NA,NA
"6","MiamiBeach","#14",NA,1,10,10,10,NA,NA,NA
"7","MiamiBeach","#15",NA,1,20,20,20,NA,NA,NA
"8","MiamiBeach","#16",NA,1,10,10,10,NA,NA,NA
"9","MiamiBeach","#17",NA,1,10,10,10,NA,NA,NA
"10","MiamiBeach","#18",NA,1,10,10,10,NA,NA,NA
"11","MiamiBeach","#19",NA,1,NA,NA,NA,NA,NA,NA
"12","MiamiBeach","#2",NA,1,31,31,31,NA,NA,NA
"13","MiamiBeach","#20",NA,1,20,20,20,NA,NA,NA
"14","MiamiBeach","#21",NA,1,10,10,10,NA,NA,NA
"15","MiamiBeach","#22",NA,1,10,10,10,NA,NA,NA
"16","MiamiBeach","#23",NA,1,63,63,63,NA,NA,NA
"17","MiamiBeach","#24",NA,1,10,10,10,NA,NA,NA
"18","MiamiBeach","#3",NA,1,NA,NA,NA,NA,NA,NA
"19","MiamiBeach","#3A",NA,1,3650,3650,3650,NA,NA,NA
"20","MiamiBeach","#3B",NA,1,10,10,10,NA,NA,NA
"21","MiamiBeach","#4",NA,1,NA,NA,NA,NA,NA,NA
"22","MiamiBeach","#5",NA,1,20,20,20,NA,NA,NA
"23","MiamiBeach","#6",NA,1,359,359,359,NA,NA,NA
"24","MiamiBeach","#7",NA,1,31,31,31,NA,NA,NA
"25","MiamiBeach","#8",NA,1,20,20,20,NA,NA,NA
"26","MiamiBeach","#9",NA,1,10,10,10,NA,NA,NA
"27","MiamiBeach","1",NA,11,NA,NA,NA,NA,NA,NA
"28","MiamiBeach","10",NA,11,NA,NA,NA,NA,NA,NA
"29","MiamiBeach","11",NA,11,NA,NA,NA,NA,NA,NA
"30","MiamiBeach","12",NA,11,661.181818181818,85,3430,1.50604023407292,NA,NA
"31","MiamiBeach","13",NA,11,NA,NA,NA,NA,NA,NA
"32","MiamiBeach","14",NA,11,NA,NA,NA,NA,NA,NA
"33","MiamiBeach","15",NA,11,NA,NA,NA,NA,NA,NA
"34","MiamiBeach","16",NA,11,NA,NA,NA,NA,NA,NA
"35","MiamiBeach","17",NA,11,NA,NA,NA,NA,NA,NA
"36","MiamiBeach","18",NA,11,NA,NA,NA,NA,NA,NA
"37","MiamiBeach","19",NA,11,NA,NA,NA,NA,NA,NA
"38","MiamiBeach","2",NA,11,NA,NA,NA,NA,NA,NA
"39","MiamiBeach","20",NA,11,NA,NA,NA,NA,NA,NA
"40","MiamiBeach","21",NA,11,NA,NA,NA,NA,NA,NA
"41","MiamiBeach","22",NA,11,NA,NA,NA,NA,NA,NA
"42","MiamiBeach","23",NA,11,NA,NA,NA,NA,NA,NA
"43","MiamiBeach","24",NA,11,NA,NA,NA,NA,NA,NA
"44","MiamiBeach","25",NA,10,NA,NA,NA,NA,NA,NA
"45","MiamiBeach","26",NA,11,NA,NA,NA,NA,NA,NA
"46","MiamiBeach","27",NA,11,NA,NA,NA,NA,NA,NA
"47","MiamiBeach","28",NA,11,NA,NA,NA,NA,NA,NA
"48","MiamiBeach","29",NA,11,NA,NA,NA,NA,NA,NA
"49","MiamiBeach","3",NA,11,NA,NA,NA,NA,NA,NA
"50","MiamiBeach","30",NA,11,NA,NA,NA,NA,NA,NA
"51","MiamiBeach","31",NA,11,NA,NA,NA,NA,NA,NA
"52","MiamiBeach","32",NA,11,NA,NA,NA,NA,NA,NA
"53","MiamiBeach","33",NA,11,NA,NA,NA,NA,NA,NA
"54","MiamiBeach","34",NA,11,NA,NA,NA,NA,NA,NA
"55","MiamiBeach","35",NA,11,NA,NA,NA,NA,NA,NA
"56","MiamiBeach","36",NA,11,NA,NA,NA,NA,NA,NA
"57","MiamiBeach","37",NA,11,NA,NA,NA,NA,NA,NA
"58","MiamiBeach","38",NA,11,NA,NA,NA,NA,NA,NA
"59","MiamiBeach","39",NA,11,NA,NA,NA,NA,NA,NA
"60","MiamiBeach","3A",NA,8,NA,NA,NA,NA,NA,NA
"61","MiamiBeach","3B",NA,9,NA,NA,NA,NA,NA,NA
"62","MiamiBeach","3b",NA,1,10,10,10,NA,NA,NA
"63","MiamiBeach","4",NA,11,NA,NA,NA,NA,NA,NA
"64","MiamiBeach","40",NA,11,NA,NA,NA,NA,NA,NA
"65","MiamiBeach","41",NA,11,NA,NA,NA,NA,NA,NA
"66","MiamiBeach","5",NA,11,NA,NA,NA,NA,NA,NA
"67","MiamiBeach","6",NA,11,NA,NA,NA,NA,NA,NA
"68","MiamiBeach","7",NA,11,NA,NA,NA,NA,NA,NA
"69","MiamiBeach","8",NA,11,NA,NA,NA,NA,NA,NA
"70","MiamiBeach","9",NA,11,NA,NA,NA,NA,NA,NA
