"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation","significant_slope","pvalue"
"1","MiamiBeach","#1",NA,NA,NA,NA,1,7,7,7,NA,NA,NA
"2","MiamiBeach","#10",NA,NA,NA,NA,1,1,1,1,NA,NA,NA
"3","MiamiBeach","#11",NA,NA,NA,NA,1,49,49,49,NA,NA,NA
"4","MiamiBeach","#12",NA,NA,NA,NA,1,120,120,120,NA,NA,NA
"5","MiamiBeach","#13",NA,NA,NA,NA,1,6,6,6,NA,NA,NA
"6","MiamiBeach","#14",NA,NA,NA,NA,1,31,31,31,NA,NA,NA
"7","MiamiBeach","#15",NA,NA,NA,NA,1,3,3,3,NA,NA,NA
"8","MiamiBeach","#16",NA,NA,NA,NA,1,32,32,32,NA,NA,NA
"9","MiamiBeach","#17",NA,NA,NA,NA,1,32,32,32,NA,NA,NA
"10","MiamiBeach","#18",NA,NA,NA,NA,1,60,60,60,NA,NA,NA
"11","MiamiBeach","#19",NA,NA,NA,NA,1,16,16,16,NA,NA,NA
"12","MiamiBeach","#2",NA,NA,NA,NA,1,12,12,12,NA,NA,NA
"13","MiamiBeach","#20",NA,NA,NA,NA,1,9,9,9,NA,NA,NA
"14","MiamiBeach","#21",NA,NA,NA,NA,1,5,5,5,NA,NA,NA
"15","MiamiBeach","#22",NA,NA,NA,NA,1,3,3,3,NA,NA,NA
"16","MiamiBeach","#23",NA,NA,NA,NA,1,18,18,18,NA,NA,NA
"17","MiamiBeach","#24",NA,NA,NA,NA,1,2,2,2,NA,NA,NA
"18","MiamiBeach","#3",NA,NA,NA,NA,1,5,5,5,NA,NA,NA
"19","MiamiBeach","#3A",NA,NA,NA,NA,1,70,70,70,NA,NA,NA
"20","MiamiBeach","#3B",NA,NA,NA,NA,1,302,302,302,NA,NA,NA
"21","MiamiBeach","#4",NA,NA,NA,NA,1,1,1,1,NA,NA,NA
"22","MiamiBeach","#5",NA,NA,NA,NA,1,11,11,11,NA,NA,NA
"23","MiamiBeach","#6",NA,NA,NA,NA,1,110,110,110,NA,NA,NA
"24","MiamiBeach","#7",NA,NA,NA,NA,1,8,8,8,NA,NA,NA
"25","MiamiBeach","#8",NA,NA,NA,NA,1,19,19,19,NA,NA,NA
"26","MiamiBeach","#9",NA,NA,NA,NA,1,10,10,10,NA,NA,NA
"27","MiamiBeach","1",NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA
