"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation","significant_slope","pvalue"
"1","MiamiBeach","#1",NA,NA,NA,NA,1,52758,52758,52758,NA,NA,NA
"2","MiamiBeach","#10",NA,NA,NA,NA,1,49880,49880,49880,NA,NA,NA
"3","MiamiBeach","#11",NA,NA,NA,NA,1,51384,51384,51384,NA,NA,NA
"4","MiamiBeach","#12",NA,NA,NA,NA,1,50680,50680,50680,NA,NA,NA
"5","MiamiBeach","#13",NA,NA,NA,NA,1,51244,51244,51244,NA,NA,NA
"6","MiamiBeach","#14",NA,NA,NA,NA,1,52327,52327,52327,NA,NA,NA
"7","MiamiBeach","#15",NA,NA,NA,NA,1,52278,52278,52278,NA,NA,NA
"8","MiamiBeach","#16",NA,NA,NA,NA,1,51070,51070,51070,NA,NA,NA
"9","MiamiBeach","#17",NA,NA,NA,NA,1,50563,50563,50563,NA,NA,NA
"10","MiamiBeach","#18",NA,NA,NA,NA,1,51846,51846,51846,NA,NA,NA
"11","MiamiBeach","#19",NA,NA,NA,NA,1,51441,51441,51441,NA,NA,NA
"12","MiamiBeach","#2",NA,NA,NA,NA,1,52551,52551,52551,NA,NA,NA
"13","MiamiBeach","#20",NA,NA,NA,NA,1,52663,52663,52663,NA,NA,NA
"14","MiamiBeach","#21",NA,NA,NA,NA,1,52585,52585,52585,NA,NA,NA
"15","MiamiBeach","#22",NA,NA,NA,NA,1,52480,52480,52480,NA,NA,NA
"16","MiamiBeach","#23",NA,NA,NA,NA,1,52781,52781,52781,NA,NA,NA
"17","MiamiBeach","#24",NA,NA,NA,NA,1,52770,52770,52770,NA,NA,NA
"18","MiamiBeach","#3",NA,NA,NA,NA,1,52927,52927,52927,NA,NA,NA
"19","MiamiBeach","#3A",NA,NA,NA,NA,1,39068,39068,39068,NA,NA,NA
"20","MiamiBeach","#3B",NA,NA,NA,NA,1,53465,53465,53465,NA,NA,NA
"21","MiamiBeach","#4",NA,NA,NA,NA,1,53227,53227,53227,NA,NA,NA
"22","MiamiBeach","#5",NA,NA,NA,NA,1,50326,50326,50326,NA,NA,NA
"23","MiamiBeach","#6",NA,NA,NA,NA,1,50032,50032,50032,NA,NA,NA
"24","MiamiBeach","#7",NA,NA,NA,NA,1,50041,50041,50041,NA,NA,NA
"25","MiamiBeach","#8",NA,NA,NA,NA,1,48754,48754,48754,NA,NA,NA
"26","MiamiBeach","#9",NA,NA,NA,NA,1,48210,48210,48210,NA,NA,NA
"27","MiamiBeach","1",NA,NA,NA,NA,11,11646.0909090909,4259,50378,1.36471811320064,NA,NA
"28","MiamiBeach","10",NA,NA,NA,NA,11,11872.9090909091,3752,49527,1.34224544428083,NA,NA
"29","MiamiBeach","11",NA,NA,NA,NA,11,11470.5454545455,3700,49567,1.33756695324478,NA,NA
"30","MiamiBeach","12",NA,NA,NA,NA,11,11323,4084,52141,1.36858147642311,NA,NA
"31","MiamiBeach","13",NA,NA,NA,NA,11,11245.0909090909,4007,50359,1.34778274197379,NA,NA
"32","MiamiBeach","14",NA,NA,NA,NA,11,11433.0909090909,4079,50658,1.35759219625633,NA,NA
"33","MiamiBeach","15",NA,NA,NA,NA,11,11291.9090909091,4138,49772,1.34982680651071,NA,NA
"34","MiamiBeach","16",NA,NA,NA,NA,11,11344.4545454545,4151,49904,1.35663149596474,NA,NA
"35","MiamiBeach","17",NA,NA,NA,NA,11,11151.2727272727,4060,49160,1.35226337524166,NA,NA
"36","MiamiBeach","18",NA,NA,NA,NA,11,11239.2727272727,4115,50101,1.35972859013826,NA,NA
"37","MiamiBeach","19",NA,NA,NA,NA,11,11329.4545454545,4216,50078,1.35644962057792,NA,NA
"38","MiamiBeach","2",NA,NA,NA,NA,11,11567.7272727273,4232,50119,1.3574244977974,NA,NA
"39","MiamiBeach","20",NA,NA,NA,NA,11,11642.5454545455,4304,50481,1.35329265450256,NA,NA
"40","MiamiBeach","21",NA,NA,NA,NA,11,11660.9090909091,4274,50620,1.35101925589514,NA,NA
"41","MiamiBeach","22",NA,NA,NA,NA,11,15864.8181818182,4303,51409,1.21749005633999,NA,NA
"42","MiamiBeach","23",NA,NA,NA,NA,11,16087.8181818182,4431,51875,1.21863318296195,NA,NA
"43","MiamiBeach","24",NA,NA,NA,NA,11,16046.1818181818,4472,51858,1.21438816731185,NA,NA
"44","MiamiBeach","25",NA,NA,NA,NA,10,14124.1,4664,51143,1.37481060821936,NA,NA
"45","MiamiBeach","26",NA,NA,NA,NA,11,11294.4545454545,2135,48911,1.38182560215149,NA,NA
"46","MiamiBeach","27",NA,NA,NA,NA,11,12444.9090909091,3524,48648,1.4048540562628,NA,NA
"47","MiamiBeach","28",NA,NA,NA,NA,11,12477.2727272727,3538,48788,1.39728413742571,NA,NA
"48","MiamiBeach","29",NA,NA,NA,NA,11,12137.4545454545,3724,48931,1.35481231057823,NA,NA
"49","MiamiBeach","3",NA,NA,NA,NA,11,11570.9090909091,4182,50598,1.36090482268758,NA,NA
"50","MiamiBeach","30",NA,NA,NA,NA,11,12319.7272727273,3750,49730,1.36558947648859,NA,NA
"51","MiamiBeach","31",NA,NA,NA,NA,11,13081.3636363636,3804,51179,1.40777147711071,NA,NA
"52","MiamiBeach","32",NA,NA,NA,NA,11,12501.6363636364,3606,49176,1.40106434654279,NA,NA
"53","MiamiBeach","33",NA,NA,NA,NA,11,10984.4545454545,3651,49794,1.34274375739267,NA,NA
"54","MiamiBeach","34",NA,NA,NA,NA,11,13198.2727272727,3899,51118,1.41271313117435,NA,NA
"55","MiamiBeach","35",NA,NA,NA,NA,11,13262.3636363636,3802,52136,1.41970567686364,NA,NA
"56","MiamiBeach","36",NA,NA,NA,NA,11,13084.4545454545,3896,52284,1.41314620664783,NA,NA
"57","MiamiBeach","37",NA,NA,NA,NA,11,13211.1818181818,3963,51099,1.40047883364636,NA,NA
"58","MiamiBeach","38",NA,NA,NA,NA,11,13530.9090909091,4070,52759,1.40868594929386,NA,NA
"59","MiamiBeach","39",NA,NA,NA,NA,11,13637.7272727273,4087,53021,1.41157125664391,NA,NA
"60","MiamiBeach","3A",NA,NA,NA,NA,8,4301.25,1689,12369,0.78208840104589,NA,NA
"61","MiamiBeach","3B",NA,NA,NA,NA,9,8117.11111111111,4162,35269,1.25493894598886,NA,NA
"62","MiamiBeach","3b",NA,NA,NA,NA,1,4719,4719,4719,NA,NA,NA
"63","MiamiBeach","4",NA,NA,NA,NA,11,8462.8,337.8,50560,1.6574037228474,NA,NA
"64","MiamiBeach","40",NA,NA,NA,NA,11,13751.1818181818,4327,53103,1.40689690003457,NA,NA
"65","MiamiBeach","41",NA,NA,NA,NA,11,13788.8181818182,4379,53399,1.4067320653494,NA,NA
"66","MiamiBeach","5",NA,NA,NA,NA,11,11896.5454545455,4030,50634,1.36987341041479,NA,NA
"67","MiamiBeach","6",NA,NA,NA,NA,11,11187.2727272727,3766,51534,1.36622502356381,NA,NA
"68","MiamiBeach","7",NA,NA,NA,NA,11,11168.8181818182,3859,48938,1.3319838079619,NA,NA
"69","MiamiBeach","8",NA,NA,NA,NA,11,11181.7272727273,3742,49226,1.33773901406434,NA,NA
"70","MiamiBeach","9",NA,NA,NA,NA,11,11526.5454545455,3755,48454,1.32323784809093,NA,NA
