"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation","significant_trend"
"1","MiamiBeach","#1",NA,NA,NA,NA,1,22.8,22.8,22.8,NA,NA
"2","MiamiBeach","#10",NA,NA,NA,NA,1,22.3,22.3,22.3,NA,NA
"3","MiamiBeach","#11",NA,NA,NA,NA,1,22.8,22.8,22.8,NA,NA
"4","MiamiBeach","#12",NA,NA,NA,NA,1,23,23,23,NA,NA
"5","MiamiBeach","#13",NA,NA,NA,NA,1,22.8,22.8,22.8,NA,NA
"6","MiamiBeach","#14",NA,NA,NA,NA,1,23.7,23.7,23.7,NA,NA
"7","MiamiBeach","#15",NA,NA,NA,NA,1,23.1,23.1,23.1,NA,NA
"8","MiamiBeach","#16",NA,NA,NA,NA,1,23.8,23.8,23.8,NA,NA
"9","MiamiBeach","#17",NA,NA,NA,NA,1,24.4,24.4,24.4,NA,NA
"10","MiamiBeach","#18",NA,NA,NA,NA,1,23.8,23.8,23.8,NA,NA
"11","MiamiBeach","#19",NA,NA,NA,NA,1,24.1,24.1,24.1,NA,NA
"12","MiamiBeach","#2",NA,NA,NA,NA,1,27.9,27.9,27.9,NA,NA
"13","MiamiBeach","#20",NA,NA,NA,NA,1,23.3,23.3,23.3,NA,NA
"14","MiamiBeach","#21",NA,NA,NA,NA,1,23.2,23.2,23.2,NA,NA
"15","MiamiBeach","#22",NA,NA,NA,NA,1,23.3,23.3,23.3,NA,NA
"16","MiamiBeach","#23",NA,NA,NA,NA,1,23.3,23.3,23.3,NA,NA
"17","MiamiBeach","#24",NA,NA,NA,NA,1,23.3,23.3,23.3,NA,NA
"18","MiamiBeach","#3",NA,NA,NA,NA,1,22.8,22.8,22.8,NA,NA
"19","MiamiBeach","#3A",NA,NA,NA,NA,1,23.6,23.6,23.6,NA,NA
"20","MiamiBeach","#3B",NA,NA,NA,NA,1,22.8,22.8,22.8,NA,NA
"21","MiamiBeach","#4",NA,NA,NA,NA,1,23,23,23,NA,NA
"22","MiamiBeach","#5",NA,NA,NA,NA,1,22.4,22.4,22.4,NA,NA
"23","MiamiBeach","#6",NA,NA,NA,NA,1,21.9,21.9,21.9,NA,NA
"24","MiamiBeach","#7",NA,NA,NA,NA,1,22.4,22.4,22.4,NA,NA
"25","MiamiBeach","#8",NA,NA,NA,NA,1,22.5,22.5,22.5,NA,NA
"26","MiamiBeach","#9",NA,NA,NA,NA,1,23.1,23.1,23.1,NA,NA
"27","MiamiBeach","1",NA,NA,NA,NA,11,26.9727272727273,22.7,31.4,0.120513077945243,NA
"28","MiamiBeach","10",NA,NA,NA,NA,11,27.1909090909091,23.5,31.9,0.117334814195892,NA
"29","MiamiBeach","11",NA,NA,NA,NA,11,27.3272727272727,23.6,32.1,0.113405441970997,NA
"30","MiamiBeach","12",NA,NA,NA,NA,11,27.8818181818182,23.6,32.9,0.118463360068219,NA
"31","MiamiBeach","13",NA,NA,NA,NA,11,27.7272727272727,23.9,33.2,0.119246672403608,NA
"32","MiamiBeach","14",NA,NA,NA,NA,11,27.8,23.5,32.8,0.120811910962206,NA
"33","MiamiBeach","15",NA,NA,NA,NA,11,27.7454545454545,22.6,32.9,0.130044629126724,NA
"34","MiamiBeach","16",NA,NA,NA,NA,11,27.9272727272727,23.5,33,0.122543527218278,NA
"35","MiamiBeach","17",NA,NA,NA,NA,11,27.9727272727273,23.4,32.9,0.119319473512348,NA
"36","MiamiBeach","18",NA,NA,NA,NA,11,27.9454545454545,23.6,33.2,0.120856315788981,NA
"37","MiamiBeach","19",NA,NA,NA,NA,11,27.7,23.1,32.7,0.125691923023527,NA
"38","MiamiBeach","2",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"39","MiamiBeach","20",NA,NA,NA,NA,11,28.1909090909091,22.8,33.7,0.130540989559544,NA
"40","MiamiBeach","21",NA,NA,NA,NA,11,27.8636363636364,23.1,33.2,0.127719441228463,NA
"41","MiamiBeach","22",NA,NA,NA,NA,11,28.1636363636364,22.9,33.4,0.127530865886345,NA
"42","MiamiBeach","23",NA,NA,NA,NA,11,27.9,23.3,33.4,0.122599508075176,NA
"43","MiamiBeach","24",NA,NA,NA,NA,11,28.0090909090909,23.4,33.2,0.133017855471525,NA
"44","MiamiBeach","25",NA,NA,NA,NA,10,27.6,22.7,33.5,0.13949144655054,NA
"45","MiamiBeach","26",NA,NA,NA,NA,11,27.2636363636364,22.7,31.1,0.111593959821608,NA
"46","MiamiBeach","27",NA,NA,NA,NA,11,27.0545454545455,22.9,31.1,0.115502083211314,NA
"47","MiamiBeach","28",NA,NA,NA,NA,11,27.0727272727273,22.8,30.9,0.112232895174074,NA
"48","MiamiBeach","29",NA,NA,NA,NA,11,27.2636363636364,23.5,31.3,0.108872355069289,NA
"49","MiamiBeach","3",NA,NA,NA,NA,11,26.9545454545455,22.7,31.7,0.124428447126267,NA
"50","MiamiBeach","30",NA,NA,NA,NA,11,27.4090909090909,23.2,31.5,0.116057233998737,NA
"51","MiamiBeach","31",NA,NA,NA,NA,11,27.2,22.8,31.4,0.122045534358072,NA
"52","MiamiBeach","32",NA,NA,NA,NA,11,27.2,23.1,31.3,0.11366182083519,NA
"53","MiamiBeach","33",NA,NA,NA,NA,11,27.3454545454545,23.4,31,0.107619763829229,NA
"54","MiamiBeach","34",NA,NA,NA,NA,11,27.3181818181818,23,31.3,0.111160938609531,NA
"55","MiamiBeach","35",NA,NA,NA,NA,11,27.5181818181818,24,31.1,0.100665550243758,NA
"56","MiamiBeach","36",NA,NA,NA,NA,11,27.4181818181818,22.7,31.1,0.102704147943491,NA
"57","MiamiBeach","37",NA,NA,NA,NA,11,27.3272727272727,22.8,31.6,0.104993203236765,NA
"58","MiamiBeach","38",NA,NA,NA,NA,11,27.2818181818182,23.3,31.3,0.107276971951313,NA
"59","MiamiBeach","39",NA,NA,NA,NA,11,27.4181818181818,23.6,31.4,0.106256310101165,NA
"60","MiamiBeach","3A",NA,NA,NA,NA,8,28.4,24.8,31.5,0.0856727116943411,NA
"61","MiamiBeach","3B",NA,NA,NA,NA,9,27.8555555555556,24.3,32.1,0.113084949432069,NA
"62","MiamiBeach","3b",NA,NA,NA,NA,1,22.9,22.9,22.9,NA,NA
"63","MiamiBeach","4",NA,NA,NA,NA,11,27.1272727272727,23.2,32.3,0.124803714959882,NA
"64","MiamiBeach","40",NA,NA,NA,NA,11,27.4363636363636,23.7,31.3,0.106951968301986,NA
"65","MiamiBeach","41",NA,NA,NA,NA,11,27.4454545454545,23.5,31.5,0.107623101194227,NA
"66","MiamiBeach","5",NA,NA,NA,NA,11,27,22.7,31.6,0.120321927574088,NA
"67","MiamiBeach","6",NA,NA,NA,NA,11,27.3727272727273,23.2,32.5,0.115481414178424,NA
"68","MiamiBeach","7",NA,NA,NA,NA,11,27.2090909090909,23.1,31.9,0.116366022455076,NA
"69","MiamiBeach","8",NA,NA,NA,NA,11,27.2818181818182,23.2,31.9,0.116660441947298,NA
"70","MiamiBeach","9",NA,NA,NA,NA,11,27.0636363636364,23.1,31.6,0.109152837030344,NA
