"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation","significant_trend"
"1","MiamiBeach","#1",NA,NA,NA,NA,1,7.91,7.91,7.91,NA,NA
"2","MiamiBeach","#10",NA,NA,NA,NA,1,8.14,8.14,8.14,NA,NA
"3","MiamiBeach","#11",NA,NA,NA,NA,1,8.27,8.27,8.27,NA,NA
"4","MiamiBeach","#12",NA,NA,NA,NA,1,8.07,8.07,8.07,NA,NA
"5","MiamiBeach","#13",NA,NA,NA,NA,1,8.13,8.13,8.13,NA,NA
"6","MiamiBeach","#14",NA,NA,NA,NA,1,8.14,8.14,8.14,NA,NA
"7","MiamiBeach","#15",NA,NA,NA,NA,1,8.07,8.07,8.07,NA,NA
"8","MiamiBeach","#16",NA,NA,NA,NA,1,7.99,7.99,7.99,NA,NA
"9","MiamiBeach","#17",NA,NA,NA,NA,1,7.94,7.94,7.94,NA,NA
"10","MiamiBeach","#18",NA,NA,NA,NA,1,7.98,7.98,7.98,NA,NA
"11","MiamiBeach","#19",NA,NA,NA,NA,1,7.96,7.96,7.96,NA,NA
"12","MiamiBeach","#2",NA,NA,NA,NA,1,7.98,7.98,7.98,NA,NA
"13","MiamiBeach","#20",NA,NA,NA,NA,1,8.03,8.03,8.03,NA,NA
"14","MiamiBeach","#21",NA,NA,NA,NA,1,8.04,8.04,8.04,NA,NA
"15","MiamiBeach","#22",NA,NA,NA,NA,1,8.08,8.08,8.08,NA,NA
"16","MiamiBeach","#23",NA,NA,NA,NA,1,8.04,8.04,8.04,NA,NA
"17","MiamiBeach","#24",NA,NA,NA,NA,1,8.12,8.12,8.12,NA,NA
"18","MiamiBeach","#3",NA,NA,NA,NA,1,8.06,8.06,8.06,NA,NA
"19","MiamiBeach","#3A",NA,NA,NA,NA,1,7.38,7.38,7.38,NA,NA
"20","MiamiBeach","#3B",NA,NA,NA,NA,1,8.05,8.05,8.05,NA,NA
"21","MiamiBeach","#4",NA,NA,NA,NA,1,8.04,8.04,8.04,NA,NA
"22","MiamiBeach","#5",NA,NA,NA,NA,1,8.09,8.09,8.09,NA,NA
"23","MiamiBeach","#6",NA,NA,NA,NA,1,8.11,8.11,8.11,NA,NA
"24","MiamiBeach","#7",NA,NA,NA,NA,1,8.08,8.08,8.08,NA,NA
"25","MiamiBeach","#8",NA,NA,NA,NA,1,8.09,8.09,8.09,NA,NA
"26","MiamiBeach","#9",NA,NA,NA,NA,1,8.1,8.1,8.1,NA,NA
