"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation","significant_trend"
"1","MiamiBeach","16",-0.00625,-0.333333333333333,NA,0.0262682913820423,40,0.0687,0.015,0.25,0.660577672909021,NA
"2","MiamiBeach","17",-0.00374999999999999,-0.307832080200501,0.952331384920092,0.00385538302679241,76,0.0558157894736842,0.015,0.28,0.693539417259796,NA
"3","MiamiBeach","18",-0.0025,-0.367424242424242,NA,0.0207697979724661,44,0.0653636363636364,0.015,0.75,1.67396178141087,NA
"4","MiamiBeach","19",-0.00075,-0.185347985347985,0.0581121495281871,0.0998333573661772,78,0.0430384615384615,0.015,0.12,0.573648386157243,NA
"5","MiamiBeach","2",-0.003,-0.603603603603604,0.783143080642473,0.000386516651114364,37,0.0468378378378378,0.015,0.11,0.560317522301902,NA
"6","MiamiBeach","21",-0.0046,-0.276190476190476,0.582969800711616,0.13441657417036,36,0.0538888888888889,0.015,0.13,0.610041536621934,NA
"7","MiamiBeach","22",-0.00341666666666667,-0.32,0.446839044930138,0.00216988945207313,70,0.0366428571428571,0.015,0.1,0.519257721265816,NA
"8","MiamiBeach","23",-0.0048,-0.518518518518519,NA,0.00527590370310918,37,0.0555405405405405,0.015,0.3,0.905564968372263,NA
"9","MiamiBeach","24",-0.005,-0.388888888888889,NA,0.0239258434806266,37,0.042972972972973,0.015,0.12,0.555803868402073,NA
"10","MiamiBeach","25",-0.00798809523809524,-0.405405405405405,0.494748161291468,0.0108697604283247,38,0.0605,0.015,0.44,1.15615494281505,NA
"11","MiamiBeach","26",-0.00228571428571429,-0.219047619047619,0.228417284269692,0.0544740351061956,36,0.0444722222222222,0.015,0.11,0.60449713946939,NA
"12","MiamiBeach","27",-0.002,-0.432432432432432,0.974883340525018,0.0438197928026749,38,0.0508421052631579,0.015,0.2,0.831958186688821,NA
"13","MiamiBeach","28",-0.004,-0.473684210526316,NA,0.00962016872660246,39,0.0404102564102564,0.015,0.11,0.573863428276735,NA
"14","MiamiBeach","29",-0.00554285714285714,-0.535087719298246,0.647562822132685,0.00276958515472098,39,0.0453076923076923,0.015,0.13,0.570226984986025,NA
"15","MiamiBeach","30",-0.00371428571428571,-0.444444444444444,0.787105180312335,0.0116683597199764,40,0.041575,0.015,0.13,0.654171470103092,NA
"16","MiamiBeach","31",-0.0064,-0.522522522522523,0.73618599490486,0.00397074991651884,38,0.0488684210526316,0.015,0.16,0.640458422536286,NA
"17","MiamiBeach","32",-0.0038,-0.570175438596491,0.777658688041935,0.000692031808053878,39,0.0417179487179487,0.015,0.12,0.544448075017687,NA
"18","MiamiBeach","33",-0.012,-0.766666666666667,0.999800129453217,7.01087996429807e-06,41,0.061609756097561,0.015,0.18,0.692045703907612,NA
"19","MiamiBeach","34",-0.003,-0.397333333333333,0.515548745593345,5.67424082388555e-05,75,0.0415466666666667,0.015,0.45,1.22304546069858,NA
"20","MiamiBeach","35",-0.0134428571428571,-0.614035087719298,0.876726729102687,0.000333454958350205,39,0.0738461538461539,0.015,0.32,0.876954173564899,NA
"21","MiamiBeach","36",-0.002,-0.37037037037037,0.944807286740731,0.0605974085763611,37,0.0422162162162162,0.015,0.12,0.517439001066055,NA
"22","MiamiBeach","37",-0.00623333333333333,-0.675438596491228,0.876610904171599,9.80605318893965e-05,39,0.0566666666666667,0.015,0.41,1.23679475414733,NA
"23","MiamiBeach","38",-0.00275,-0.343859649122807,0.903283962952845,0.00046127046269167,76,0.0325131578947368,0.015,0.11,0.48986047324236,NA
"24","MiamiBeach","39",-0.0044,-0.477477477477477,0.750644058549982,0.00640532902499492,38,0.0433684210526316,0.015,0.16,0.635387731708453,NA
"25","MiamiBeach","3A",NA,NA,NA,NA,6,0.0845,0.018,0.21,1.02202899092407,NA
"26","MiamiBeach","4",-0.003,-0.342009132420091,0.896063150095197,0.000666102261234516,73,0.0408356164383562,0.015,0.15,0.665369246518846,NA
"27","MiamiBeach","40",-0.00316666666666667,-0.522522522522523,0.874548061091985,0.00701458388208163,38,0.0392894736842105,0.016,0.12,0.53640415609612,NA
"28","MiamiBeach","42",-0.00499999999999999,-0.335384615384615,0.432709403857732,0.00330870171909502,65,0.0434615384615385,0.015,0.24,0.749843158477146,NA
"29","MiamiBeach","45",0,0,0.716835614811066,1,28,0.0401071428571429,0.018,0.1,0.467657591714394,NA
"30","MiamiBeach","46",-0.00175,-0.234391534391534,0.438529338957125,0.039663126695832,63,0.0326507936507937,0.015,0.089,0.431037653669607,NA
"31","MiamiBeach","47",-0.00216666666666667,-0.216145833333333,0.532145431993656,0.0502188064479905,64,0.033453125,0.015,0.088,0.418730823657684,NA
"32","MiamiBeach","48",0,0.111111111111111,NA,1,28,0.03975,0.019,0.11,0.545594547378733,NA
"33","MiamiBeach","52",-0.00175,-0.163020833333333,0.586898230125075,0.154488084919625,64,0.034046875,0.015,0.11,0.441839360822901,NA
"34","MiamiBeach","54",-0.0045,-0.341935483870968,0.851725958797888,0.00592795962260694,62,0.0394516129032258,0.015,0.15,0.562022730708153,NA
"35","MiamiBeach","56",-0.002225,-0.288333333333333,0.523740624667098,0.0134362739345626,60,0.0357666666666667,0.015,0.085,0.436198166582317,NA
"36","MiamiBeach","59",-0.006,-0.153846153846154,0.511413789344926,0.810181236410474,26,0.0453076923076923,0.018,0.1,0.467318713191677,NA
"37","MiamiBeach","60",-0.0035,-0.318333333333333,0.701577370292366,0.0116092172432201,60,0.0377,0.015,0.1,0.477511023734081,NA
"38","MiamiBeach","61",-0.003,-0.411764705882353,NA,0.520050527304795,21,0.0566666666666667,0.02,0.17,0.708355960015842,NA
"39","MiamiBeach","62",-0.015,-0.6,0.699312570866408,0.113846298006658,22,0.0653636363636364,0.025,0.21,0.678591638076842,NA
"40","MiamiBeach","63",-0.004,-0.339766081871345,0.160007035416345,0.0106766655661798,57,0.0363859649122807,0.015,0.12,0.512553017244032,NA
"41","MiamiBeach","64",NA,NA,NA,NA,6,0.0533333333333333,0.025,0.082,0.447911821679223,NA
"42","MiamiBeach","66",0,0.00952380952380952,0.257226867685691,0.875392611665261,35,0.0374571428571429,0.015,0.15,0.692897669884543,NA
"43","MiamiBeach","67",0,0.0666666666666667,0.259658627490188,1,35,0.0439714285714286,0.015,0.18,0.886759223772778,NA
"44","MiamiBeach","68",-0.00333333333333333,-0.161904761904762,0.189886501054151,0.43300340262828,35,0.0447428571428571,0.015,0.16,0.849459177457228,NA
"45","MiamiBeach","69",0,0.00952380952380952,0.410398527379714,1,35,0.0505428571428571,0.015,0.21,0.884200232295186,NA
"46","MiamiBeach","70",-0.003,-0.104761904761905,0.185153780081537,0.640090763633359,35,0.0424857142857143,0.015,0.25,0.970004710270972,NA
"47","MiamiBeach","71",0,-0.0476190476190476,0.264566680440598,0.875392611665261,35,0.0386,0.015,0.17,0.86374782021185,NA
"48","MiamiBeach","74",-0.095,-0.111111111111111,0.0913685384750933,0.457717434427446,36,0.525138888888889,0.025,3.3,1.08215270980941,NA
"49","MiamiBeach","78",-0.006,-0.215686274509804,0.447560101183875,0.237837664683006,34,0.0555,0.015,0.7,2.22223513435978,NA
"50","MiamiBeach","79",-0.0115,-0.294117647058824,0.280241034001512,0.35832646674888,22,0.0455,0.015,0.19,1.00275925958561,NA
"51","MiamiBeach","81",-0.0065,-1,1,0.479500122186953,13,0.0479230769230769,0.021,0.094,0.476251942336085,NA
"52","MiamiBeach","82",-0.018,-1,1,0.479500122186953,14,0.0310714285714286,0.015,0.15,1.1371350000835,NA
"53","MiamiBeach","83",NA,NA,NA,NA,7,0.0722857142857143,0.015,0.38,1.88079069823848,NA
"54","MiamiBeach","84",NA,NA,NA,NA,12,0.0390833333333333,0.015,0.2,1.31471668661983,NA
"55","MiamiBeach","9",-0.0053,-0.31006006006006,0.457646557415831,0.00327615153215016,74,0.0672567567567568,0.015,0.76,1.32318770636904,NA
