"","program","Monitoring.Location.ID","slope","n_values","mean","min","max","coefficient.of.variation","significant_slope","pvalue"
"1","SFER","1",-0.0615,53,0.695641509433962,0,7.229,1.68042228135479,-0.0615,0.0349805404109183
"2","SFER","10",-0.005,51,0.354078431372549,0,3.827,1.58063376686865,NA,0.643099199543613
"3","SFER","11",0.002,54,0.324722222222222,0,5.504,2.80583943752919,NA,0.614657438396725
"4","SFER","12",-0.0132857142857143,54,0.167648148148148,0,3.255,2.70022091866122,-0.0132857142857143,0.0149004109711748
"5","SFER","13",-0.00833333333333333,53,0.375169811320755,0,8.642,3.13085196000466,NA,0.375911742190997
"6","SFER","14",-0.0088,54,0.127666666666667,0,0.684,1.36239417146737,NA,0.389342377118066
"7","SFER","15",-0.00414285714285714,54,0.226111111111111,0,6.75,4.06591225128186,NA,0.21906998145219
"8","SFER","15.5",-0.00542857142857143,52,0.13375,0,0.921,1.66668373117438,NA,0.0886783285241197
"9","SFER","16",-0.0283333333333334,54,0.444018518518519,0,3.156,1.23629643661765,-0.0283333333333334,0.0125872730937089
"10","SFER","17",-0.015375,55,0.476890909090909,0,8.917,2.91162518152938,-0.015375,0.0135572342204117
"11","SFER","18",0,55,0.255545454545455,0,8.859,4.64307856353934,NA,0.884535048431936
"12","SFER","19",-0.004,55,0.532072727272727,0,8.549,2.17452694083016,NA,0.885725406296168
"13","SFER","2",-0.018,53,0.515075471698113,0,8.363,2.29374510579951,NA,0.366165806141591
"14","SFER","20",0,55,0.636363636363636,0,12.711,3.31975547756744,NA,1
"15","SFER","21.25",NA,1,0.07,0.07,0.07,NA,NA,NA
"16","SFER","21.5",0,53,0.192754716981132,0,2.287,1.98322604032889,NA,0.819064897445335
"17","SFER","21LK",-0.00278571428571429,56,0.414339285714286,0,14.6,4.68981815261546,NA,0.291244106567634
"18","SFER","22",-0.01205,57,0.217578947368421,0,3.325,2.08714280833619,NA,0.254596402245668
"19","SFER","22.5",-0.00829365079365079,53,0.11977358490566,0,1.133,1.46209590978771,NA,0.11016551549311
"20","SFER","23",-0.003125,57,0.253315789473684,0,2.118,1.40077172957299,NA,0.686950948945704
"21","SFER","24",0.0101625,57,0.556385964912281,0,5.17,1.40213611050489,NA,0.420247119912655
"22","SFER","3",-0.011,53,0.311245283018868,0,4.019,1.82836566819613,NA,0.291749343687651
"23","SFER","30",0,54,0.315462962962963,0,7.799,3.85817774298074,NA,1
"24","SFER","30.5",0.000916666666666667,54,0.148185185185185,0,2.295,2.36894750377986,NA,0.510067527557534
"25","SFER","31",2e-04,55,0.331218181818182,0,11.452,4.65056475799801,NA,0.942166106010759
"26","SFER","32",-0.00316666666666667,56,0.158892857142857,0,2.187,2.02023289339655,NA,0.571286772837906
"27","SFER","33",-0.00571428571428571,56,0.127053571428571,0,0.472,0.970434665304202,NA,0.288844366346485
"28","SFER","34",-0.00299999999999999,56,0.276964285714286,0,1.801,1.48409668787422,NA,0.575090569116738
"29","SFER","39",-0.000499999999999999,48,0.168666666666667,0,1.829,1.93500501544022,NA,0.80123089994253
"30","SFER","4",-0.00683333333333333,44,0.222931818181818,0,1.857,1.436532353383,NA,0.11447136336679
"31","SFER","40",0.00183928571428572,52,0.320153846153846,0,7.616,3.3927295606748,NA,0.819408492362866
"32","SFER","41",-0.0025,54,0.166759259259259,0,0.981,1.39506381650206,NA,0.342209821676022
"33","SFER","42",-0.000819444444444444,55,0.165909090909091,0,0.854,1.27344357629611,NA,0.776388431769708
"34","SFER","45",-0.005,55,0.1706,0,1.682,1.89285373975148,NA,0.255908620519372
"35","SFER","46",0.0025,56,0.192107142857143,0,3.762,2.84603008231018,NA,0.622926099384223
"36","SFER","47",0.000857142857142857,56,0.0896964285714286,0,0.652,1.5763352739026,NA,0.437439461708604
"37","SFER","48",0.0035,55,0.139090909090909,0,1.722,2.08113271027911,NA,0.279849610714532
"38","SFER","49",0.00101666666666667,53,0.186716981132075,0,2.323,2.31296590630482,NA,0.611570201769228
"39","SFER","5",-0.00708333333333333,44,0.176045454545455,0,2.316,2.01888229230275,-0.00708333333333333,0.0402172505582533
"40","SFER","5.5",-0.00778571428571429,44,0.446227272727273,0,7.134,2.50453001058863,NA,0.599192949850112
"41","SFER","50",0.00333333333333333,54,0.13037037037037,0,1.136,1.55970358876995,NA,0.420751843366932
"42","SFER","51",0.002875,56,0.165642857142857,0,1.814,2.03157288266617,NA,0.125627593869943
"43","SFER","52",0.000249999999999999,53,0.332377358490566,0,9.361,3.8698925425132,NA,0.880727615607843
"44","SFER","53",0,50,0.14804,0,2.036,2.58931260058412,NA,0.79890666964327
"45","SFER","54",-0.0128928571428571,68,0.610544117647059,0,7.724,2.04017611950594,NA,0.516492552198902
"46","SFER","55",-0.00725,70,0.219257142857143,0,1.955,1.4121271566605,NA,0.102246333052871
"47","SFER","56",-0.005,71,0.213352112676056,0,2.085,1.65476208067967,NA,0.195733548858976
"48","SFER","57",0.000652777777777778,72,0.591472222222222,0,8.18,2.65808132659858,NA,0.605055877142862
