"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation","significant_trend"
"1","SFER","1",-0.005875,-0.293710691823899,0.535797790017756,0.075507140821469,54,0.0920185185185185,0,0.438,1.03721359806473,NA
"2","SFER","10",0.002225,0.101307189542484,0.0568880891839906,0.399781181082027,52,0.0829230769230769,0,1.244,2.06532093020057,NA
"3","SFER","11",0.001,0.0820987654320988,0.841181230404402,0.433594611536134,55,0.0766727272727273,0,2.272,3.99218214583863,NA
"4","SFER","12",0,-0.0753086419753086,0.135844240992549,0.717274753874257,55,0.0217818181818182,0,0.15,1.37994808352638,NA
"5","SFER","13",-0.000669642857142858,-0.128301886792453,0.00555624953488865,0.418247346766835,54,0.0651296296296296,0,0.679,1.44727043087829,NA
"6","SFER","14",0,-0.00308641975308642,0.960035239202565,1,55,0.0304545454545455,0,0.314,1.64588213333512,NA
"7","SFER","15",0,-0.012962962962963,0.676295622282881,0.664183321493074,55,0.0635818181818182,0,2.712,5.72952342580309,NA
"8","SFER","15.5",-0.000508928571428571,-0.145512820512821,0.554173766652631,0.242431935998302,53,0.0288679245283019,0,0.39,2.2471923163035,NA
"9","SFER","16",-0.004,-0.307407407407407,0.724534509345643,0.0247654906353104,55,0.0836545454545455,0.01,1.125,1.79732667699818,NA
"10","SFER","17",-0.002,-0.204242424242424,0.526452143038446,0.15487069837734,56,0.0755178571428571,0,1.674,3.07826886382739,NA
"11","SFER","18",0,-0.0684848484848485,0.116607031643645,0.717746618153607,56,0.0261071428571429,0,0.513,2.75564689843805,NA
"12","SFER","19",-0.00125,-0.176363636363636,0.72750231856383,0.32179522280953,56,0.0999821428571429,0.002,0.8,1.408607756335,NA
"13","SFER","2",0,-0.039622641509434,0.376522784830223,1,54,0.0594814814814815,0,0.521,1.52065142571599,NA
"14","SFER","20",0,-0.0563636363636364,0.206867593122305,0.943056670967043,56,0.0937857142857143,0,2.556,3.72630013020811,NA
"15","SFER","21.25",NA,NA,NA,NA,1,0.02,0.02,0.02,NA,NA
"16","SFER","21.5",0,0.0660377358490566,0.230331512805034,0.492559529097992,54,0.0518333333333333,0,0.852,2.78256222203763,NA
"17","SFER","21LK",0,-0.00739795918367347,0.29310068851819,0.67316323757233,57,0.035859649122807,0,0.633,2.65282343977327,NA
"18","SFER","22",-0.001125,-0.225170068027211,0.898648462794713,0.0326944359367413,57,0.0211754385964912,0,0.16,1.30296421863005,NA
"19","SFER","22.5",-0.001,-0.139102564102564,0.411619756294418,0.33523441379596,53,0.016622641509434,0,0.135,1.33955455446242,NA
"20","SFER","23",0,-0.072108843537415,0.411015908508193,0.838256486385826,57,0.035719298245614,0,0.23,1.228786904488,NA
"21","SFER","24",0.001875,0.0649659863945578,0.405017446765109,0.546418538747625,57,0.111052631578947,0,1.365,1.81138836433839,NA
