"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation","significant_trend"
"1","DEP","BAK020",-0.000553966666666667,-0.611494252873563,0.976220877788377,6.71755707458661e-12,87,0.00269011609195402,0.00025,0.017,0.868774747645884,NA
"2","DEP","BAK021",-0.0006227,-0.746141215106732,0.999850404836365,1.05186688149873e-17,87,0.0023588724137931,0.00025,0.018,1.04137789566735,NA
"3","DEP","BAK022",-0.000595708333333333,-0.711658456486043,0.999955748791929,4.27745791815811e-16,87,0.00237138735632184,0.00025,0.018,1.01308159017027,NA
"4","DEP","BAK023",-0.000593091666666667,-0.678817733990148,0.998686537351702,1.65507846377561e-14,87,0.00249421609195402,0.00025,0.018,0.973758766488567,NA
"5","DEP","BAK024",-0.0006227,-0.748440065681445,0.999903551363015,5.43939792705208e-18,87,0.00234864022988506,0.0002475,0.017,1.01736193245809,NA
"6","DEP","BAK025",-0.0006227,-0.751067323481117,0.999992763118655,6.51426249540443e-18,87,0.00237641494252874,0.0002475,0.018,1.05012627970892,NA
"7","DEP","BAK026",-0.000619683333333333,-0.776792556102901,0.999988451041532,4.37673459032618e-19,87,0.00234084482758621,0.00025,0.018,1.06628455882991,NA
"8","DEP","BAK027",-0.000614083333333333,-0.799233716475096,0.999958674143037,3.11497959125006e-20,87,0.00238435747126437,0.00025,0.018,1.06424848327553,NA
"9","DEP","BAK028",-0.000666666666666667,-0.774603174603175,0.999971713473429,4.37673459032618e-19,87,0.00223761034482759,0.0002475,0.016,1.02203872615495,NA
"10","DEP","BAK029",-0.0006227,-0.730815544608648,0.999995292973991,3.78695814554425e-17,87,0.00227020459770115,0.0002475,0.016,1.01985138663747,NA
"11","DEP","BAK030",-0.001,-0.249808429118774,0.92880605792496,0.00741692466882785,87,0.0129557436781609,0.0002475,0.088,1.24851340467418,NA
"12","DEP","BAK031",-0.000658583333333333,-0.594526546250684,0.991721051960399,1.46632282235166e-11,87,0.00338107931034483,0.0002475,0.02442,1.29866190006252,NA
"13","DEP","BAK032",-0.000666666666666667,-0.599781061850027,0.946849369828399,2.27468566986508e-11,87,0.00377618045977011,0.0002475,0.044,1.78023285923534,NA
"14","DEP","BAK033",-0.000666666666666667,-0.678051450465244,0.990922200573872,1.25573172576689e-14,87,0.00278086781609195,0.0002475,0.023,1.29820721901121,NA
"15","DEP","BOC070",-5e-04,-0.519708994708995,0.974013845651595,2.01075652435402e-09,90,0.00361440333333333,0.00025,0.02,0.895276439709453,NA
"16","DEP","BOC071",-0.0006227,-0.685867895545315,0.972527915258757,1.58493430317723e-16,93,0.00252156989247312,0.0002475,0.02,1.05024003026646,NA
"17","DEP","BOC072",-0.0005987,-0.687770562770563,0.987327809502156,1.44610863780479e-15,88,0.00245847045454545,0.0002475,0.02,1.08778887456544,NA
"18","DEP","BOC073",-0.00062059,-0.65530303030303,0.992020019242298,7.35921644494757e-14,88,0.00279427386363636,0.0002475,0.02,0.978907387811922,NA
"19","DEP","BOC074",-0.00062635,-0.771103896103896,0.999985304246395,2.60226745280879e-19,88,0.00230113863636364,0.0002475,0.02,1.11451972398982,NA
"20","DEP","BOC075",-0.000659583333333333,-0.763528138528139,0.999983384054482,5.54495974222449e-19,88,0.00228774545454545,0.0002475,0.021,1.15896202350087,NA
"21","DEP","BOC076",-0.0005909,-0.661255411255411,0.995337189637772,2.20155668341029e-14,88,0.00287804659090909,0.0002475,0.021,0.973187788782008,NA
"22","DEP","BOC077",-0.000658375,-0.777597402597403,0.999991506545552,1.40180869095443e-19,88,0.00237164431818182,0.0002475,0.021,1.1850239632729,NA
"23","DEP","BOC078",-0.00065165,-0.739718614718615,0.999998936911115,8.2702287557639e-18,88,0.00220838409090909,0.0002475,0.019,1.07476436624665,NA
"24","DEP","BOC079",-0.000665253333333333,-0.742965367965368,0.999998980816919,5.14699073574215e-18,88,0.00223404659090909,0.0002475,0.02,1.09481888681362,NA
"25","DEP","BOC080",-0.000666666666666667,-0.103896103896104,0.857942983522418,0.22386027309071,88,0.0169900193181818,0.00025,0.09041,1.13979021991259,NA
"26","DEP","BOC081",-0.000666666666666667,-0.721861471861472,0.99910744671058,8.02144144128981e-17,88,0.00429367954545455,0.0002475,0.1626,4.02326665251808,NA
"27","DEP","BOC082",-0.000666666666666667,-0.665584415584416,0.94411251682701,1.37207876898695e-14,88,0.00295761136363636,0.00025,0.02,1.1554146791135,NA
"28","DEP","BOC083",-0.0006227,-0.634199134199134,0.640548796067314,2.96691128994093e-13,88,0.00279650454545455,0.0002475,0.02787,1.32104636835368,NA
"29","DEP","BOY090",-0.000573566666666667,-0.557854406130268,0.786098750512012,2.78050184037891e-10,87,0.00310958045977012,0.0002475,0.029,1.30568411502032,NA
"30","DEP","BOY091",-0.000666666666666667,-0.705090311986864,0.997866713927536,8.79873588693168e-16,87,0.00282854252873563,0.0002475,0.029,1.38790757922473,NA
"31","DEP","BOY092",-0.000666666666666667,-0.738461538461539,0.999720294349187,1.26910646739159e-18,91,0.00262737802197802,0.0002475,0.029,1.46383580946995,NA
"32","DEP","BOY093",-0.000608991666666667,-0.635030103995621,0.993945545031242,5.29591015104193e-13,87,0.0029055,0.0002475,0.029,1.38448394099713,NA
"33","DEP","BOY094",-0.000666666666666667,-0.741324575807334,0.999991919621919,1.69073848614368e-17,87,0.00238543218390805,0.0002475,0.028,1.4054228093811,NA
"34","DEP","BOY095",-0.000666666666666667,-0.73639846743295,0.999996007927253,1.83278044467522e-17,87,0.00239845632183908,0.0002475,0.029,1.45359110328211,NA
"35","DEP","BOY096",-0.000666666666666667,-0.747892720306513,0.999992464361735,5.69113923699886e-18,87,0.00242563448275862,0.0002475,0.03,1.48513478679777,NA
"36","DEP","BOY097",-0.000666666666666667,-0.751724137931035,0.999997221156865,4.20281671133378e-18,87,0.00243418505747126,0.0002475,0.03,1.48288488547857,NA
"37","DEP","BOY098",-0.000666666666666667,-0.733661740558292,0.99999870939497,2.47073207723737e-17,87,0.00241156551724138,0.0002475,0.029,1.46913741128547,NA
"38","DEP","BOY099",-0.000666666666666667,-0.733661740558292,0.99999870939497,2.47073207723737e-17,87,0.0023638632183908,0.0002475,0.028,1.4419926185161,NA
"39","DEP","BOY100",-0.000666666666666667,-0.738587848932676,0.999999629964536,1.83278044467522e-17,87,0.00238872413793103,0.0002475,0.028,1.43661170821441,NA
"40","DEP","BOY101",-0.000666666666666667,-0.725451559934319,0.999874880154166,1.08405929487589e-16,87,0.00254374022988506,0.0002475,0.028,1.37622252182946,NA
"41","DEP","BOYPB4",NA,NA,NA,NA,1,0.0002638,0.0002638,0.0002638,NA,NA
"42","DEP","GOC001",-0.000421166666666667,-0.589351851851852,0.671307806517839,2.98822155161001e-09,72,0.00188796527777778,0.00025,0.00613,0.650070984529885,NA
"43","DEP","GOC002",-0.000360533333333333,-0.609859154929578,0.940458677736985,1.79254149603175e-09,71,0.00202205915492958,0.0004706,0.0059,0.562008913894702,NA
"44","DEP","GOC003",-0.000335275,-0.592957746478873,0.893067464775266,3.96363582272599e-09,71,0.00196841408450704,0.0004344,0.00546,0.566701339842206,NA
"45","DEP","GOC004",-0.000495,-0.654929577464789,0.997465268785036,5.35889432632378e-11,71,0.00158643802816901,0.0002475,0.004,0.687186448098953,NA
"46","DEP","GOC005",-0.00043405,-0.671830985915493,0.999074712945064,1.77458052959154e-11,71,0.0016571014084507,0.0002475,0.004,0.649274906259062,NA
"47","DEP","GOC006",-0.000542933333333333,-0.688732394366197,0.940429364029318,7.50569515591747e-12,71,0.00173037323943662,0.0002475,0.007,0.743985295240441,NA
"48","DEP","GOC007",-0.000454133333333333,-0.66056338028169,0.999962595788562,3.90760697977324e-11,71,0.00163201690140845,0.0002475,0.004,0.667645597997226,NA
"49","DEP","GOC008",-0.000472666666666667,-0.694366197183099,0.999976136656163,4.37958844198293e-12,71,0.00172116197183099,0.0002475,0.005,0.660526298376647,NA
"50","DEP","GOC009",-0.000578733333333333,-0.511267605633803,0.960612813356916,3.93169036815643e-07,71,0.00166995070422535,0.0002475,0.006,0.761200126074242,NA
"51","DEP","GOC010",-0.000578733333333333,-0.567605633802817,0.99841402907427,1.61735199988115e-08,71,0.00159816056338028,0.0002475,0.006,0.803948360804717,NA
"52","DEP","GOC011",-0.000578733333333333,-0.638028169014085,0.940684771432182,3.28150834294627e-10,71,0.00182900845070423,0.0002475,0.007,0.742242097716867,NA
"53","DEP","GOC012",-0.000527333333333333,-0.390140845070423,0.270503719955212,0.000179294439487855,71,0.00309717746478873,0.0002475,0.01808,1.15527957634907,NA
"54","DEP","GOC013",-0.000578733333333333,-0.550704225352113,0.543857386099849,5.24910360732984e-08,71,0.00189732816901408,0.0002475,0.01,0.923580940751247,NA
"55","DEP","GOC014",-5e-04,-0.1,0.253018157234152,0.345933067333638,71,0.0130824633802817,0.00025,0.048,0.916464811788648,NA
"56","DEP","GOC015",-0.00067764,-0.398591549295775,0.174127312474396,0.000145083548061051,71,0.00380722535211268,0.0002475,0.0233,1.08863461532255,NA
"57","DEP","HIL050",-0.000525283333333333,-0.584269662921348,0.993928227925394,1.03174439924125e-11,89,0.00282375168539326,0.00025,0.009,0.688055306686043,NA
"58","DEP","HIL051",-0.000651313333333333,-0.749498746867168,0.999789901886713,8.9244682029943e-21,95,0.00239428947368421,0.00025,0.019,1.03839563342205,NA
"59","DEP","HIL052",-0.000532175,-0.571428571428571,0.982764384739529,5.78262885012259e-11,88,0.00262635568181818,0.00025,0.01,0.720611284365733,NA
"60","DEP","HIL053",-0.000666666666666667,-0.670454545454545,0.999918927854885,8.11665828766763e-15,88,0.0023636875,0.0002475,0.01,0.857881966101233,NA
"61","DEP","HIL054",-0.000666666666666667,-0.761904761904762,0.999851264565291,6.37543270958025e-19,88,0.00223307840909091,0.00025,0.009,0.8961864922909,NA
"62","DEP","HIL055",-0.0006272,-0.756493506493506,0.999982463770502,1.34567102137886e-18,88,0.00232411931818182,0.00025,0.01,0.843305213386628,NA
"63","DEP","HIL056",-0.000605025,-0.733766233766234,0.999983953664934,1.63359871477292e-17,88,0.00230008636363636,0.00025,0.01,0.815942286442333,NA
"64","DEP","HIL057",-0.000604841666666667,-0.634199134199134,0.997320015505465,2.87509530134914e-13,88,0.00254047272727273,0.0002475,0.01,0.801914055622061,NA
"65","DEP","HIL058",-0.000592283333333333,-0.753787878787879,0.999944870385294,1.82228575900469e-18,88,0.00239098295454545,0.00025,0.01,0.812628971911011,NA
"66","DEP","HIL059",-0.000598675,-0.654761904761905,0.999943655795466,4.33888044685567e-14,88,0.00237869886363636,0.00025,0.01,0.799086617827231,NA
"67","DEP","HIL060",-0.00040625,-0.0806277056277056,0.507268693887996,0.395177689313838,88,0.0169652795454545,0.0002475,0.06718,0.908466950831147,NA
"68","DEP","HIL061",-0.000610475,-0.556277056277056,0.975634783341539,1.19688786343368e-10,88,0.00277970568181818,0.0002475,0.012,0.831197075828623,NA
"69","DEP","HIL062",-0.000610108333333333,-0.426948051948052,0.105146784091468,7.8553675566718e-07,88,0.00396202613636364,0.0002475,0.01795,1.01668390147991,NA
"70","DEP","HIL063",-0.000666666666666667,-0.651515151515151,0.983564899798245,3.42531642773196e-14,88,0.00264707272727273,0.0002475,0.01746,1.02614311202865,NA
"71","DEP","ILW110",-0.00062611,-0.746141215106732,0.999999670578567,1.05186688149873e-17,87,0.00231892528735632,0.0002475,0.016,1.13067380353598,NA
"72","DEP","ILW111",-0.000666666666666667,-0.719978106185003,0.999997311502507,1.23125886666314e-16,87,0.00234061149425287,0.0002475,0.02,1.1965694747116,NA
"73","DEP","ILW112",-0.000666666666666667,-0.756102900930487,0.999944079251965,1.73201397065329e-18,87,0.00230324252873563,0.0002475,0.021,1.25838700521703,NA
"74","DEP","ILW113",-0.000666666666666667,-0.734209085933224,0.99999951700706,2.93737196088638e-17,87,0.00236808735632184,0.0002475,0.019,1.19936719764904,NA
"75","DEP","ILW114",-0.000666666666666667,-0.722714833059661,0.999999611652193,6.84616807676063e-17,87,0.00224444712643678,0.0002475,0.021,1.22560042478754,NA
"76","DEP","ILW115",-0.000666666666666667,-0.731277056277056,0.999981690430109,1.30991696844479e-17,88,0.00228190340909091,0.0002475,0.022,1.28669647363966,NA
"77","DEP","ILW116",-0.000666666666666667,-0.731472359058566,0.999984613321505,2.16773177422801e-17,87,0.00232184367816092,0.0002475,0.023,1.33046466548749,NA
"78","DEP","ILW117",-0.000666666666666667,-0.72928297755884,0.999998586851227,3.32835816748289e-17,87,0.00231464137931034,0.0002475,0.022,1.2852140103683,NA
"79","DEP","ILW118",-0.000666666666666667,-0.729830322933771,0.999999695264053,3.95265416469848e-17,87,0.00228194022988506,0.0002475,0.02,1.22257648692323,NA
"80","DEP","ILW119",-0.000666666666666667,-0.736147186147186,0.999997955671425,9.68953560021892e-18,88,0.00228633863636364,0.0002475,0.021,1.26220290449654,NA
"81","DEP","JUP120",-0.000562883333333333,-0.751176792556103,0.997569139937055,4.45664875884132e-18,87,0.00251089770114943,0.00025,0.02,1.01390908656672,NA
"82","DEP","JUP121",-0.000666666666666667,-0.748440065681445,0.999736331745563,3.66516731941802e-18,87,0.00230967011494253,0.0002475,0.021,1.18831172515083,NA
"83","DEP","JUP122",-0.000666666666666667,-0.721072796934866,0.998373443875949,9.18477635941411e-17,87,0.00235607126436782,0.00025,0.021,1.15568264394334,NA
"84","DEP","JUP123",-0.000586441666666667,-0.745703338806787,0.999938340082709,7.78828054870665e-18,87,0.0024657091954023,0.00025,0.02,1.07513741853647,NA
"85","DEP","JUP124",-0.000666666666666667,-0.747892720306513,0.999995569559642,5.69113923699886e-18,87,0.00224722873563218,0.0002475,0.022,1.2390525861704,NA
"86","DEP","JUP125",-0.000666666666666667,-0.755446086480569,0.999991569121493,2.70253794468842e-18,87,0.00227581954022989,0.0002475,0.021,1.19011634038692,NA
"87","DEP","JUP126",-0.000666666666666667,-0.722714833059661,0.999997370601893,6.84616807676063e-17,87,0.00228365402298851,0.0002475,0.022,1.26999365399655,NA
"88","DEP","JUP127",-0.000666666666666667,-0.715051997810618,0.999998836279349,1.39825278837983e-16,87,0.00226078390804598,0.0002475,0.022,1.25709197547572,NA
"89","DEP","JUP128",-0.000666666666666667,-0.732567049808429,0.999991324440381,2.16773177422801e-17,87,0.00217184022988506,0.0002475,0.021,1.18565309448013,NA
"90","DEP","JUP129",-0.000666666666666667,-0.722167487684729,0.99999788128893,6.84616807676063e-17,87,0.00217342183908046,0.0002475,0.022,1.22670328779556,NA
"91","DEP","PEV040",-0.000445916666666667,-0.572851669403393,0.987183543965081,1.70173510796863e-10,87,0.00289228390804598,0.00025,0.011,0.704626264052104,NA
"92","DEP","PEV041",-0.0004813,-0.603503010399562,0.994916801062217,7.3130184113544e-12,87,0.00276936896551724,0.00025,0.011,0.71846984600519,NA
"93","DEP","PEV042",-0.000534733333333333,-0.654734537493158,0.983807891523479,1.50219465690739e-13,87,0.00260951954022988,0.00025,0.012,0.778904699139652,NA
"94","DEP","PEV043",-0.000571666666666667,-0.663744588744589,0.999994146932295,2.11614398922499e-14,88,0.00259189659090909,0.0002475,0.012,0.827574477648304,NA
"95","DEP","PEV044",-0.0006276,-0.741017316017316,0.999760451474481,4.50232475392267e-18,88,0.00225442613636364,0.0002475,0.011,0.892669207624802,NA
"96","DEP","PEV045",-0.00064,-0.759824849480022,0.999746219426836,1.99135684518832e-18,87,0.00231381724137931,0.00025,0.011,0.919788850477886,NA
"97","DEP","PEV046",-0.000590008333333333,-0.674986316365627,0.994554369941756,7.38349438884396e-15,87,0.00274881724137931,0.00025,0.02748,1.24980477856123,NA
"98","DEP","PEV047",-0.000590875,-0.75927750410509,0.999025027471002,1.27428722372329e-18,87,0.00235582528735632,0.00025,0.012,0.936773452385487,NA
"99","DEP","PEV048",-0.00062635,-0.769129720853859,0.99999451894821,6.88348967450955e-19,87,0.00228097701149425,0.00025,0.012,0.886762879152252,NA
"100","DEP","PEV049",-0.000666666666666667,-0.756102900930487,0.999867022456246,2.28726827753266e-18,87,0.00225699195402299,0.0002475,0.013,0.96740124145975,NA
"101","DEP","PEV050",-0.000167766666666667,-0.0388615216201423,0.592672924423139,0.682339507640926,87,0.0190960183908046,0.0002475,0.128,1.11168539319844,NA
"102","DEP","PEV051",-0.000578733333333333,-0.458784893267652,0.552751734386399,2.21678649026908e-07,87,0.00348715747126437,0.0002475,0.017,0.983214514890215,NA
"103","DEP","PEV052",-0.0006227,-0.646524356869184,0.999207476999105,2.47537049378215e-13,87,0.0025342091954023,0.0002475,0.016,0.935958780299984,NA
"104","DEP","PEV053",-0.000666666666666667,-0.747673782156541,0.999756757905638,6.51426249540443e-18,87,0.00238404712643678,0.0002475,0.012,0.969745817644491,NA
"105","DEP","STL161",-0.0002516,-0.272685185185185,0.204277559360507,0.00743913122474198,72,0.00479003611111111,0.00025,0.04477,1.5354948038873,NA
"106","DEP","STL162",-0.00045,-0.433333333333333,0.538408523723667,1.41242710822069e-05,73,0.00309277397260274,0.00025,0.03896,1.62875365510939,NA
"107","DEP","STL163",-0.0004606,-0.408796296296296,0.669602777870853,3.71828421773772e-05,72,0.00245892777777778,0.00025,0.01689,1.15421238294049,NA
"108","DEP","STL164",-0.000503333333333333,-0.469483568075117,0.673545651570315,2.11034182475836e-06,71,0.00200095492957747,0.0002475,0.008978,0.817658932343618,NA
"109","DEP","STL165",-0.000519233333333333,-0.508796296296296,0.804961889748107,2.15312295786077e-07,72,0.00176270416666667,0.0002475,0.0063,0.722877035395811,NA
"110","DEP","STL166",-0.000495566666666667,-0.39212962962963,0.662064261446083,9.02356398421861e-05,72,0.00316143888888889,0.00025,0.04,1.69576125878738,NA
"111","DEP","STL167",-0.000552616666666667,-0.497685185185185,0.886212522306283,4.54921967772157e-07,72,0.00181841111111111,0.0002475,0.00765,0.79292682815371,NA
"112","DEP","STL168",-0.0005192375,-0.464351851851852,0.789131364256909,2.30547960576977e-06,72,0.00176179444444444,0.0002475,0.00606,0.725046522925303,NA
"113","DEP","STL169",-0.000320020833333333,-0.331018518518519,0.325863847037077,0.000858050341946916,72,0.0035347,0.00025,0.037,1.78343612720813,NA
"114","DEP","STL170",-0.000497466666666667,-0.514351851851852,0.616411154084378,1.5117336405045e-07,72,0.00172724722222222,0.0002475,0.00492,0.701393504770634,NA
"115","DEP","STL171",-0.000450516666666667,-0.436574074074074,0.513378598048047,1.18002798131309e-05,72,0.00279013194444444,0.00025,0.02475,1.28778057809693,NA
"116","DEP","STL172",-0.0004564625,-0.468055555555556,0.417628293935149,1.63076934833888e-06,72,0.00179984861111111,0.0002475,0.00445,0.677438823415099,NA
"117","DEP","STLMC1",NA,NA,NA,NA,1,0.002465,0.002465,0.002465,NA,NA
"118","FIU_WQMP","200-W",-1.16666666666667e-05,-0.236296296296296,0.14524579030805,0.128109406688673,51,0.000336862745098039,0.00014,0.00148,0.73927455349354,NA
"119","FIU_WQMP","201-W",-2.8e-05,-0.508045977011494,0.738949116160465,0.00979494077453687,33,0.000461212121212121,0.00017,0.0016,0.732123824236413,NA
"120","FIU_WQMP","203-W",-1e-05,-0.182142857142857,0.429101610040569,0.351293754375733,33,0.000289090909090909,0.00014,0.00113,0.679133809714965,NA
"121","FIU_WQMP","204-W",-4.375e-05,-0.506666666666667,0.0443538729942512,0.00410384029356591,34,0.000518823529411765,0.00017,0.00154,0.62799027077117,NA
"122","FIU_WQMP","206-W",6.00000000000001e-06,0.0511904761904762,0.102135741442161,0.641185879737966,33,0.000260909090909091,0.00014,0.00066,0.494499697257953,NA
"123","FIU_WQMP","207-W",-1e-05,-0.204597701149425,0.478483627662657,0.518443603650644,33,0.00053,0.00014,0.00384,1.22030407826567,NA
"124","FIU_WQMP","209-W",-8.91666666666667e-05,-0.296296296296296,0.599435941254367,0.215010215221023,32,0.0010371875,0.00017,0.00227,0.554845363283491,NA
"125","FIU_WQMP","210-W",-1e-05,-0.188095238095238,0.30374790351997,0.562833753917326,33,0.000243939393939394,0.00014,0.00073,0.589881551321389,NA
"126","FIU_WQMP","211-W",1.8e-05,0.0214285714285714,0.326154424745348,0.559304946892258,32,0.000685625,0.00019,0.00242,0.861329274103868,NA
"127","FIU_WQMP","212-W",-1e-05,-0.177011494252874,0.396054116040048,0.439510140444555,33,0.000326969696969697,0.00014,0.00245,1.22506180164719,NA
"128","FIU_WQMP","213-W",-1e-05,-0.251269841269841,0.704861957875878,0.0947934652134732,47,0.000287872340425532,0.00014,0.00125,0.669639978258147,NA
