"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation","significant_trend"
"1","BBAP","BB14",-0.00333333333333333,-0.0203389830508475,0.125069317735819,0.8291760097394,59,0.356101694915254,0.16,0.72,0.326365832384263,NA
"2","BBAP","BH22",0,0.0182539682539683,0.902970719684878,1,43,0.286744186046512,0.16,0.54,0.285531492561021,NA
"3","BBAP","CWA2",-0.00750000000000001,-0.0789473684210526,NA,0.474862672305768,39,0.366666666666667,0.16,0.81,0.311543883147426,NA
"4","BBAP","CWA4",NA,NA,NA,NA,3,0.286666666666667,0.25,0.36,0.221541382363461,NA
"5","BBAP","CWA5",-0.015,-0.25,NA,0.488422316622593,15,0.244666666666667,0.16,0.65,0.502211062658345,NA
"6","BBAP","DM00",NA,NA,NA,NA,4,0.67,0.29,1.2,0.631938723950313,NA
"7","BBAP","DM08",-0.005,-0.063963963963964,0.737531971348929,0.505856230252913,74,0.427162162162162,0.2,1.2,0.387112666781577,NA
"8","BBAP","DM28",NA,NA,NA,NA,2,0.44,0.43,0.45,0.0321412173266613,NA
"9","BBAP","FK01",NA,NA,NA,NA,1,0.58,0.58,0.58,NA,NA
"10","BBAP","JFK03",0,0.00185185185185185,0.318392241272894,0.936342192719063,54,0.392777777777778,0.2,1.2,0.449610305136892,NA
"11","BBAP","JT29",NA,NA,NA,NA,1,0.37,0.37,0.37,NA,NA
"12","BBAP","JT61",-0.005,-0.196078431372549,0.939242783038669,0.627034077870414,35,0.374,0.18,1.2,0.499809458826725,NA
"13","BBAP","JT66",-0.00999999999999999,-0.179393939393939,0.65026488218795,0.220013809191066,55,0.326727272727273,0.18,0.57,0.274263385390329,NA
"14","BBAP","JT71",-0.005,-0.0976608187134503,0.217597641861742,0.417489786999737,57,0.339473684210526,0.16,0.62,0.292431301625654,NA
"15","BBAP","LR03",0,-0.001140174379611,0.787908938643352,1,71,0.765352112676056,0.31,1.1,0.223584585092434,NA
"16","BBAP","LR05",NA,NA,NA,NA,2,1.07,0.94,1.2,0.171820339353741,NA
"17","BBAP","LR06",NA,NA,NA,NA,2,0.985,0.97,1,0.0215362471427375,NA
"18","BBAP","LRNSP",NA,NA,NA,NA,1,2.1,2.1,2.1,NA,NA
"19","BBAP","LRSC",NA,NA,NA,NA,1,0.9,0.9,0.9,NA,NA
"20","BBAP","LRSP",NA,NA,NA,NA,2,2.2,2.2,2.2,0,NA
