"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation","significant_trend"
"1","MiamiBeach","#1",NA,NA,NA,NA,1,0.27,0.27,0.27,NA,NA
"2","MiamiBeach","#10",NA,NA,NA,NA,1,0.29,0.29,0.29,NA,NA
"3","MiamiBeach","#11",NA,NA,NA,NA,1,0.29,0.29,0.29,NA,NA
"4","MiamiBeach","#12",NA,NA,NA,NA,1,0.3,0.3,0.3,NA,NA
"5","MiamiBeach","#13",NA,NA,NA,NA,1,0.31,0.31,0.31,NA,NA
"6","MiamiBeach","#14",NA,NA,NA,NA,1,0.28,0.28,0.28,NA,NA
"7","MiamiBeach","#15",NA,NA,NA,NA,1,0.31,0.31,0.31,NA,NA
"8","MiamiBeach","#16",NA,NA,NA,NA,1,0.33,0.33,0.33,NA,NA
"9","MiamiBeach","#17",NA,NA,NA,NA,1,0.34,0.34,0.34,NA,NA
"10","MiamiBeach","#18",NA,NA,NA,NA,1,0.37,0.37,0.37,NA,NA
"11","MiamiBeach","#19",NA,NA,NA,NA,1,0.32,0.32,0.32,NA,NA
"12","MiamiBeach","#2",NA,NA,NA,NA,1,0.31,0.31,0.31,NA,NA
"13","MiamiBeach","#20",NA,NA,NA,NA,1,0.28,0.28,0.28,NA,NA
"14","MiamiBeach","#21",NA,NA,NA,NA,1,0.31,0.31,0.31,NA,NA
"15","MiamiBeach","#22",NA,NA,NA,NA,1,0.26,0.26,0.26,NA,NA
"16","MiamiBeach","#23",NA,NA,NA,NA,1,0.26,0.26,0.26,NA,NA
"17","MiamiBeach","#24",NA,NA,NA,NA,1,0.26,0.26,0.26,NA,NA
"18","MiamiBeach","#3",NA,NA,NA,NA,1,0.26,0.26,0.26,NA,NA
"19","MiamiBeach","#3A",NA,NA,NA,NA,1,1.5,1.5,1.5,NA,NA
"20","MiamiBeach","#3B",NA,NA,NA,NA,1,0.28,0.28,0.28,NA,NA
"21","MiamiBeach","#4",NA,NA,NA,NA,1,0.28,0.28,0.28,NA,NA
"22","MiamiBeach","#5",NA,NA,NA,NA,1,0.32,0.32,0.32,NA,NA
"23","MiamiBeach","#6",NA,NA,NA,NA,1,0.33,0.33,0.33,NA,NA
"24","MiamiBeach","#7",NA,NA,NA,NA,1,0.29,0.29,0.29,NA,NA
"25","MiamiBeach","#8",NA,NA,NA,NA,1,0.31,0.31,0.31,NA,NA
"26","MiamiBeach","#9",NA,NA,NA,NA,1,0.28,0.28,0.28,NA,NA
