"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation","significant_trend"
"1","MiamiBeach","#1",NA,NA,NA,NA,1,0.019,0.019,0.019,NA,NA
"2","MiamiBeach","#10",NA,NA,NA,NA,1,0.025,0.025,0.025,NA,NA
"3","MiamiBeach","#11",NA,NA,NA,NA,1,0.029,0.029,0.029,NA,NA
"4","MiamiBeach","#12",NA,NA,NA,NA,1,0.038,0.038,0.038,NA,NA
"5","MiamiBeach","#13",NA,NA,NA,NA,1,0.018,0.018,0.018,NA,NA
"6","MiamiBeach","#14",NA,NA,NA,NA,1,0.035,0.035,0.035,NA,NA
"7","MiamiBeach","#15",NA,NA,NA,NA,1,0.033,0.033,0.033,NA,NA
"8","MiamiBeach","#16",NA,NA,NA,NA,1,0.05,0.05,0.05,NA,NA
"9","MiamiBeach","#17",NA,NA,NA,NA,1,0.063,0.063,0.063,NA,NA
"10","MiamiBeach","#18",NA,NA,NA,NA,1,0.043,0.043,0.043,NA,NA
"11","MiamiBeach","#19",NA,NA,NA,NA,1,0.042,0.042,0.042,NA,NA
"12","MiamiBeach","#2",NA,NA,NA,NA,1,0.031,0.031,0.031,NA,NA
"13","MiamiBeach","#20",NA,NA,NA,NA,1,0.032,0.032,0.032,NA,NA
"14","MiamiBeach","#21",NA,NA,NA,NA,1,0.034,0.034,0.034,NA,NA
"15","MiamiBeach","#22",NA,NA,NA,NA,1,0.037,0.037,0.037,NA,NA
"16","MiamiBeach","#23",NA,NA,NA,NA,1,0.019,0.019,0.019,NA,NA
"17","MiamiBeach","#24",NA,NA,NA,NA,1,0.019,0.019,0.019,NA,NA
"18","MiamiBeach","#3",NA,NA,NA,NA,1,0.017,0.017,0.017,NA,NA
"19","MiamiBeach","#3A",NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"20","MiamiBeach","#3B",NA,NA,NA,NA,1,0.017,0.017,0.017,NA,NA
"21","MiamiBeach","#4",NA,NA,NA,NA,1,0.022,0.022,0.022,NA,NA
"22","MiamiBeach","#5",NA,NA,NA,NA,1,0.016,0.016,0.016,NA,NA
"23","MiamiBeach","#6",NA,NA,NA,NA,1,0.026,0.026,0.026,NA,NA
"24","MiamiBeach","#7",NA,NA,NA,NA,1,0.021,0.021,0.021,NA,NA
"25","MiamiBeach","#8",NA,NA,NA,NA,1,0.033,0.033,0.033,NA,NA
"26","MiamiBeach","#9",NA,NA,NA,NA,1,0.029,0.029,0.029,NA,NA
"27","MiamiBeach","1",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"28","MiamiBeach","10",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"29","MiamiBeach","11",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"30","MiamiBeach","12",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"31","MiamiBeach","13",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"32","MiamiBeach","14",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"33","MiamiBeach","15",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
