"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation","significant_trend"
"1","BROWARD","1",0.00118333333333333,0.242857142857143,0.709214818001079,0.513525117088874,30,0.05877,0.018,0.125,0.448603662652314,NA
"2","BROWARD","10",0.000214285714285714,0.15679012345679,0.580421636411347,0.814921091146469,30,0.02007,0.006,0.046,0.495556748249479,NA
"3","BROWARD","11",0,-0.104444444444444,0.0334796054697408,0.304471527530064,56,0.0166892857142857,0.002,0.07,1.25170408057573,NA
"4","BROWARD","110",0.00353571428571429,0.555555555555556,0.979271874023047,0.0120900251483998,30,0.0282533333333333,0.003,0.064,0.630023574024199,NA
"5","BROWARD","111",0.000899999999999999,0.215384615384615,0.53615217840645,0.251452186508022,30,0.0266866666666667,0.005,0.055,0.462854400759309,NA
"6","BROWARD","112",0.002,0.433333333333333,0.930359275377071,0.0452013529765221,29,0.0305965517241379,0.003,0.06,0.476133054944638,NA
"7","BROWARD","12",-7.14285714285714e-05,-0.396153846153846,NA,0.0716332837657288,30,0.00408666666666667,0.002,0.007,0.341656119204721,NA
"8","BROWARD","120",0.00030952380952381,0.171428571428571,0.879605696336617,0.745363078747956,30,0.0695133333333333,0.026,0.141,0.392489073013219,NA
"9","BROWARD","121",0,0.164666666666667,0.00126954133154311,0.0413826879956238,57,0.00671929824561404,0.003,0.043,1.19714491927477,NA
"10","BROWARD","122",-0.00025,-0.173643410852713,0.209575062326782,0.0235772305931298,45,0.00488444444444444,0.003,0.009,0.340264401337486,NA
"11","BROWARD","123",0,0.0708333333333333,0.0493237542104373,1,28,0.0168214285714286,0.004,0.048,0.776802745000327,NA
"12","BROWARD","124",0,0.100280112044818,0.11135073678559,0.927333896547233,56,0.00947142857142857,0.003,0.032,0.57470932442977,NA
"13","BROWARD","125",0.00025,0.26,0.907515857763896,0.587364774995711,28,0.0145,0.002,0.039,0.640798154701901,NA
"14","BROWARD","128",-0.00065,-0.0242424242424242,NA,0.768894485495812,24,0.0159166666666667,0.003,0.032,0.47158342732655,NA
"15","BROWARD","129",-0.002875,-0.490909090909091,0.97827631980475,0.109852775025913,24,0.0213333333333333,0.005,0.059,0.692744938827949,NA
"16","BROWARD","14",-8.33333333333333e-05,-0.311538461538462,NA,0.135908397847371,30,0.00465333333333333,0.002,0.008,0.34824516725433,NA
"17","BROWARD","15",8e-04,0.0828349944629014,0.600757047559378,0.345958213197333,45,0.0199711111111111,0.0056,0.05,0.424873250915956,NA
"18","BROWARD","16",0.002,0.113888888888889,0.449569569003814,0.456966699101389,29,0.0413448275862069,0.007,0.084,0.483748361583284,NA
"19","BROWARD","17",0,-0.0716666666666666,0.447678511919737,1,24,0.0205833333333333,0.003,0.078,0.799702198052026,NA
"20","BROWARD","19",0.001125,0.0568181818181818,0.177272897403762,0.541536535440635,46,0.0246391304347826,0.004,0.06,0.500228494431076,NA
