"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation","significant_trend"
"1","MiamiBeach","#1",NA,NA,NA,NA,1,5.7,5.7,5.7,NA,NA
"2","MiamiBeach","#10",NA,NA,NA,NA,1,6.42,6.42,6.42,NA,NA
"3","MiamiBeach","#11",NA,NA,NA,NA,1,6.44,6.44,6.44,NA,NA
"4","MiamiBeach","#12",NA,NA,NA,NA,1,5.51,5.51,5.51,NA,NA
"5","MiamiBeach","#13",NA,NA,NA,NA,1,6.28,6.28,6.28,NA,NA
"6","MiamiBeach","#14",NA,NA,NA,NA,1,5.43,5.43,5.43,NA,NA
"7","MiamiBeach","#15",NA,NA,NA,NA,1,5.93,5.93,5.93,NA,NA
"8","MiamiBeach","#16",NA,NA,NA,NA,1,5.25,5.25,5.25,NA,NA
"9","MiamiBeach","#17",NA,NA,NA,NA,1,5.1,5.1,5.1,NA,NA
"10","MiamiBeach","#18",NA,NA,NA,NA,1,5.23,5.23,5.23,NA,NA
"11","MiamiBeach","#19",NA,NA,NA,NA,1,4.96,4.96,4.96,NA,NA
"12","MiamiBeach","#2",NA,NA,NA,NA,1,5.52,5.52,5.52,NA,NA
"13","MiamiBeach","#20",NA,NA,NA,NA,1,5.87,5.87,5.87,NA,NA
"14","MiamiBeach","#21",NA,NA,NA,NA,1,5.62,5.62,5.62,NA,NA
"15","MiamiBeach","#22",NA,NA,NA,NA,1,5.77,5.77,5.77,NA,NA
"16","MiamiBeach","#23",NA,NA,NA,NA,1,6.22,6.22,6.22,NA,NA
"17","MiamiBeach","#24",NA,NA,NA,NA,1,5.85,5.85,5.85,NA,NA
"18","MiamiBeach","#3",NA,NA,NA,NA,1,5.81,5.81,5.81,NA,NA
"19","MiamiBeach","#3A",NA,NA,NA,NA,1,1.85,1.85,1.85,NA,NA
"20","MiamiBeach","#3B",NA,NA,NA,NA,1,5.82,5.82,5.82,NA,NA
"21","MiamiBeach","#4",NA,NA,NA,NA,1,5.9,5.9,5.9,NA,NA
"22","MiamiBeach","#5",NA,NA,NA,NA,1,6.09,6.09,6.09,NA,NA
"23","MiamiBeach","#6",NA,NA,NA,NA,1,6.25,6.25,6.25,NA,NA
"24","MiamiBeach","#7",NA,NA,NA,NA,1,6.67,6.67,6.67,NA,NA
"25","MiamiBeach","#8",NA,NA,NA,NA,1,5.9,5.9,5.9,NA,NA
"26","MiamiBeach","#9",NA,NA,NA,NA,1,6.75,6.75,6.75,NA,NA
"27","MiamiBeach","1",NA,NA,NA,NA,11,3.75272727272727,1.49,5.7,0.400367997308394,NA
"28","MiamiBeach","10",NA,NA,NA,NA,11,4.44636363636364,3.04,6.18,0.251407368905118,NA
"29","MiamiBeach","11",NA,NA,NA,NA,11,4.67545454545455,3.43,6.18,0.188843899664761,NA
"30","MiamiBeach","12",NA,NA,NA,NA,11,3.77727272727273,2.18,5.47,0.257003900568851,NA
"31","MiamiBeach","13",NA,NA,NA,NA,11,4.71090909090909,3.37,7,0.245715720793715,NA
"32","MiamiBeach","14",NA,NA,NA,NA,11,4.46181818181818,3.24,5.92,0.183074553884447,NA
"33","MiamiBeach","15",NA,NA,NA,NA,11,4.38545454545455,3.33,6.14,0.198821259865429,NA
"34","MiamiBeach","16",NA,NA,NA,NA,11,4.21363636363636,2.87,5.5,0.217478724658728,NA
"35","MiamiBeach","17",NA,NA,NA,NA,11,4.21636363636364,2.82,6.11,0.273606086134637,NA
"36","MiamiBeach","18",NA,NA,NA,NA,11,4.06545454545455,2.52,6.06,0.2694775782592,NA
"37","MiamiBeach","19",NA,NA,NA,NA,11,3.83090909090909,2.21,5.17,0.237293141649147,NA
