"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation","significant_slope","pvalue"
"1","SFER","1",-0.000777777777777778,-0.0974842767295597,0.713340459932817,0.654421505659851,54,0.0686111111111111,0,0.26,0.751038572361673,NA,0.654421505659851
"2","SFER","10",0.00338095238095238,0.307843137254902,0.800525839031344,0.0255507605360344,52,0.0500192307692308,0,0.27,1.1341984809013,0.00338095238095238,0.0255507605360344
"3","SFER","11",0.00285714285714286,0.247530864197531,0.743019001660379,0.0456839845200183,55,0.0553454545454545,0,0.918,2.38831074897908,0.00285714285714286,0.0456839845200183
"4","SFER","12",0.005,0.362962962962963,0.876216544689099,0.00923281811204845,55,0.0438,0,0.28,1.05348065147937,0.005,0.00923281811204845
"5","SFER","13",0.00235,0.218238993710692,0.700557800004045,0.0905470395425338,54,0.0384814814814815,0,0.34,1.41361021059122,NA,0.0905470395425338
"6","SFER","14",0.0025,0.251234567901235,0.69838164457328,0.0736536390959476,55,0.0368727272727273,0,0.26,1.1600965974705,NA,0.0736536390959476
"7","SFER","15",0.0045,0.342592592592593,0.577959715350652,0.00844070037506001,55,0.0488545454545455,0,0.332,1.35783152077621,0.0045,0.00844070037506001
"8","SFER","15.5",0.00385714285714286,0.258333333333333,0.729931887419515,0.0835559726036725,53,0.0515849056603774,0,0.28,1.22253208589012,NA,0.0835559726036725
"9","SFER","16",0.003,0.278395061728395,0.712001584996828,0.0702156410497133,55,0.0695272727272727,0,0.67,1.90279007027325,NA,0.0702156410497133
"10","SFER","17",0.00366666666666667,0.342424242424242,0.4898694398474,0.0186154080858688,56,0.0436428571428571,0,0.31,1.26420657047297,0.00366666666666667,0.0186154080858688
"11","SFER","18",0.004,0.245454545454545,0.575378641572014,0.0554180336197311,56,0.0372678571428571,0,0.31,1.31816685490896,NA,0.0554180336197311
"12","SFER","19",0.005,0.352121212121212,0.713751598721528,0.00833046705541092,56,0.047,0,0.367,1.49924875216117,0.005,0.00833046705541092
"13","SFER","2",0.00125,0.0345911949685535,0.6769944881274,0.656794711973905,54,0.0665185185185185,0,0.32,0.775679307201312,NA,0.656794711973905
"14","SFER","20",0.00283333333333333,0.329090909090909,0.985042272901709,0.01045021541916,56,0.0498214285714286,0,0.419,1.54929534203688,0.00283333333333333,0.01045021541916
"15","SFER","21.25",NA,NA,NA,NA,1,0.12,0.12,0.12,NA,NA,NA
"16","SFER","21.5",0.00651388888888889,0.417610062893082,0.813875625895322,0.00237268591994742,54,0.0491851851851852,0,0.36,1.41913757501785,0.00651388888888889,0.00237268591994742
"17","SFER","21LK",0.004625,0.320493197278912,0.864148898406603,0.0184663384538995,57,0.0610350877192982,0,1.007,2.27416634781904,0.004625,0.0184663384538995
"18","SFER","22",0.00292857142857143,0.261649659863946,0.773264090605804,0.103265150993445,57,0.0567017543859649,0,0.581,1.58240551150805,NA,0.103265150993445
"19","SFER","22.5",0.004,0.300274725274725,0.795970158110457,0.0409611868778829,53,0.0465094339622642,0,0.301,1.25441294698217,0.004,0.0409611868778829
"20","SFER","23",0.001625,0.205272108843537,0.775229532991702,0.155569932587742,57,0.0535789473684211,0,0.452,1.48367413927465,NA,0.155569932587742
"21","SFER","24",0.007,0.384013605442177,0.77998379563699,0.00865460611840145,57,0.0579824561403509,0,0.407,1.38420335237048,0.007,0.00865460611840145
"22","SFER","3",0.00333333333333333,0.186792452830189,0.130799496013453,0.118882251697413,54,0.0628333333333333,0,0.31,0.77901462663007,NA,0.118882251697413
"23","SFER","30",0.000666666666666666,0.154320987654321,0.443852551176103,0.643757577834405,54,0.0556481481481481,0,0.32,1.04995193541305,NA,0.643757577834405
"24","SFER","30.5",0.00366666666666667,0.215432098765432,0.713480749709132,0.381048050129324,54,0.055,0,0.215,0.968494823738514,NA,0.381048050129324
"25","SFER","31",0.0045,0.192727272727273,0.687775880042172,0.385235854403694,55,0.0609272727272727,0,0.217,0.855746445311685,NA,0.385235854403694
"26","SFER","32",0.0012,0.1,0.948599134083906,0.943999504901491,56,0.0894464285714286,0,0.318,0.797884425013715,NA,0.943999504901491
"27","SFER","33",-0.00383333333333333,-0.0714285714285714,0.842522184264933,0.259875236481204,56,0.110339285714286,0,0.35,0.736148696635546,NA,0.259875236481204
"28","SFER","34",-0.002875,-0.0339285714285714,0.8186871677874,0.479133580928114,56,0.164232142857143,0,0.515,0.636709718858888,NA,0.479133580928114
"29","SFER","39",0.00275,0.163888888888889,0.775762887647686,0.456365246232059,48,0.128395833333333,0,0.91,1.10238019071184,NA,0.456365246232059
"30","SFER","4",0.00153571428571429,0.255038759689922,0.907525155879382,0.103987820875489,44,0.0478863636363636,0,0.29,1.04955614877643,NA,0.103987820875489
"31","SFER","40",0.0045,0.264102564102564,0.721808994190475,0.253649788106754,52,0.0978846153846154,0,0.464,0.884356230050325,NA,0.253649788106754
"32","SFER","41",0,0.0339506172839506,0.694305309728573,0.941756658169848,54,0.0854259259259259,0,0.295,0.766209731604467,NA,0.941756658169848
"33","SFER","42",0,0.036969696969697,0.936774348302425,1,55,0.0966181818181818,0,0.719,1.11751004083763,NA,1
"34","SFER","45",0.003,0.136363636363636,0.56885422417031,0.569996072896326,55,0.0756363636363636,0,0.726,1.38064873560614,NA,0.569996072896326
"35","SFER","46",0.002,0.172619047619048,0.783880976749286,0.440460654697375,56,0.0668214285714286,0,0.667,1.38630361100287,NA,0.440460654697375
"36","SFER","47",0.00212857142857143,0.201190476190476,0.943782080834353,0.292831524506404,56,0.0692678571428571,0,0.915,1.79962834602194,NA,0.292831524506404
"37","SFER","48",0.00116666666666667,0.161212121212121,0.835882242420808,0.516729927808932,55,0.0754181818181818,0,1.002,1.84127661643189,NA,0.516729927808932
"38","SFER","49",0.00525,0.310062893081761,0.621602175819771,0.0716878448008629,53,0.077377358490566,0,1.343,2.39691297183882,NA,0.0716878448008629
"39","SFER","5",0.0015,0.065891472868217,0.606021239837022,0.512075045837903,44,0.0500454545454545,0,0.36,1.31260437537595,NA,0.512075045837903
"40","SFER","5.5",0.005,0.474603174603175,0.46789037491521,0.000424491422562682,45,0.0433777777777778,0,0.26,1.02991068043758,0.005,0.000424491422562682
"41","SFER","50",0.006,0.373456790123457,0.918702676716373,0.012114660054219,54,0.0648703703703704,0,0.615,1.36480275626241,0.006,0.012114660054219
"42","SFER","51",0.00453571428571429,0.2875,0.500828538385672,0.0810444366829562,56,0.0617678571428571,0,0.232,0.973525404215271,NA,0.0810444366829562
"43","SFER","52",0.006,0.257232704402516,0.740252488851987,0.116164716849481,53,0.0785471698113208,0,0.756,1.40443202586814,NA,0.116164716849481
"44","SFER","53",0.00233333333333333,0.201333333333333,0.538847445069507,0.506457471247769,50,0.09056,0,1.256,1.95088054542634,NA,0.506457471247769
"45","SFER","54",0.00875,0.372478991596639,0.752943758030349,0.00206822609264401,68,0.122411764705882,0,1.834,2.37047241913135,0.00875,0.00206822609264401
"46","SFER","55",0.00916666666666667,0.427755102040816,0.322852489908325,0.000135230529139252,70,0.105514285714286,0,1.833,2.73746155394107,0.00916666666666667,0.000135230529139252
"47","SFER","56",0.00747916666666667,0.283501006036217,0.825004113242199,0.00823739298185322,71,0.0981971830985915,0,1.431,2.34563956617223,0.00747916666666667,0.00823739298185322
"48","SFER","57",0.0075,0.299669312169312,0.969779450019488,0.00704684772115426,72,0.0771388888888889,0,0.82,1.72288941540032,0.0075,0.00704684772115426
"49","SFER","57.1",0.006375,0.353637566137566,0.892767969537622,0.00122511978725907,72,0.0569583333333333,0,0.469,1.2616460916596,0.006375,0.00122511978725907
"50","SFER","57.2",0.00366666666666667,0.234138162307176,0.928916246233314,0.0609336889820639,71,0.0992816901408451,0,2.634,3.16804408782223,NA,0.0609336889820639
"51","SFER","57.3",0.00175,0.135394456289979,0.879989360750425,0.479500122186953,67,0.0608358208955224,0,0.331,1.11871656397216,NA,0.479500122186953
"52","SFER","58",0.00133333333333333,0.169182389937107,0.861259631807405,0.602516088041668,53,0.0561509433962264,0,0.272,1.18319946529467,NA,0.602516088041668
"53","SFER","59",0.00285714285714286,0.269811320754717,0.701552925701812,0.165333695697192,53,0.060811320754717,0,0.298,1.13089299260372,NA,0.165333695697192
"54","SFER","6",0.004425,0.23037037037037,0.15378534925725,0.059998243309825,46,0.045804347826087,0,0.26,0.974658257981815,NA,0.059998243309825
"55","SFER","6.5",0.00275,0.239130434782609,0.487940670152938,0.0844208529972157,47,0.0459148936170213,0,0.24,0.914249079446932,NA,0.0844208529972157
"56","SFER","60",0.00363333333333333,0.273214285714286,0.843742792124938,0.08032037429648,56,0.06675,0,0.518,1.33904657141887,NA,0.08032037429648
"57","SFER","61",0.00125,0.157142857142857,0.926979119247268,0.513802293806963,56,0.081,0,0.873,1.50439261133547,NA,0.513802293806963
"58","SFER","62",0.00534285714285714,0.39047619047619,0.888461022852723,0.00956039020908117,56,0.0947857142857143,0,1.185,1.70003209095565,0.00534285714285714,0.00956039020908117
"59","SFER","63",0.0029375,0.253703703703704,0.52514353677896,0.124676755266578,54,0.0922037037037037,0,1.24,1.8339136454145,NA,0.124676755266578
"60","SFER","64",0.00485714285714286,0.280555555555556,0.857113308565435,0.151311303258156,48,0.1265625,0,1.39,1.70841219145105,NA,0.151311303258156
"61","SFER","65",0.00354166666666667,0.313725490196078,0.766306404548195,0.0467536087309356,51,0.0860196078431373,0,1.108,1.86457297798054,0.00354166666666667,0.0467536087309356
"62","SFER","66",0.00475,0.368589743589744,0.37621630779722,0.018147455651087,52,0.0557884615384615,0,0.292,1.04221576519453,0.00475,0.018147455651087
"63","SFER","67",0.0025,0.237179487179487,0.929228037924759,0.228769137527302,52,0.0529230769230769,0,0.21,0.927959239140005,NA,0.228769137527302
"64","SFER","68",0.00125,0.224848484848485,0.990416397110321,0.238609811911279,55,0.0483454545454545,0,0.525,1.85810552289036,NA,0.238609811911279
"65","SFER","69",0.00251111111111111,0.321428571428571,0.835274134934858,0.189549514066631,42,0.0515,0,0.24,1.17707308001925,NA,0.189549514066631
"66","SFER","7",0,0.00925925925925926,0.722882249365933,0.888365699321041,55,0.0464363636363636,0,0.28,1.1332729816974,NA,0.888365699321041
"67","SFER","70",0.0016875,0.337301587301587,0.98945397658848,0.0989879318010263,42,0.0616904761904762,0,0.887,2.31105444491729,NA,0.0989879318010263
"68","SFER","71",NA,NA,NA,NA,1,0,0,0,NA,NA,NA
"69","SFER","8",0.00338888888888889,0.276190476190476,0.322229210788663,0.0263173725543442,57,0.0548421052631579,0,0.298,1.12587552929252,0.00338888888888889,0.0263173725543442
"70","SFER","9",0.00355555555555556,0.173809523809524,0.506852477291728,0.137712209593629,57,0.0522280701754386,0,0.382,1.23866795715352,NA,0.137712209593629
