"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation"
"1","BBAP","BB14",-0.000333333333333334,-0.246327683615819,0.486341163131939,0.0477730859163319,59,0.0111694915254237,0.005,0.086,0.977946779267865
"2","BBAP","BH22",0,-0.0793650793650794,NA,0.349323687207887,43,0.00706976744186047,0.004,0.011,0.249608088801199
"3","BBAP","CWA2",0.000833333333333333,0.166666666666667,0.251599260059822,0.177584125447308,39,0.00951282051282051,0.004,0.017,0.288261835256716
"4","BBAP","CWA4",NA,NA,NA,NA,3,0.008,0.007,0.009,0.125
"5","BBAP","CWA5",0.00025,0.0833333333333333,NA,1,15,0.00646666666666667,0.004,0.009,0.273313948975836
"6","BBAP","DM00",NA,NA,NA,NA,4,0.025,0.007,0.052,0.851038581185757
"7","BBAP","DM08",-0.000666666666666667,-0.267342342342342,0.50032297643655,0.00779052166413134,74,0.0142702702702703,0.007,0.061,0.593627165297416
"8","BBAP","DM28",NA,NA,NA,NA,2,0.019,0.014,0.024,0.372161463782393
"9","BBAP","FK01",NA,NA,NA,NA,1,0.022,0.022,0.022,NA
"10","BBAP","JFK03",0,-0.05,0.589104231836118,0.936321922814181,54,0.0125185185185185,0.005,0.056,0.602142425373779
"11","BBAP","JT29",NA,NA,NA,NA,1,0.014,0.014,0.014,NA
"12","BBAP","JT61",0,-0.0686274509803921,0.76618180131855,0.799072025839934,35,0.0172285714285714,0.008,0.15,1.45435781894934
"13","BBAP","JT66",-0.000999999999999999,-0.316969696969697,NA,0.00565123149973868,55,0.00970909090909091,0.004,0.022,0.336777003174013
"14","BBAP","JT71",-0.001,-0.365497076023392,0.800273103065292,0.00111727945739447,57,0.00884210526315789,0.004,0.017,0.319731283452839
"15","BBAP","LR03",-0.000999999999999997,-0.111267605633803,0.269006885969366,0.167465343189303,71,0.0287042253521127,0.015,0.064,0.350929273715909
"16","BBAP","LR05",NA,NA,NA,NA,2,0.0365,0.034,0.039,0.0968639426282941
"17","BBAP","LR06",NA,NA,NA,NA,2,0.035,0.033,0.037,0.0808122035641768
"18","BBAP","LRNSP",NA,NA,NA,NA,1,0.039,0.039,0.039,NA
"19","BBAP","LRSC",NA,NA,NA,NA,1,0.043,0.043,0.043,NA
"20","BBAP","LRSP",NA,NA,NA,NA,2,0.14,0.13,0.15,0.101015254455221
"21","BBAP","LRUP",NA,NA,NA,NA,2,0.036,0.023,0.049,0.510688230856951
"22","BBAP","MRDC",NA,NA,NA,NA,1,0.018,0.018,0.018,NA
"23","BBAP","MRDW",NA,NA,NA,NA,1,0.017,0.017,0.017,NA
"24","BBAP","MRMO",NA,NA,NA,NA,1,0.011,0.011,0.011,NA
"25","BBAP","MRRB",0.00075,0.666666666666667,1,0.54029137460742,8,0.00775,0.004,0.01,0.282274522232508
"26","BBAP","MRSC",-0.00166666666666667,-0.153508771929825,0.505625450028462,0.213078230200735,39,0.0154358974358974,0.008,0.05,0.577880113221351
"27","BBAP","RB1A",-0.001,-0.166666666666667,NA,0.375043623558613,22,0.00772727272727273,0.004,0.013,0.291246490180588
"28","BBAP","TOW1",NA,NA,NA,NA,1,0.025,0.025,0.025,NA
"29","BBAP","TOW3",NA,NA,NA,NA,1,0.057,0.057,0.057,NA
"30","BBAP","VR01",-5e-04,-0.228930817610063,0.735204976098178,0.0718490374431072,53,0.00850943396226415,0.004,0.013,0.228876376368341
"31","BBAP","VR11",-0.00075,-0.322916666666667,0.876344710797264,0.0680700693900408,32,0.01090625,0.007,0.025,0.355008541333855
"32","BBAP","VS01",NA,NA,NA,NA,3,0.00966666666666667,0.007,0.013,0.316039703100403
"33","BBAP","WQ01",NA,NA,NA,NA,3,0.00933333333333333,0.007,0.012,0.269636944116813
"34","BBAP","WQ02",NA,NA,NA,NA,3,0.0136666666666667,0.008,0.023,0.595941059652225
"35","BBAP","WQ04",NA,NA,NA,NA,3,0.00933333333333333,0.008,0.012,0.247435829652697
"36","BROWARD","1",0,0.0615384615384615,0.310040741656993,1,28,0.1475,0.045,0.542,0.714275652032988
"37","BROWARD","10",-0.0024,-0.128205128205128,0.622532960724205,0.907038480803695,27,0.138222222222222,0.017,0.605,1.14410312463185
"38","BROWARD","11",-3e-04,-0.0647342995169082,0.157766198295782,0.832256209729377,54,0.0525740740740741,0.013,0.161,0.869372366507633
"39","BROWARD","110",0.008,0.458333333333333,0.354069847637817,0.0141054607472452,28,0.0737857142857143,0.027,0.12,0.349743218374246
"40","BROWARD","111",-0.000666666666666667,-0.00833333333333334,0.147611862988213,0.833935414088552,28,0.105142857142857,0.029,0.568,1.09369245630326
"41","BROWARD","112",0.0066,0.181818181818182,0.378748686128027,0.342781711147911,26,0.103423076923077,0.029,0.464,0.966504417993036
"42","BROWARD","12",0,0.0916666666666667,0.0363553533871317,0.824848468302739,28,0.0226071428571429,0.008,0.161,1.22337790393439
"43","BROWARD","120",0.00133333333333333,0.0769230769230769,0.288280986417772,1,28,0.145535714285714,0.044,0.486,0.639740364669585
"44","BROWARD","121",0.00158571428571429,0.203456790123457,0.352219460675248,0.0511500277734086,53,0.0342641509433962,0.008,0.086,0.531041287846553
"45","BROWARD","122",0,-0.0551190476190476,NA,0.354478599143426,43,0.0180697674418605,0.008,0.081,0.602175222487186
"46","BROWARD","123",-0.00114285714285714,-0.114285714285714,0.309444150113477,0.73299508857513,25,0.08192,0.015,0.362,1.07283601488595
"47","BROWARD","124",-0.00260714285714286,-0.170807453416149,0.132475597626088,0.158491820785425,52,0.0412884615384615,0.015,0.078,0.404404282112503
"48","BROWARD","125",-0.02125,-0.472222222222222,0.753857778444445,0.172238194875057,25,0.13284,0.009,0.595,0.999929380910402
"49","BROWARD","128",0.0028,0.106666666666667,0.705321602144686,0.655910490044247,22,0.0674545454545455,0.015,0.34,0.969072626659474
"50","BROWARD","129",-0.004,-0.16,0.494963124388547,0.881930721277946,22,0.0679545454545455,0.018,0.279,0.781385840657576
