"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation","significant_trend"
"1","MiamiBeach","#1",NA,NA,NA,NA,1,0.0028,0.0028,0.0028,NA,NA
"2","MiamiBeach","#10",NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"3","MiamiBeach","#11",NA,NA,NA,NA,1,0.0054,0.0054,0.0054,NA,NA
"4","MiamiBeach","#12",NA,NA,NA,NA,1,0.01,0.01,0.01,NA,NA
"5","MiamiBeach","#13",NA,NA,NA,NA,1,0.0031,0.0031,0.0031,NA,NA
"6","MiamiBeach","#14",NA,NA,NA,NA,1,0.0084,0.0084,0.0084,NA,NA
"7","MiamiBeach","#15",NA,NA,NA,NA,1,0.009,0.009,0.009,NA,NA
"8","MiamiBeach","#16",NA,NA,NA,NA,1,0.016,0.016,0.016,NA,NA
"9","MiamiBeach","#17",NA,NA,NA,NA,1,0.022,0.022,0.022,NA,NA
"10","MiamiBeach","#18",NA,NA,NA,NA,1,0.015,0.015,0.015,NA,NA
"11","MiamiBeach","#19",NA,NA,NA,NA,1,0.013,0.013,0.013,NA,NA
"12","MiamiBeach","#2",NA,NA,NA,NA,1,0.006,0.006,0.006,NA,NA
"13","MiamiBeach","#20",NA,NA,NA,NA,1,0.005,0.005,0.005,NA,NA
"14","MiamiBeach","#21",NA,NA,NA,NA,1,0.0083,0.0083,0.0083,NA,NA
"15","MiamiBeach","#22",NA,NA,NA,NA,1,0.006,0.006,0.006,NA,NA
"16","MiamiBeach","#23",NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"17","MiamiBeach","#24",NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"18","MiamiBeach","#3",NA,NA,NA,NA,1,0.0038,0.0038,0.0038,NA,NA
"19","MiamiBeach","#3A",NA,NA,NA,NA,1,0.073,0.073,0.073,NA,NA
"20","MiamiBeach","#3B",NA,NA,NA,NA,1,0.0046,0.0046,0.0046,NA,NA
"21","MiamiBeach","#4",NA,NA,NA,NA,1,0.0067,0.0067,0.0067,NA,NA
"22","MiamiBeach","#5",NA,NA,NA,NA,1,0.0037,0.0037,0.0037,NA,NA
"23","MiamiBeach","#6",NA,NA,NA,NA,1,0.0067,0.0067,0.0067,NA,NA
"24","MiamiBeach","#7",NA,NA,NA,NA,1,0.003,0.003,0.003,NA,NA
"25","MiamiBeach","#8",NA,NA,NA,NA,1,0.0067,0.0067,0.0067,NA,NA
"26","MiamiBeach","#9",NA,NA,NA,NA,1,0.0028,0.0028,0.0028,NA,NA
"27","MiamiBeach","1",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"28","MiamiBeach","10",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"29","MiamiBeach","11",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"30","MiamiBeach","12",NA,NA,NA,NA,11,0.0121727272727273,0.004,0.02,0.355896083816852,NA
"31","MiamiBeach","13",NA,NA,NA,NA,11,0.00753636363636364,0.0037,0.014,0.338828644181806,NA
"32","MiamiBeach","14",NA,NA,NA,NA,11,0.00786363636363636,0.0051,0.011,0.270856468082726,NA
"33","MiamiBeach","15",NA,NA,NA,NA,11,0.00969090909090909,0.0056,0.015,0.366299579113278,NA
"34","MiamiBeach","16",NA,NA,NA,NA,11,0.0121181818181818,0.0065,0.017,0.263079552797004,NA
"35","MiamiBeach","17",NA,NA,NA,NA,11,0.0150272727272727,0.0083,0.026,0.312043033574672,NA
"36","MiamiBeach","18",NA,NA,NA,NA,11,0.0159,0.0099,0.02,0.182389937106918,NA
"37","MiamiBeach","19",NA,NA,NA,NA,11,0.0144454545454545,0.0072,0.023,0.375193848702718,NA
"38","MiamiBeach","2",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"39","MiamiBeach","20",NA,NA,NA,NA,11,0.00699090909090909,0.004,0.011,0.29692721924606,NA
"40","MiamiBeach","21",NA,NA,NA,NA,11,0.00829090909090909,0.0049,0.012,0.295858854711765,NA
"41","MiamiBeach","22",NA,NA,NA,NA,11,0.00585454545454545,0.0029,0.011,0.383108867835266,NA
"42","MiamiBeach","23",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"43","MiamiBeach","24",NA,NA,NA,NA,11,0.00689090909090909,0.0036,0.022,0.748380968196269,NA
"44","MiamiBeach","25",NA,NA,NA,NA,10,NA,NA,NA,NA,NA
"45","MiamiBeach","26",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"46","MiamiBeach","27",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"47","MiamiBeach","28",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"48","MiamiBeach","29",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"49","MiamiBeach","3",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"50","MiamiBeach","30",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"51","MiamiBeach","31",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"52","MiamiBeach","32",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"53","MiamiBeach","33",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"54","MiamiBeach","34",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"55","MiamiBeach","35",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"56","MiamiBeach","36",NA,NA,NA,NA,11,0.0413727272727273,0.0029,0.23,1.68360311139998,NA
"57","MiamiBeach","37",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"58","MiamiBeach","38",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"59","MiamiBeach","39",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"60","MiamiBeach","3A",NA,NA,NA,NA,8,0.045125,0.016,0.11,0.651219546326649,NA
"61","MiamiBeach","3B",NA,NA,NA,NA,9,0.0126555555555556,0.0052,0.038,0.784348641219158,NA
"62","MiamiBeach","3b",NA,NA,NA,NA,1,0.0043,0.0043,0.0043,NA,NA
"63","MiamiBeach","4",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"64","MiamiBeach","40",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"65","MiamiBeach","41",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"66","MiamiBeach","5",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"67","MiamiBeach","6",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"68","MiamiBeach","7",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"69","MiamiBeach","8",NA,NA,NA,NA,11,0.0074,0.0028,0.018,0.6660119746136,NA
"70","MiamiBeach","9",NA,NA,NA,NA,11,NA,NA,NA,NA,NA
