"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation"
"1","DEP","BAK020",0.00566666666666667,0.113081554460865,0.308047584554865,0.205667179617355,87,0.153171264367816,0.016,0.658,0.920398006824302
"2","DEP","BAK021",0.00057625,0.0275862068965517,0.324932304467686,0.806020028691336,87,0.0571748275862069,0.00583,0.2672,0.833362063748733
"3","DEP","BAK022",0.0017475,0.107498631636563,0.23562335763735,0.235662508393785,87,0.0520682298850575,0.00583,0.2434,0.965557596596614
"4","DEP","BAK023",0.003954,0.146250684181719,0.171969756673186,0.102184185873409,87,0.0966397586206897,0.007669,0.42,0.923116485234046
"5","DEP","BAK024",0.0006425,0.120634920634921,0.904138573990369,0.18757346704893,87,0.0286725287356322,0.00583,0.105,0.689625760114042
"6","DEP","BAK025",0.000529,0.0632731253420909,0.205341228739226,0.538935219742511,87,0.0396134137931035,0.00583,0.203,0.923815523777706
"7","DEP","BAK026",0.000182,0.0419266557197592,0.975485105505117,0.651015428009187,87,0.0295595402298851,0.00583,0.115,0.724869827373312
"8","DEP","BAK027",0.000437500000000001,0.0836343732895457,0.90325663474246,0.367103580229852,87,0.0308528735632184,0.00583,0.144,0.751698820214476
"9","DEP","BAK028",1.50000000000003e-05,0.00459770114942529,0.469912177115074,0.934762376221898,87,0.0292235977011494,0.007,0.097,0.752414327039913
"10","DEP","BAK029",0.001,0.10103995621237,0.128895158712775,0.25074913361216,87,0.026491908045977,0.006972,0.08518,0.671117464854353
"11","DEP","BAK030",0.00161958333333333,0.0747673782156541,0.891970740127039,0.347745598910698,87,0.0429710344827586,0.007,0.177,0.589202300073689
"12","DEP","BAK031",0.000119625,0.0522167487684729,0.546064704551203,0.621381971826508,87,0.0251855862068966,0.00583,0.2412,1.1239722666742
"13","DEP","BAK032",0.000666666666666666,0.135413245758073,0.93862995639901,0.128337490543314,87,0.0236021724137931,0.00583,0.1813,1.00956264790894
"14","DEP","BAK033",0,-0.00569239189928845,0.747029127949268,1,87,0.0220506551724138,0.00583,0.1959,1.12343495954024
"15","DEP","BOC070",0.00524,0.0572751322751323,0.921997043885159,0.484073411389219,90,0.350753222222222,0.007,1.67,1.03492001700805
"16","DEP","BOC071",0.00052,0.0349462365591398,0.65926553702253,0.577625857497841,93,0.104376451612903,0.00583,0.679,1.35748127640764
"17","DEP","BOC072",0.0001225,0.0102813852813853,0.49748425348,0.8394830231097,88,0.0634991818181818,0.00583,0.467,1.37801434210233
