"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation"
"1","SFER","1",0.126666666666666,0.241975308641975,0.312508201334091,0.0479003831225153,55,27.2331163636364,21.42,32.005,0.107079062520476
"2","SFER","10",0.2335625,0.235294117647059,0.265238961050392,0.0570994734440038,52,27.2883653846154,17.659,33.423,0.145305264306508
"3","SFER","11",0.189,0.285185185185185,0.463493227651588,0.0237680246689417,55,27.5632545454545,20.421,33.256,0.119500761457726
"4","SFER","12",0.11029875,0.511111111111111,0.306380215102111,3.61461714458551e-05,55,27.6340712727273,21.058,32.071,0.0916373242840301
"5","SFER","13",0.205625,0.29559748427673,0.400517414129979,0.0162827067159996,54,27.4804444444444,19.15,33.321,0.132384144173577
"6","SFER","14",0.163777777777778,0.337037037037037,0.42340177382929,0.00725798655704497,55,27.6030181818182,22.065,32.764,0.109433885950602
"7","SFER","15",0.11225,0.430864197530864,0.303104304652708,0.000695650465844356,55,27.7090363636364,22.026,31.898,0.0899311185267266
"8","SFER","15.5",0.134000000000001,0.334615384615385,0.207431762733463,0.0210918354463249,53,27.7696037735849,22.538,31.845,0.0834196695796328
"9","SFER","16",0.139,0.250617283950617,0.580981015879881,0.0442186593906124,55,27.1926727272727,17.98,32.82,0.140895699182011
"10","SFER","17",0.0968749999999994,0.31030303030303,0.453125105637516,0.016656305210212,56,27.5406607142857,19.27,32.569,0.113594756646236
"11","SFER","18",0.0712857142857146,0.35030303030303,0.443454786747043,0.00485175331976639,56,27.5214857142857,21.216,31.273,0.0873677424216625
"12","SFER","19",0.248285714285714,0.340606060606061,0.594640313371236,0.00745334590969407,56,27.3950178571429,18.42,33.368,0.138629664964492
"13","SFER","2",0.101714285714286,0.228395061728395,0.11175227938957,0.034043609132865,55,27.3203927272727,22.035,31.308,0.0898202633134497
"14","SFER","20",0.137333333333334,0.275151515151515,0.709622098924119,0.0242356953506931,56,27.5772678571429,18.38,32.939,0.114724354576583
"15","SFER","21.25",NA,NA,NA,NA,1,28.938,28.938,28.938,NA
"16","SFER","21.5",0.081416666666667,0.19937106918239,0.534470209267271,0.188862933384652,54,27.7478703703704,22.475,31.531,0.0828334852336175
"17","SFER","21LK",0.101125,0.314540816326531,0.736670579611455,0.0107011295373058,57,27.4909473684211,21.759,31.692,0.0879019599259779
"18","SFER","22",0.0999999999999998,0.216326530612245,0.209397156076878,0.0938603954762925,57,27.6583964912281,21.692,32.297,0.0903960184357811
"19","SFER","22.5",0.0805000000000002,0.156043956043956,0.164442778482942,0.346464634017448,53,27.6589056603774,22.646,31.884,0.0866956195961297
"20","SFER","23",0.1017,0.173469387755102,0.754920812809466,0.159333643960609,57,27.6937368421053,20.8,32.768,0.104121295481479
"21","SFER","24",0.142321428571428,0.234183673469388,0.17660628630078,0.037758497311633,57,27.3667263157895,19.567,33.066,0.129472353782329
"22","SFER","3",0.112375,0.44320987654321,0.270500977277179,0.000411508097152161,55,27.6151636363636,23.246,31.538,0.0830968594877279
"23","SFER","30",0.113000000000003,0.222222222222222,0.416431452274691,0.0696424047983282,54,26.6227607407407,19.62,32.182,0.13420001582768
"24","SFER","30.5",0.150904761904762,0.124691358024691,0.19127190630272,0.168823810894705,54,26.744,19.81,32.93,0.145144240413341
"25","SFER","31",0.123190476190476,0.167272727272727,0.154579734606276,0.170310471186441,55,26.2292818181818,18.56,32.648,0.157353462808463
"26","SFER","32",0.144499999999999,0.192857142857143,0.158211834473622,0.0684772691124382,56,26.1234464285714,18.335,33.035,0.163987566681118
"27","SFER","33",0.170857142857143,0.261904761904762,0.252641570422739,0.0171991114992663,56,26.0689946428571,17.281,32.634,0.170764143028352
"28","SFER","34",0.1865,0.208333333333333,0.228338816369153,0.0497629836413703,56,26.3313035714286,17.46,33.078,0.172018309902999
"29","SFER","39",0.267416666666666,0.240277777777778,0.453477175846377,0.0569761753340617,48,26.18275,17.135,32.109,0.171246676902349
"30","SFER","4",0.179428571428571,0.421705426356589,0.456398868633633,0.0121799620459791,44,27.3401136363636,17.68,33.318,0.142327564961614
"31","SFER","40",0.2005,0.252564102564103,0.475683354949318,0.0282149462007594,52,25.8834038461538,16.97,31.83,0.176927311263904
"32","SFER","41",0.151875,0.153086419753086,0.379620928086135,0.169567861859892,54,25.9849444444444,16.87,31.539,0.175994803015887
"33","SFER","42",0.166479166666666,0.207272727272727,0.310396372056757,0.0766071722173594,55,26.3458727272727,17.95,32.424,0.164538069177614
"34","SFER","45",0.114,0.107878787878788,0.424226093058369,0.325004979522997,55,26.3406181818182,17.59,31.679,0.161221933862762
"35","SFER","46",0.172035714285714,0.120238095238095,0.455482123650593,0.237749155060482,56,26.3747857142857,17.8,31.904,0.161759621574901
"36","SFER","47",0.133166666666667,0.0845238095238095,0.440437091705656,0.366613030609417,56,26.253,17.653,32.915,0.162759810287645
"37","SFER","48",0.17225,0.151515151515151,0.419279232578713,0.152777945470135,55,26.2444,17.596,31.979,0.164744544458398
"38","SFER","49",0.134715277777778,0.116981132075472,0.651747114777927,0.282333726245865,53,26.0248301886792,16.59,31.801,0.175990373170491
"39","SFER","5",0.1468125,0.248062015503876,0.364209300327152,0.0777141828631802,44,27.4135,18.76,32.756,0.12833851176593
"40","SFER","5.5",0.0593333333333336,0.206349206349206,0.444568018174594,0.230519544461712,45,27.5723777777778,22.898,31.945,0.0954875925018469
"41","SFER","50",0.161875,0.0975308641975309,0.201854486357819,0.306799200055227,54,26.327462962963,17.957,31.585,0.160329270946945
"42","SFER","51",0.138875,0.180952380952381,0.421545760501037,0.0607761376086584,56,26.2512892857143,16.92,31.825,0.165347819257081
"43","SFER","52",0.117,0.181132075471698,0.104045128008706,0.100734406428624,53,26.1679622641509,17.668,31.291,0.163577512930731
"44","SFER","53",0.0968749999999998,0.142666666666667,0.24905810513215,0.137645845518265,50,26.04106,17.101,31.975,0.171062938296627
"45","SFER","54",0.0764365079365081,0.0598739495798319,0.206367531867032,0.483357294887874,68,26.1091470588235,16.516,31.906,0.165351669350343
"46","SFER","55",0.0564374999999999,0.0929251700680272,0.189242357151057,0.270148532728506,70,26.1763428571429,16.994,31.835,0.163707649668082
"47","SFER","56",0.0762499999999999,0.154057679409792,0.0439309351889829,0.112403107471471,71,26.2910563380282,17.13,31.64,0.161530558741459
"48","SFER","57",0.0609583333333332,0.0562830687830688,0.0371232841858501,0.477460056046731,72,26.4097916666667,17.718,31.797,0.157124450796086
"49","SFER","57.1",0.0686874999999996,0.0849867724867725,0.0883701763387296,0.335584779012775,72,26.4668888888889,17.68,31.757,0.154617668612807
"50","SFER","57.2",0.0854999999999997,0.0843058350100604,0.0474198880492817,0.378949466097278,71,26.5007183098592,18.38,32.39,0.151064478698261
"51","SFER","57.3",0.0946833333333332,0.138165266106443,0.0656818443353816,0.151277463501849,68,26.6188676470588,18.75,32.257,0.146696902414511
"52","SFER","58",0.159625,0.241509433962264,0.160966495862162,0.0218091249309423,53,26.3570867924528,19.28,32.047,0.146075235240011
"53","SFER","59",0.190433333333333,0.173584905660377,0.179504581556969,0.106572141023694,53,26.4957547169811,18.83,32.157,0.149044572103667
"54","SFER","6",0.0750000000000011,0.239130434782609,0.297042804900056,0.0614134924395195,47,27.7432127659574,23.313,32.249,0.0891583009875129
"55","SFER","6.5",0.0941805555555554,0.189855072463768,0.471324891542175,0.0710488655395775,47,28.0106595744681,23.249,31.988,0.0804985893348841
"56","SFER","60",0.149174603174603,0.192857142857143,0.234971179808177,0.0986765639348862,56,26.5006071428571,17.63,31.641,0.154885142759332
"57","SFER","61",0.210916666666667,0.330952380952381,0.379791073779318,0.0078969287539965,56,26.6396785714286,17.43,31.886,0.156081375585476
"58","SFER","62",0.250583333333333,0.366666666666667,0.4355488134154,0.00324389178929106,56,26.5452321428571,16.92,31.875,0.157706161083786
"59","SFER","63",0.273809523809524,0.348148148148148,0.516550372331599,0.00462256681389798,54,26.5896185185185,17.24,31.445,0.156186966780392
"60","SFER","64",0.179749999999999,0.408333333333333,0.402286025663632,0.0101709250564684,48,26.2885208333333,17.125,31.582,0.158330850641695
