"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation","significant_slope","pvalue"
"1","MiamiBeach","16",-0.00528690476190476,-0.503787878787879,0.662417588796304,0.000714577124092389,44,0.0379113636363636,0.0059,0.095,0.510699546440079,-0.00528690476190476,0.000714577124092389
"2","MiamiBeach","17",-0.00536666666666667,-0.453865182436611,0.91183718489013,1.15933850754241e-05,77,0.0369077922077922,0.0064,0.07,0.424631180478015,-0.00536666666666667,1.15933850754241e-05
"3","MiamiBeach","18",-0.00433333333333333,-0.396296296296296,0.921373982897215,0.00390108254042626,45,0.0500422222222222,0.0089,0.39,1.44289855142781,-0.00433333333333333,0.00390108254042626
"4","MiamiBeach","19",-0.0035,-0.394017094017094,0.555974200902748,0.000182385632448242,78,0.0317333333333333,0.0082,0.05,0.368476403562277,-0.0035,0.000182385632448242
"5","MiamiBeach","2",-0.00355714285714286,-0.421052631578947,0.845966097169725,0.0141713882540123,38,0.0265210526315789,0.0028,0.052,0.48726529533012,-0.00355714285714286,0.0141713882540123
"6","MiamiBeach","21",-0.003,-0.298245614035088,0.399304675555507,0.0373364159206629,39,0.0293974358974359,0.003,0.14,0.779376360981738,-0.003,0.0373364159206629
"7","MiamiBeach","22",-0.00371666666666667,-0.400925925925926,0.548726513081252,6.88226344332078e-05,72,0.0247666666666667,0.0028,0.053,0.502105916922602,-0.00371666666666667,6.88226344332078e-05
"8","MiamiBeach","23",-0.00305714285714286,-0.384615384615385,0.997638543390535,0.0318484687365467,40,0.025075,0.0028,0.047,0.492219189834129,-0.00305714285714286,0.0318484687365467
"9","MiamiBeach","24",-0.003525,-0.315315315315315,0.46424662947123,0.0581133605936167,38,0.02655,0.0028,0.045,0.41385497381359,NA,0.0581133605936167
"10","MiamiBeach","25",-0.0044,-0.307017543859649,0.556165430691447,0.0263331405955422,39,0.0280153846153846,0.0032,0.076,0.518494133409753,-0.0044,0.0263331405955422
"11","MiamiBeach","26",-0.0035,-0.123809523809524,0.20876161231443,0.177529852412153,36,0.0287055555555556,0.0028,0.11,0.622803429794984,NA,0.177529852412153
"12","MiamiBeach","27",-0.00401666666666667,-0.333333333333333,0.580582860711029,0.0335866128968976,38,0.0295526315789474,0.0028,0.1,0.606269565394212,-0.00401666666666667,0.0335866128968976
"13","MiamiBeach","28",-0.0035,-0.412280701754386,0.662100792288332,0.019964453305216,39,0.0256205128205128,0.0028,0.043,0.466883987695206,-0.0035,0.019964453305216
"14","MiamiBeach","29",-0.00378571428571429,-0.207207207207207,0.52634096501905,0.0777598964393295,38,0.0279605263157895,0.0028,0.058,0.473476503773866,NA,0.0777598964393295
"15","MiamiBeach","30",-0.001,-0.203703703703704,0.691061872091564,0.182746263327747,37,0.0311702702702703,0.0028,0.17,0.836092863799478,NA,0.182746263327747
"16","MiamiBeach","31",-0.00346666666666667,-0.315315315315315,0.851887949469092,0.0607927235305228,38,0.0261552631578947,0.0028,0.042,0.445209506760359,NA,0.0607927235305228
"17","MiamiBeach","32",-0.000499999999999999,0.0285714285714286,0.389084945600589,0.683091398309609,36,0.0274305555555556,0.0028,0.046,0.372911474608035,NA,0.683091398309609
