"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation"
"1","MiamiBeach","16",-0.0425000000000002,-0.0579710144927536,0.7733051005488,0.852536997791922,46,27.2004347826087,20.05,32.82,0.140552449347972
"2","MiamiBeach","17",-0.0666666666666664,-0.0672222222222222,0.817364006339065,0.450161706452481,80,27.38925,19.81,32.8,0.12591296724961
"3","MiamiBeach","18",0.0633333333333333,0.126811594202899,0.59545051016235,0.643428843563621,46,27.2458695652174,19.5,32.8,0.142881477617652
"4","MiamiBeach","19",-0.0899999999999999,-0.0891240446796002,0.638765527060595,0.313614489162379,81,27.3128395061728,19.72,33.07,0.132983543689924
"5","MiamiBeach","2",-0.0622857142857143,-0.146825396825397,0.860922472490721,0.506988687486674,42,25.9857142857143,8.15,33.2,0.184713536398717
"6","MiamiBeach","21",0.0300000000000004,-0.0333333333333333,0.184463196108207,0.824848468302739,41,26.5765853658537,20.5,33.51,0.14519479780285
"7","MiamiBeach","22",-0.1125,-0.0991228070175438,0.293523855183021,0.357679870767163,76,26.6740789473684,20,31.97,0.132269614183071
"8","MiamiBeach","23",0.0714285714285714,0.0731707317073171,0.166669423083154,0.383675089682324,42,26.1959523809524,20.3,32.35,0.14694103441832
"9","MiamiBeach","24",0.00499999999999995,-0.075,0.26088263319908,1,41,26.4470731707317,20.2,36.87,0.159348386051438
"10","MiamiBeach","25",0.0399999999999999,-0.115384615384615,0.173447224327817,1,40,26.28575,20,32.04,0.155444955561542
"11","MiamiBeach","26",0.058809523809524,0.0447154471544715,0.500997287362276,0.574952871801262,42,26.172380952381,19.6,32.29,0.143333369845469
"12","MiamiBeach","27",0.0719999999999999,0.0365853658536585,0.22644279020613,0.579294210581981,42,26.4297619047619,19.7,32.13,0.138310087946957
"13","MiamiBeach","28",0.00916666666666662,-0.0609756097560976,0.063065406749137,1,42,26.3216666666667,19.3,33.75,0.148768607934084
"14","MiamiBeach","29",0.0916666666666666,0.0365853658536585,0.22644279020613,0.579294210581981,42,26.3711904761905,20.7,32.33,0.140044146779075
"15","MiamiBeach","30",0.0369999999999997,0.0040650406504065,0.133198047862892,0.823424678971075,42,26.1516666666667,14.8,32.71,0.157746298438012
"16","MiamiBeach","31",0.0983333333333327,0.0365853658536585,0.139646592630422,0.579294210581981,42,26.3711904761905,20.1,32.57,0.141770905815895
"17","MiamiBeach","32",0.00500000000000078,-0.032520325203252,0.516220270472599,1,42,26.277380952381,19.2,32.03,0.143083881120011
"18","MiamiBeach","33",-0.00499999999999972,-0.0541666666666667,0.146939082047721,1,41,26.1285365853659,19.2,32.48,0.149384746417249
"19","MiamiBeach","34",-0.1625,-0.157204700061843,0.135207804160251,0.104133781618931,77,26.4733766233766,20.3,32.41,0.132800113422179
"20","MiamiBeach","35",-0.136666666666667,-0.216666666666667,0.638624768786022,0.300089625388875,41,26.3868292682927,20.3,32.8,0.140115558587642
"21","MiamiBeach","36",0.045,-0.0198412698412698,0.215375221997198,0.915739574989753,43,26.4397674418605,20.4,33.05,0.139780392773398
"22","MiamiBeach","37",-0.0828571428571426,-0.0284552845528455,0.117406986734385,0.911708975319428,42,26.6019047619048,21.3,32.33,0.133994753093471
"23","MiamiBeach","38",-0.105,-0.0730983302411874,0.0218169717700601,0.47389642476704,77,26.6067532467532,20.5,32.2,0.126588005989091
"24","MiamiBeach","39",0.0600000000000001,-0.047008547008547,0.234691357118905,0.81408568361146,40,26.411,21.1,32.2,0.13820510723063
"25","MiamiBeach","3A",NA,NA,NA,NA,9,24.7666666666667,21.3,31.2,0.137962446002179
"26","MiamiBeach","4",-0.166666666666667,-0.184210526315789,0.855493809968772,0.0929916987973487,76,26.0992105263158,2.78,33.07,0.173875984808305
"27","MiamiBeach","40",0.0400000000000006,-0.0299145299145299,0.421244398167583,0.81408568361146,40,26.29925,20.85,32.1,0.139291610727944
"28","MiamiBeach","42",-0.0350000000000001,-0.0348958333333333,0.463653588051474,0.899938590509659,64,27.19671875,19.54,32.84,0.124203146639289
"29","MiamiBeach","45",0.43,0,0.416916039995653,1,27,26.3433333333333,21.07,31.9,0.127358603861384
