"","X","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"1",618797,"BROWARD","90",NA,"Ammonia+Ammonium",0.076,"mg/l",NA,NA,NA
"2",618815,"BROWARD","47",NA,"Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"3",618827,"BROWARD","41",NA,"Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"4",618828,"BROWARD","41",NA,"Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"5",618842,"BROWARD","40",NA,"Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"6",618853,"BROWARD","38",NA,"Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"7",618865,"BROWARD","24",NA,"Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"8",618874,"BROWARD","31",NA,"Ammonia+Ammonium",0.204,"mg/l",NA,NA,NA
"9",618888,"BROWARD","39",NA,"Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"10",618901,"BROWARD","32",NA,"Ammonia+Ammonium",0.272,"mg/l",NA,NA,NA
"11",618904,"BROWARD","32",NA,"Ammonia+Ammonium",0.265,"mg/l",NA,NA,NA
"12",618923,"BROWARD","28",NA,"Ammonia+Ammonium",0.131,"mg/l",NA,NA,NA
"13",618937,"BROWARD","27",NA,"Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"14",618950,"BROWARD","26",NA,"Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"15",618961,"BROWARD","25",NA,"Ammonia+Ammonium",0.0679,"mg/l",NA,NA,NA
"16",618964,"BROWARD","29",NA,"Ammonia+Ammonium",0.312,"mg/l",NA,NA,NA
"17",618980,"BROWARD","23",NA,"Ammonia+Ammonium",0.289,"mg/l",NA,NA,NA
"18",618992,"BROWARD","16",NA,"Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"19",619005,"BROWARD","15",NA,"Ammonia+Ammonium",0.0734,"mg/l",NA,NA,NA
"20",619006,"BROWARD","22",NA,"Ammonia+Ammonium",0.586,"mg/l",NA,NA,NA
"21",619017,"BROWARD","21",NA,"Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"22",619033,"BROWARD","20",NA,"Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"23",619043,"BROWARD","19",NA,"Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"24",619051,"BROWARD","18",NA,"Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"25",619069,"BROWARD","17",NA,"Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"26",619075,"BROWARD","33",NA,"Ammonia+Ammonium",0.0632,"mg/l",NA,NA,NA
