"","X","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"1",113855,"MiamiBeach","22","2020-01-16","Ammonia",NA,"mg/L",NA,NA,NA
"2",113864,"MiamiBeach","23","2020-01-16","Ammonia",0.05,"mg/L",NA,NA,NA
"3",113873,"MiamiBeach","24","2020-01-16","Ammonia",0.21,"mg/L",NA,NA,NA
"4",113882,"MiamiBeach","25","2020-01-16","Ammonia",0.044,"mg/L",NA,NA,NA
"5",113891,"MiamiBeach","26","2020-01-16","Ammonia",NA,"mg/L",NA,NA,NA
"6",113900,"MiamiBeach","27","2020-01-16","Ammonia",0.037,"mg/L",NA,NA,NA
"7",113909,"MiamiBeach","28","2020-01-16","Ammonia",0.036,"mg/L",NA,NA,NA
"8",113918,"MiamiBeach","29","2020-01-16","Ammonia",NA,"mg/L",NA,NA,NA
"9",113927,"MiamiBeach","30","2020-01-16","Ammonia",NA,"mg/L",NA,NA,NA
"10",113936,"MiamiBeach","31","2020-01-16","Ammonia",NA,"mg/L",NA,NA,NA
"11",113945,"MiamiBeach","32","2020-01-16","Ammonia",0.06,"mg/L",NA,NA,NA
"12",113954,"MiamiBeach","33","2020-01-16","Ammonia",0.037,"mg/L",NA,NA,NA
"13",113963,"MiamiBeach","34","2020-01-16","Ammonia",NA,"mg/L",NA,NA,NA
"14",113972,"MiamiBeach","35","2020-01-16","Ammonia",NA,"mg/L",NA,NA,NA
"15",113981,"MiamiBeach","36","2020-01-16","Ammonia",0.14,"mg/L",NA,NA,NA
"16",113990,"MiamiBeach","37","2020-01-16","Ammonia",0.069,"mg/L",NA,NA,NA
"17",113999,"MiamiBeach","38","2020-01-16","Ammonia",NA,"mg/L",NA,NA,NA
"18",114008,"MiamiBeach","39","2020-01-16","Ammonia",NA,"mg/L",NA,NA,NA
"19",114017,"MiamiBeach","40","2020-01-16","Ammonia",NA,"mg/L",NA,NA,NA
"20",114026,"MiamiBeach","41","2020-01-16","Ammonia",NA,"mg/L",NA,NA,NA
"21",114140,"MiamiBeach","1","2020-01-17","Ammonia",0.057,"mg/L",NA,NA,NA
"22",114141,"MiamiBeach","2","2020-01-17","Ammonia",0.037,"mg/L",NA,NA,NA
"23",114142,"MiamiBeach","3b","2020-01-17","Ammonia",0.047,"mg/L",NA,NA,NA
"24",114143,"MiamiBeach","3","2020-01-17","Ammonia",0.044,"mg/L",NA,NA,NA
"25",114144,"MiamiBeach","4","2020-01-17","Ammonia",NA,"mg/L",NA,NA,NA
"26",114145,"MiamiBeach","5","2020-01-17","Ammonia",NA,"mg/L",NA,NA,NA
"27",114146,"MiamiBeach","6","2020-01-17","Ammonia",0.093,"mg/L",NA,NA,NA
"28",114147,"MiamiBeach","7","2020-01-17","Ammonia",NA,"mg/L",NA,NA,NA
"29",114148,"MiamiBeach","8","2020-01-17","Ammonia",0.037,"mg/L",NA,NA,NA
"30",114149,"MiamiBeach","9","2020-01-17","Ammonia",NA,"mg/L",NA,NA,NA
"31",114150,"MiamiBeach","10","2020-01-17","Ammonia",NA,"mg/L",NA,NA,NA
"32",114151,"MiamiBeach","11","2020-01-17","Ammonia",NA,"mg/L",NA,NA,NA
"33",114152,"MiamiBeach","12","2020-01-17","Ammonia",0.1,"mg/L",NA,NA,NA
"34",114153,"MiamiBeach","13","2020-01-17","Ammonia",NA,"mg/L",NA,NA,NA
"35",114154,"MiamiBeach","14","2020-01-17","Ammonia",NA,"mg/L",NA,NA,NA
"36",114155,"MiamiBeach","15","2020-01-17","Ammonia",0.098,"mg/L",NA,NA,NA
"37",114156,"MiamiBeach","16","2020-01-17","Ammonia",0.06,"mg/L",NA,NA,NA
"38",114157,"MiamiBeach","17","2020-01-17","Ammonia",0.14,"mg/L",NA,NA,NA
"39",114158,"MiamiBeach","18","2020-01-17","Ammonia",0.081,"mg/L",NA,NA,NA
"40",114159,"MiamiBeach","19","2020-01-17","Ammonia",0.083,"mg/L",NA,NA,NA
