"","source","site","datetime","value","units","latitude","longitude","sample_depth"
"...1","BBAP","LR05","07/07/2020 12:10:00",0.25,"mg/L",25.871488,-80.231037,0.639
"...2","BBAP","LR03","12/10/2019 13:00:00",0.099,"mg/L",25.8468,-80.1829,1
"...3","BBAP","LR03","04/03/2019 15:15:00",0.097,"mg/L",25.8468,-80.1829,1
"...4","BBAP","DM08","08/05/2019 18:15:00",0.1,"mg/L",25.8398,-80.1704,1
"...5","BBAP","BB14","05/07/2019 18:10:00",0.014,"mg/L",25.83,-80.1586,1
"...6","BBAP","DM08","09/10/2019 12:50:00",0.055,"mg/L",25.8398,-80.1704,1
"...7","BBAP","LR03","03/05/2020 10:30:00",0.075,"mg/L",25.8468,-80.1829,1
"...8","BBAP","LR03","02/05/2020 11:20:00",0.24,"mg/L",25.8468,-80.1829,1
"...9","BBAP","LR03","10/07/2019 10:50:00",0.14,"mg/L",25.8468,-80.1829,1
"...10","BBAP","DM08","06/30/2019 14:10:00",0.18,"mg/L",25.8398,-80.1704,1
"...11","BBAP","BB14","02/15/2019 11:10:00",0.013,"mg/L",25.83,-80.1586,0.8
"...12","BBAP","LR03","09/10/2019 13:15:00",0.3,"mg/L",25.8468,-80.1829,1
"...13","BBAP","DM08","10/07/2019 10:30:00",0.014,"mg/L",25.8398,-80.1704,1
"...14","BBAP","LR03","05/07/2019 17:20:00",0.43,"mg/L",25.8468,-80.1829,1
"...15","BBAP","JT66","02/15/2019 12:00:00",0.023,"mg/L",25.8165,-80.147,0.9
"...16","BBAP","DM08","05/07/2019 16:50:00",0.15,"mg/L",25.8398,-80.1704,0.5
"...17","BBAP","LR03","06/30/2019 13:10:00",0.42,"mg/L",25.8468,-80.1829,1
"...18","BBAP","DM08","03/05/2020 10:00:00",0.02,"mg/L",25.8398,-80.1704,0.5
"...19","BBAP","JT71","08/13/2020 11:00:00",0.011,"mg/L",25.8217,-80.1513,0.127
"...20","BBAP","DM08","11/05/2019 09:15:00",0.013,"mg/L",25.8398,-80.1704,1
"...21","BBAP","JT71","02/15/2019 11:40:00",0.014,"mg/L",25.8217,-80.1513,0.9
"...22","BBAP","DM08","08/17/2020 15:45:00",0.022,"mg/L",25.8398,-80.1704,0.737
"...23","BBAP","DM00","08/13/2020 11:40:00",0.4,"mg/L",25.83025,-80.16968,0.27
"...24","BBAP","JT71","06/08/2021 13:30:00",0.005,"mg/L",25.8217,-80.1513,0.28
"...25","BBAP","DM08","07/07/2021 12:20:00",0.036,"mg/L",25.8398,-80.1704,0.101
"...26","BBAP","BH22","07/19/2021 10:25:00",0.012,"mg/L",25.7597,-80.1776,0.439
"...27","BBAP","VR01","01/12/2022 09:15:00",0.007,"mg/L",25.8057,-80.1526,0.995
"...28","BBAP","CWA2","02/17/2022 13:50:00",0.016,"mg/L",25.7513,-80.1585,0.479
"...29","BBAP","VR01","06/07/2022 07:25:00",0.006,"mg/L",25.8057,-80.1526,0.334
"...30","BBAP","MRSC","03/15/2022 12:50:00",0.042,"mg/L",25.8072,-80.2599,0.08
"...31","BBAP","MRSC","07/28/2022 14:35:00",0.31,"mg/L",25.8072,-80.2599,0.092
"...32","BBAP","CWA2","04/27/2022 11:40:00",0.006,"mg/L",25.7513,-80.1585,0.455
"...33","BBAP","JT66","07/12/2022 13:55:00",0.006,"mg/L",25.8165,-80.147,0.304
"...34","BBAP","VR01","08/09/2022 11:25:00",0.005,"mg/L",25.8057,-80.1526,0.734
"...35","BBAP","MRSC","02/17/2022 14:40:00",0.054,"mg/L",25.8072,-80.2599,0.06
"...36","BBAP","LR03","08/08/2022 11:55:00",0.15,"mg/L",25.8468,-80.1829,0.111
"...37","BBAP","RB1A","08/23/2022 13:10:00",0.011,"mg/L",25.7524,-80.1954,0.843
"...38","BBAP","BB14","02/01/2022 15:45:00",0.002,"mg/L",25.83,-80.1586,0.485
"...39","BBAP","VR11","07/11/2022 12:40:00",0.01,"mg/L",25.8047,-80.1794,0.583
"...40","BBAP","JFK03","06/08/2022 10:55:00",0.022,"mg/L",25.8628,-80.1697,0.557
"...41","BBAP","JFK03","04/19/2022 18:55:00",0.005,"mg/L",25.8628,-80.1697,0.433
"...42","BBAP","CWA2","07/25/2023 07:05:00",0.025,"mg/L",25.7513,-80.1585,0.643
"...43","BBAP","VR01","09/07/2022 10:50:00",0.006,"mg/L",25.8057,-80.1526,0.968
"...44","BBAP","RB1A","09/21/2022 13:00:00",0.029,"mg/L",25.7524,-80.1954,0.96
"...45","BBAP","BB14","09/07/2022 12:50:00",0.008,"mg/L",25.83,-80.1586,0.527
"...46","BBAP","BH22","12/01/2022 09:05:00",0.014,"mg/L",25.7597,-80.1776,0.641
"...47","BBAP","BB14","02/02/2023 13:25:00",0.008,"mg/L",25.83,-80.1586,0.333
"...48","BBAP","BH22","01/04/2023 12:30:00",0.005,"mg/L",25.7597,-80.1776,0.233
"...49","BBAP","DM08","01/16/2023 09:10:00",0.014,"mg/L",25.8398,-80.1704,0.095
"...50","BBAP","DM08","02/01/2023 11:05:00",0.018,"mg/L",25.8398,-80.1704,0.303
"...51","BBAP","CWA5","12/01/2022 07:35:00",0.016,"mg/L",25.7633,-80.1609,0.747
"...52","BBAP","DM08","12/05/2022 12:25:00",0.025,"mg/L",25.8398,-80.1704,0.218
"...53","BBAP","LR03","04/05/2023 15:00:00",0.028,"mg/L",25.8468,-80.1829,0.08
"...54","BBAP","VR11","04/05/2023 13:30:00",0.004,"mg/L",25.8047,-80.1794,0.862
"...55","BBAP","JT66","04/04/2023 14:45:00",0.002,"mg/L",25.8165,-80.147,0.444
"...56","BBAP","JT71","04/04/2023 15:05:00",0.004,"mg/L",25.8217,-80.1513,0.452
"...57","BBAP","JT66","09/06/2021 14:35:00",0.023,"mg/L",25.8165,-80.147,0.431
"...58","BBAP","BB14","10/04/2021 13:20:00",0.008,"mg/L",25.83,-80.1586,0.772
"...59","BBAP","VR11","09/07/2021 13:25:00",0.02,"mg/L",25.8047,-80.1794,0.971
"...60","BBAP","BH22","11/16/2021 11:50:00",0.005,"mg/L",25.7597,-80.1776,0.934
"...61","BBAP","CWA2","10/19/2021 13:00:00",0.02,"mg/L",25.7513,-80.1585,0.672
"...62","BBAP","CWA2","12/20/2021 13:45:00",0.044,"mg/L",25.7513,-80.1585,0.194
"...63","BBAP","JT71","10/04/2021 13:00:00",0.009,"mg/L",25.8217,-80.1513,0.679
"...64","BBAP","CWA5","12/20/2021 13:20:00",0.009,"mg/L",25.7633,-80.1609,0.953
"...65","BBAP","LR03","10/05/2021 13:30:00",0.19,"mg/L",25.8468,-80.1829,0.033
"...66","BBAP","BH22","12/20/2021 14:30:00",0.006,"mg/L",25.7597,-80.1776,0.731
"...67","BBAP","JT66","10/04/2021 12:50:00",0.01,"mg/L",25.8165,-80.147,0.616
"...68","BBAP","VR01","11/01/2021 10:05:00",0.003,"mg/L",25.8057,-80.1526,0.613
"...69","BBAP","RB1A","12/20/2021 15:30:00",0.015,"mg/L",25.7524,-80.1954,0.876
"...70","BBAP","CWA2","09/21/2021 13:55:00",0.036,"mg/L",25.7513,-80.1585,0.645
"...71","BBAP","VR01","09/06/2021 13:20:00",0.01,"mg/L",25.8057,-80.1526,0.206
"...72","BBAP","BH22","09/21/2021 14:15:00",0.015,"mg/L",25.7597,-80.1776,0.721
"...73","BBAP","JT66","12/13/2021 10:20:00",0.005,"mg/L",25.8165,-80.147,0.34
"...74","BBAP","LR03","11/02/2021 12:05:00",0.015,"mg/L",25.8468,-80.1829,0.2
"...75","BBAP","BB14","09/06/2021 15:20:00",0.071,"mg/L",25.83,-80.1586,0.431
"...76","BBAP","BH22","09/21/2021 14:25:00",0.016,"mg/L",25.7597,-80.1776,0.721
"...77","BBAP","BB14","11/01/2021 12:25:00",0.008,"mg/L",25.83,-80.1586,0.882
"...78","BBAP","JT71","11/01/2021 11:55:00",0.005,"mg/L",25.8217,-80.1513,0.555
"...79","BBAP","RB1A","10/19/2021 15:15:00",0.014,"mg/L",25.7524,-80.1954,0.905
"...80","BBAP","MRSC","09/21/2021 15:50:00",0.43,"mg/L",25.8072,-80.2599,0.5
"...81","BBAP","CWA2","10/19/2021 13:15:00",0.02,"mg/L",25.7513,-80.1585,0.672
"...82","BBAP","JFK03","11/02/2021 13:00:00",0.011,"mg/L",25.8628,-80.1697,0.781
"...83","BBAP","LR03","09/07/2021 15:20:00",0.21,"mg/L",25.8468,-80.1829,0.018
"...84","BBAP","JT71","09/06/2021 15:00:00",0.034,"mg/L",25.8217,-80.1513,0.09
"...85","BBAP","JFK03","10/05/2021 14:30:00",0.026,"mg/L",25.8628,-80.1697,0.584
"...86","BBAP","VR01","12/13/2021 09:15:00",0.007,"mg/L",25.8057,-80.1526,0.37
"...87","BBAP","BB14","12/13/2021 11:00:00",0.006,"mg/L",25.83,-80.1586,0.46
"...88","BBAP","JT66","06/13/2023 11:50:00",0.003,"mg/L",25.8165,-80.147,0.428
"...89","BBAP","JT71","06/13/2023 12:15:00",0.006,"mg/L",25.8217,-80.1513,0.354
"...90","BBAP","VR11","06/12/2023 09:10:00",0.012,"mg/L",25.8047,-80.1794,0.865
"...91","BBAP","RB1A","07/25/2023 09:20:00",0.029,"mg/L",25.7524,-80.1954,0.683
"...92","BBAP","MRSC","07/25/2023 07:30:00",0.12,"mg/L",25.8072,-80.2599,0.177
"...93","BBAP","CWA5","02/19/2024 09:15:00",0.027,"mg/L",25.7633,-80.1609,0.877
"...94","BBAP","BB14","01/09/2025 10:00:00",0.002,"mg/L",25.83,-80.1586,0.159
"...95","BBAP","JT66","01/08/2025 09:35:00",0.003,"mg/L",25.8165,-80.147,0.565
"...96","BBAP","LR03","01/09/2025 11:15:00",0.078,"mg/L",25.8468,-80.1829,0.186
