"","X","datetime","source","site","analyte","value","units","latitude","longitude","sample_depth"
"1","...123302","'10/31/2002'","BROWARD","90","Ammonia_plus_Ammonium",0.076,"mg/l",NA,NA,NA
"2","...123320","'10/31/2002'","BROWARD","47","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"3","...123332","'10/31/2002'","BROWARD","41","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"4","...123333","'10/31/2002'","BROWARD","41","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"5","...123347","'10/31/2002'","BROWARD","40","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"6","...123358","'10/31/2002'","BROWARD","38","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"7","...123370","'10/31/2002'","BROWARD","24","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"8","...123379","'10/31/2002'","BROWARD","31","Ammonia_plus_Ammonium",0.204,"mg/l",NA,NA,NA
"9","...123393","'10/31/2002'","BROWARD","39","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"10","...123406","'10/31/2002'","BROWARD","32","Ammonia_plus_Ammonium",0.272,"mg/l",NA,NA,NA
"11","...123409","'10/31/2002'","BROWARD","32","Ammonia_plus_Ammonium",0.265,"mg/l",NA,NA,NA
"12","...123428","'10/31/2002'","BROWARD","28","Ammonia_plus_Ammonium",0.131,"mg/l",NA,NA,NA
"13","...123442","'10/31/2002'","BROWARD","27","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"14","...123455","'10/31/2002'","BROWARD","26","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"15","...123466","'10/31/2002'","BROWARD","25","Ammonia_plus_Ammonium",0.0679,"mg/l",NA,NA,NA
"16","...123469","'10/31/2002'","BROWARD","29","Ammonia_plus_Ammonium",0.312,"mg/l",NA,NA,NA
"17","...123485","'10/31/2002'","BROWARD","23","Ammonia_plus_Ammonium",0.289,"mg/l",NA,NA,NA
"18","...123497","'10/31/2002'","BROWARD","16","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"19","...123510","'10/31/2002'","BROWARD","15","Ammonia_plus_Ammonium",0.0734,"mg/l",NA,NA,NA
"20","...123511","'10/31/2002'","BROWARD","22","Ammonia_plus_Ammonium",0.586,"mg/l",NA,NA,NA
"21","...123522","'10/31/2002'","BROWARD","21","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"22","...123538","'10/31/2002'","BROWARD","20","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"23","...123548","'10/31/2002'","BROWARD","19","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"24","...123556","'10/31/2002'","BROWARD","18","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"25","...123574","'10/31/2002'","BROWARD","17","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"26","...123580","'10/30/2002'","BROWARD","33","Ammonia_plus_Ammonium",0.0632,"mg/l",NA,NA,NA
"27","...123593","'10/30/2002'","BROWARD","33","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"28","...123602","'10/30/2002'","BROWARD","110","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"29","...123618","'10/30/2002'","BROWARD","109","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"30","...123626","'10/30/2002'","BROWARD","3","Ammonia_plus_Ammonium",0.133,"mg/l",NA,NA,NA
"31","...123638","'10/30/2002'","BROWARD","2","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"32","...123644","'10/30/2002'","BROWARD","6","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"33","...123658","'10/30/2002'","BROWARD","5","Ammonia_plus_Ammonium",0.0911,"mg/l",NA,NA,NA
"34","...123668","'10/30/2002'","BROWARD","36","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"35","...123685","'10/30/2002'","BROWARD","35","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"36","...123687","'10/30/2002'","BROWARD","49","Ammonia_plus_Ammonium",0.0781,"mg/l",NA,NA,NA
"37","...123703","'10/30/2002'","BROWARD","112","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"38","...123718","'10/30/2002'","BROWARD","10","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"39","...123722","'10/30/2002'","BROWARD","14","Ammonia_plus_Ammonium",0.381,"mg/l",NA,NA,NA
"40","...123739","'10/30/2002'","BROWARD","13","Ammonia_plus_Ammonium",0.228,"mg/l",NA,NA,NA
"41","...123749","'10/30/2002'","BROWARD","12","Ammonia_plus_Ammonium",0.105,"mg/l",NA,NA,NA
"42","...123758","'10/30/2002'","BROWARD","89","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"43","...123775","'10/30/2002'","BROWARD","1","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"44","...123780","'10/30/2002'","BROWARD","1","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"45","...123790","'10/30/2002'","BROWARD","7","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"46","...123802","'10/30/2002'","BROWARD","34","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"47","...123808","'10/30/2002'","BROWARD","37","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"48","...123819","'10/30/2002'","BROWARD","11","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"49","...123837","'10/30/2002'","BROWARD","111","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"50","...123849","'10/30/2002'","BROWARD","4","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"51","...123851","'10/30/2002'","BROWARD","4","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"52","...123867","'07/25/2002'","BROWARD","37","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"53","...123876","'07/25/2002'","BROWARD","89","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"54","...123888","'07/25/2002'","BROWARD","18","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"55","...123901","'07/25/2002'","BROWARD","17","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"56","...123916","'07/25/2002'","BROWARD","36","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"57","...123927","'07/25/2002'","BROWARD","24","Ammonia_plus_Ammonium",0.0739,"mg/l",NA,NA,NA
