"","X","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"1",4,"SFER","1","2014-12-01","Ammonium",1.51,NA,25,-80,NA
"2",15,"SFER","2","2014-12-01","Ammonium",3.32,NA,25,-80,NA
"3",26,"SFER","3","2014-12-01","Ammonium",1.03,NA,25,-80,NA
"4",37,"SFER","EKIN","2014-12-01","Ammonium",2.69,NA,25,-80,NA
"5",48,"SFER","EKMID","2014-12-01","Ammonium",1.13,NA,25,-80,NA
"6",59,"SFER","4","2014-12-01","Ammonium",0.83,NA,25,-80,NA
"7",70,"SFER","5","2014-12-01","Ammonium",1.06,NA,25,-80,NA
"8",81,"SFER","UKIN","2014-12-01","Ammonium",1.1,NA,24,-80,NA
"9",92,"SFER","UKMID","2014-12-01","Ammonium",2.15,NA,24,-80,NA
"10",103,"SFER","UKOFF","2014-12-01","Ammonium",2.05,NA,24,-80,NA
"11",114,"SFER","7","2014-12-01","Ammonium",1.85,NA,24,-80,NA
"12",125,"SFER","9","2014-12-02","Ammonium",0.1,NA,24,-80,NA
"13",136,"SFER","9.5","2014-12-02","Ammonium",0.15,NA,24,-80,NA
"14",147,"SFER","8","2014-12-02","Ammonium",0.14,NA,24,-80,NA
"15",158,"SFER","10","2014-12-02","Ammonium",0.13,NA,24,-80,NA
"16",169,"SFER","11","2014-12-02","Ammonium",0.16,NA,24,-80,NA
"17",180,"SFER","8","2014-12-02","Ammonium",0.46,NA,24,-80,NA
"18",191,"SFER","12","2014-12-02","Ammonium",0.12,NA,24,-80,NA
"19",202,"SFER","15.5","2014-12-02","Ammonium",0.17,NA,24,-80,NA
"20",213,"SFER","15","2014-12-02","Ammonium",0.16,NA,24,-81,NA
"21",224,"SFER","14","2014-12-02","Ammonium",0.17,NA,24,-81,NA
"22",235,"SFER","13","2014-12-02","Ammonium",0.47,NA,24,-81,NA
"23",246,"SFER","16","2014-12-02","Ammonium",0.31,NA,24,-81,NA
"24",257,"SFER","17","2014-12-02","Ammonium",0.26,NA,24,-81,NA
"25",268,"SFER","18","2014-12-02","Ammonium",1.65,NA,24,-81,NA
"26",279,"SFER","19","2014-12-02","Ammonium",0.64,NA,24,-81,NA
"27",290,"SFER","20","2014-12-02","Ammonium",0.98,NA,24,-81,NA
"28",301,"SFER","21LK","2014-12-02","Ammonium",0.36,NA,24,-81,NA
"29",312,"SFER","21.5","2014-12-02","Ammonium",2.12,NA,24,-81,NA
"30",323,"SFER","22.5","2014-12-02","Ammonium",1.51,NA,24,-81,NA
"31",334,"SFER","22","2014-12-02","Ammonium",4.9,NA,24,-81,NA
"32",345,"SFER","23","2014-12-02","Ammonium",2.28,NA,24,-81,NA
"33",356,"SFER","24","2014-12-02","Ammonium",0.96,NA,24,-81,NA
"34",367,"SFER","30","2014-12-02","Ammonium",3.75,NA,25,-82,NA
"35",378,"SFER","30","2014-12-02","Ammonium",0.67,NA,25,-82,NA
"36",389,"SFER","30","2014-12-02","Ammonium",0.8,NA,25,-82,NA
"37",400,"SFER","30.5","2014-12-02","Ammonium",0.25,NA,25,-82,NA
"38",411,"SFER","31","2014-12-03","Ammonium",0.41,NA,25,-81,NA
"39",422,"SFER","31","2014-12-03","Ammonium",0.28,NA,25,-81,NA
"40",433,"SFER","32","2014-12-03","Ammonium",0.3,NA,25,-81,NA
"41",444,"SFER","33","2014-12-03","Ammonium",0.3,NA,25,-81,NA
"42",455,"SFER","33","2014-12-03","Ammonium",0.34,NA,25,-81,NA
"43",466,"SFER","34","2014-12-03","Ammonium",0.67,NA,25,-81,NA
"44",477,"SFER","42","2014-12-03","Ammonium",0.45,NA,25,-81,NA
"45",488,"SFER","41","2014-12-03","Ammonium",0.45,NA,25,-81,NA
"46",499,"SFER","40","2014-12-03","Ammonium",0.56,NA,25,-81,NA
"47",510,"SFER","39","2014-12-03","Ammonium",0.64,NA,25,-81,NA
"48",521,"SFER","45","2014-12-03","Ammonium",0.49,NA,25,-81,NA
"49",532,"SFER","45","2014-12-03","Ammonium",1.32,NA,25,-81,NA
"50",543,"SFER","46","2014-12-03","Ammonium",0.52,NA,25,-81,NA
"51",554,"SFER","47","2014-12-03","Ammonium",0.52,NA,25,-81,NA
"52",565,"SFER","48","2014-12-03","Ammonium",0.54,NA,25,-81,NA
"53",576,"SFER","49","2014-12-03","Ammonium",2.66,NA,25,-81,NA
"54",587,"SFER","50","2014-12-03","Ammonium",3.57,NA,25,-81,NA
"55",598,"SFER","51","2014-12-03","Ammonium",6.44,NA,25,-81,NA
"56",609,"SFER","51","2014-12-03","Ammonium",2.77,NA,25,-81,NA
"57",620,"SFER","52","2014-12-03","Ammonium",1.09,NA,25,-81,NA
"58",631,"SFER","53","2014-12-03","Ammonium",1.09,NA,25,-81,NA
"59",642,"SFER","54","2014-12-03","Ammonium",8.49,NA,25,-81,NA
"60",653,"SFER","55","2014-12-03","Ammonium",3.99,NA,25,-81,NA
"61",664,"SFER","56","2014-12-03","Ammonium",1.94,NA,25,-81,NA
"62",675,"SFER","57","2014-12-03","Ammonium",3.65,NA,25,-81,NA
"63",686,"SFER","57","2014-12-03","Ammonium",0.86,NA,25,-81,NA
"64",697,"SFER","57.1","2014-12-03","Ammonium",0.92,NA,25,-81,NA
"65",708,"SFER","57.1","2014-12-03","Ammonium",2.09,NA,25,-81,NA
"66",719,"SFER","57.1","2014-12-03","Ammonium",3.64,NA,25,-81,NA
"67",730,"SFER","57.2","2014-12-03","Ammonium",1.22,NA,25,-81,NA
"68",741,"SFER","57.2","2014-12-03","Ammonium",1.31,NA,25,-81,NA
"69",752,"SFER","57.2","2014-12-03","Ammonium",1.52,NA,25,-81,NA
"70",763,"SFER","57.3","2014-12-03","Ammonium",2.52,NA,25,-81,NA
"71",774,"SFER","57.3","2014-12-03","Ammonium",1.24,NA,25,-81,NA
"72",785,"SFER","58","2014-12-03","Ammonium",1.5,NA,25,-81,NA
"73",796,"SFER","58","2014-12-03","Ammonium",2.45,NA,25,-81,NA
"74",807,"SFER","59","2014-12-03","Ammonium",5.88,NA,25,-81,NA
"75",818,"SFER","61","2014-12-04","Ammonium",4.46,NA,25,-81,NA
"76",829,"SFER","62","2014-12-04","Ammonium",1.6,NA,25,-81,NA
"77",840,"SFER","60","2014-12-04","Ammonium",2.58,NA,25,-81,NA
"78",851,"SFER","63","2014-12-04","Ammonium",3.07,NA,25,-81,NA
"79",862,"SFER","64","2014-12-04","Ammonium",2.87,NA,25,-81,NA
"80",873,"SFER","65","2014-12-04","Ammonium",5.06,NA,25,-81,NA
"81",884,"SFER","66","2014-12-04","Ammonium",1.8,NA,25,-81,NA
"82",895,"SFER","67","2014-12-04","Ammonium",5.74,NA,25,-81,NA
"83",906,"SFER","68","2014-12-04","Ammonium",1.62,NA,24,-81,NA
"84",917,"SFER","69","2014-12-04","Ammonium",9.15,NA,24,-81,NA
"85",928,"SFER","70","2014-12-04","Ammonium",1.14,NA,24,-81,NA
"86",939,"SFER","71","2014-12-04","Ammonium",0.68,NA,24,-80,NA
"87",950,"SFER","57.2","2014-12-04","Ammonium",0.51,NA,25,-81,NA
"88",961,"SFER","57.2","2014-12-04","Ammonium",0.59,NA,25,-81,NA
"89",972,"SFER","57.1","2014-12-04","Ammonium",0.57,NA,25,-81,NA
"90",983,"SFER","57","2014-12-04","Ammonium",1.48,NA,25,-81,NA
