"","source","site","datetime","value","units","latitude","longitude","sample_depth"
"...1","BROWARD","111","08/30/2021 13:25:00",8.4,"ug/L",26.15322,-80.12933,0.5
"...2","BROWARD","125","02/24/2021 13:10:00",1.77,"ug/L",26.1289,-80.11855,0.5
"...3","BROWARD","111","05/17/2021 13:35:00",9.52,"ug/L",26.15322,-80.12933,0.5
"...4","BROWARD","15","03/03/2021 09:55:00",1.36,"ug/L",26.1183,-80.14363,0.5
"...5","BROWARD","29","05/19/2021 09:45:00",5.11,"ug/L",26.06153,-80.43357,0.5
"...6","BROWARD","121","11/08/2021 14:10:00",3.6,"ug/L",26.13533,-80.20202,0.5
"...7","BROWARD","26","05/20/2020 10:20:00",2.84,"ug/L",26.06812,-80.1686,0.5
"...8","BROWARD","26","09/23/2020 10:15:00",6.72,"ug/L",26.06812,-80.1686,0.5
"...9","BROWARD","6","03/12/2024 10:58:00",2.29,"ug/L",26.2062,-80.13263,0.5
"...10","BROWARD","112","03/12/2024 11:58:00",2.5,"ug/L",26.16392,-80.12632,0.5
"...11","BROWARD","26","08/23/2023 09:20:00",2.95,"ug/L",26.06812,-80.1686,0.5
"...12","BROWARD","29","05/13/2024 09:36:00",3.67,"ug/L",26.06153,-80.43357,0.5
"...13","BROWARD","129","03/05/2024 10:42:00",7.68,"ug/L",26.02595,-80.16338,0.5
"...14","BROWARD","32","05/13/2024 10:10:00",4.92,"ug/L",25.95677,-80.43062,0.5
"...15","BROWARD","31","02/26/2024 10:50:00",0.56,"ug/L",25.9642,-80.31062,0.5
"...16","BROWARD","33","02/26/2018 10:50:00",3.62,"ug/L",26.31338,-80.0806,0.5
"...17","BROWARD","2","05/02/2017 10:15:00",6.54,"ug/L",26.3277,-80.13158,0.5
"...18","BROWARD","6","05/02/2017 13:10:00",2.49,"ug/L",26.2062,-80.13263,0.5
"...19","BROWARD","129","09/06/2019 10:00:00",5.66,"ug/L",26.02595,-80.16338,0.5
"...20","BROWARD","28","03/06/2019 12:00:00",6.24,"ug/L",26.06385,-80.31325,0.5
"...21","BROWARD","5","03/07/2017 12:15:00",5.68,"ug/L",26.22162,-80.10303,0.5
"...22","BROWARD","124","11/15/2021 10:15:00",4.54,"ug/L",26.06565,-80.21588,0.5
"...23","BROWARD","40","02/24/2021 11:20:00",1.44,"ug/L",26.03485,-80.11713,0.5
"...24","BROWARD","4","08/25/2021 11:10:00",5.44,"ug/L",26.35132,-80.28333,0.5
"...25","BROWARD","23","08/30/2021 09:15:00",5.61,"ug/L",26.14965,-80.44182,0.5
"...26","BROWARD","37","09/01/2021 12:35:00",2.27,"ug/L",26.13877,-80.10807,0.5
"...27","BROWARD","39","02/24/2021 11:50:00",1.2,"ug/L",26.0655,-80.11408,0.5
"...28","BROWARD","2","05/25/2021 09:45:00",2.96,"ug/L",26.3277,-80.13158,0.5
"...29","BROWARD","14","05/17/2021 09:15:00",12,"ug/L",26.16428,-80.25662,0.5
"...30","BROWARD","64","07/22/2020 13:00:00",13.1,"ug/L",26.12837,-80.17503,0.5
"...31","BROWARD","64","05/21/2024 10:30:00",23.1,"ug/L",26.12837,-80.17503,0.5
"...32","BROWARD","38","05/15/2024 11:05:00",2.87,"ug/L",26.10265,-80.11868,0.5
"...33","BROWARD","19","05/21/2024 08:48:00",2.4,"ug/L",26.10898,-80.15908,0.5
"...34","BROWARD","39","05/15/2024 10:26:00",1.44,"ug/L",26.0655,-80.11408,0.5
"...35","BROWARD","20","01/22/2020 13:55:00",2.14,"ug/L",26.08717,-80.18547,0.5
"...36","BROWARD","40","05/03/2017 10:20:00",1.8,"ug/L",26.03485,-80.11713,0.5
"...37","BROWARD","64","06/27/2018 11:10:00",29.1,"ug/L",26.12837,-80.17503,0.5
"...38","BROWARD","64","08/21/2019 13:00:00",24.1,"ug/L",26.12837,-80.17503,0.5
"...39","BROWARD","36","06/25/2018 12:00:00",5.21,"ug/L",26.19035,-80.1025,0.5
"...40","BROWARD","16","03/13/2019 09:05:00",5.92,"ug/L",26.12202,-80.14653,0.5
"...41","BROWARD","19","10/03/2019 09:45:00",3.43,"ug/L",26.10898,-80.15908,0.5
"...42","BROWARD","11","11/12/2019 10:40:00",16.4,"ug/L",26.1733,-80.17093,0.5
"...43","BROWARD","22","09/05/2019 11:00:00",3.74,"ug/L",26.11607,-80.3166,0.5
"...44","BROWARD","12","05/18/2020 10:55:00",10.3,"ug/L",26.17312,-80.18698,0.5
"...45","BROWARD","122","09/14/2020 09:00:00",5.11,"ug/L",26.09983,-80.25017,0.5
"...46","BROWARD","15","04/29/2020 12:00:00",2.8,"ug/L",26.1183,-80.14363,0.5
"...47","BROWARD","6","05/28/2024 10:25:00",3.58,"ug/L",26.2062,-80.13263,0.5
"...48","BROWARD","120","11/06/2023 09:27:00",8.25,"ug/L",26.32458,-80.099,0.5
"...49","BROWARD","121","08/28/2023 11:27:00",31.9,"ug/L",26.13533,-80.20202,0.5
"...50","BROWARD","24","10/31/2023 09:53:00",1.38,"ug/L",26.0595,-80.14398,0.5
"...51","BROWARD","19","08/28/2023 08:40:00",3.06,"ug/L",26.10898,-80.15908,0.5
"...52","BROWARD","3","02/26/2020 11:50:00",20.7,"ug/L",26.32783,-80.20302,0.5
"...53","BROWARD","15","03/04/2020 12:35:00",1.38,"ug/L",26.1183,-80.14363,0.5
"...54","BROWARD","8","09/21/2020 12:50:00",4.54,"ug/L",26.2305,-80.20485,0.5
