"","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"...1","FIU_WQMP","502-W","09/14/2020 10:41:00","Chlorophyll_a-_uncorrected",0.34,"ug/L",24.9265,-80.62067,0.8
"...2","FIU_WQMP","237-W","06/15/2020 11:47:00","Chlorophyll_a-_uncorrected",0.1,"ug/L",24.83265,-80.64907,0.78
"...3","FIU_WQMP","290-W","11/16/2020 11:26:00","Chlorophyll_a-_uncorrected",0.48,"ug/L",24.86267,-81.21623,0.79
"...4","FIU_WQMP","325-W","12/15/2020 09:36:00","Chlorophyll_a-_uncorrected",0.47,"ug/L",24.54167,-82.1,0.66
"...5","FIU_WQMP","316-W","09/17/2020 11:59:00","Chlorophyll_a-_uncorrected",0.38,"ug/L",24.58577,-81.8024,0.69
"...6","FIU_WQMP","319-W","03/26/2020 11:06:00","Chlorophyll_a-_uncorrected",0.67183,"ug/L",24.629,-82.07133,0.69
"...7","FIU_WQMP","296-W","02/21/2019 10:04:00","Chlorophyll_a-_uncorrected",0.33656,"ug/L",24.79152,-81.28908,0.66
"...8","FIU_WQMP","204-W","11/13/2020 10:53:00","Chlorophyll_a-_uncorrected",0.82,"ug/L",25.43082,-80.19553,0.75
"...9","FIU_WQMP","282-W","11/16/2020 10:14:00","Chlorophyll_a-_uncorrected",0.2,"ug/L",24.86667,-80.885,0.67
"...10","FIU_WQMP","318-W","12/15/2020 14:35:00","Chlorophyll_a-_uncorrected",1.14,"ug/L",24.65083,-81.90467,0.75
"...11","FIU_WQMP","212-W","09/11/2020 11:18:00","Chlorophyll_a-_uncorrected",0.17,"ug/L",25.29452,-80.24542,0.76
"...12","FIU_WQMP","213-W","09/19/2020 11:54:00","Chlorophyll_a-_uncorrected",0.16,"ug/L",25.26312,-80.18773,0.69
"...13","FIU_WQMP","230-W","09/14/2020 09:59:00","Chlorophyll_a-_uncorrected",0.24,"ug/L",24.93965,-80.55162,0.67
"...14","FIU_WQMP","310-W","09/17/2020 13:03:00","Chlorophyll_a-_uncorrected",0.31,"ug/L",24.65752,-81.63265,0.71
"...15","FIU_WQMP","401-W","03/30/2020 15:18:00","Chlorophyll_a-_uncorrected",0.1,"ug/L",24.853,-80.622,0.7
"...16","FIU_WQMP","301-W","05/23/2019 14:10:00","Chlorophyll_a-_uncorrected",0.40387,"ug/L",24.77258,-81.39665,0.7
"...17","FIU_WQMP","206-W","05/06/2019 11:23:00","Chlorophyll_a-_uncorrected",0.34778,"ug/L",25.41497,-80.143,0.69
"...18","FIU_WQMP","403-W","07/09/2020 15:51:00","Chlorophyll_a-_uncorrected",0.36895,"ug/L",24.483,-81.7,0.94
"...19","FIU_WQMP","271-W","02/15/2021 15:37:00","Chlorophyll_a-_uncorrected",0.63887,"ug/L",24.55667,-81.66667,0.7
"...20","FIU_WQMP","317-W","02/09/2021 13:01:00","Chlorophyll_a-_uncorrected",0.25033,"ug/L",24.575,-81.78833,0.66
"...21","FIU_WQMP","243-W","02/15/2021 10:24:00","Chlorophyll_a-_uncorrected",0.44713,"ug/L",24.745,-80.78333,0.8
"...22","FIU_WQMP","263-W","03/22/2021 14:47:00","Chlorophyll_a-_uncorrected",0.25538,"ug/L",24.54843,-81.39742,0.8
"...23","FIU_WQMP","335-W","12/15/2020 10:38:00","Chlorophyll_a-_uncorrected",0.33,"ug/L",24.46083,-82.38317,0.69
"...24","FIU_WQMP","309-W","07/16/2020 10:44:00","Chlorophyll_a-_uncorrected",1.04078,"ug/L",24.69772,-81.68318,0.74
"...25","FIU_WQMP","213-W","09/19/2020 11:54:00","Chlorophyll_a-_uncorrected",0.2,"ug/L",25.26312,-80.18773,0.69
"...26","FIU_WQMP","302-W","09/15/2020 12:08:00","Chlorophyll_a-_uncorrected",0.72,"ug/L",24.80128,-81.48227,0.67
"...27","FIU_WQMP","228-W","05/07/2019 12:15:00","Chlorophyll_a-_uncorrected",0.359,"ug/L",24.97667,-80.45,0.78
"...28","FIU_WQMP","278-W","02/28/2019 11:15:00","Chlorophyll_a-_uncorrected",0.47679,"ug/L",24.49862,-81.81895,0.66
"...29","FIU_WQMP","400-W","11/14/2020 11:13:00","Chlorophyll_a-_uncorrected",0.47,"ug/L",25.1073,-80.3064,0.69
"...30","FIU_WQMP","504-W","07/11/2020 14:40:00","Chlorophyll_a-_uncorrected",3.27653,"ug/L",24.72254,-81.04338,0.67
"...31","FIU_WQMP","215-W","03/11/2020 12:46:00","Chlorophyll_a-_uncorrected",0.30838,"ug/L",25.23667,-80.28897,0.77
"...32","FIU_WQMP","322-W","03/26/2020 18:44:00","Chlorophyll_a-_uncorrected",0.31389,"ug/L",24.45833,-81.98167,0.67
"...33","FIU_WQMP","288-W","02/07/2019 11:03:00","Chlorophyll_a-_uncorrected",1.18918,"ug/L",24.88333,-81.08333,0.88
"...34","FIU_WQMP","243-W","03/30/2020 15:56:00","Chlorophyll_a-_uncorrected",0.12666,"ug/L",24.745,-80.78333,0.66
"...35","FIU_WQMP","216-W","02/25/2021 13:03:00","Chlorophyll_a-_uncorrected",0.2251,"ug/L",25.22,-80.217,0.67
"...36","FIU_WQMP","204-W","02/05/2019 11:42:00","Chlorophyll_a-_uncorrected",0.46558,"ug/L",25.43082,-80.19553,0.66
"...37","FIU_WQMP","509-W","03/24/2020 14:42:00","Chlorophyll_a-_uncorrected",0.24781,"ug/L",24.5523,-81.7494,0.69
"...38","FIU_WQMP","212-W","11/13/2020 10:09:00","Chlorophyll_a-_uncorrected",0.73,"ug/L",25.29452,-80.24542,0.69
"...39","FIU_WQMP","295-W","12/11/2020 11:11:00","Chlorophyll_a-_uncorrected",0.66,"ug/L",24.85163,-81.35123,0.78
"...40","FIU_WQMP","325-W","12/15/2020 09:36:00","Chlorophyll_a-_uncorrected",0.44,"ug/L",24.54167,-82.1,0.66
"...41","FIU_WQMP","207-W","07/02/2020 13:26:00","Chlorophyll_a-_uncorrected",0.23679,"ug/L",25.36443,-80.21508,0.67
"...42","FIU_WQMP","296-W","07/15/2020 12:03:00","Chlorophyll_a-_uncorrected",0.51764,"ug/L",24.79152,-81.28908,0.69
"...43","FIU_WQMP","316-W","07/16/2020 11:57:00","Chlorophyll_a-_uncorrected",1.74014,"ug/L",24.58577,-81.8024,0.69
"...44","FIU_WQMP","213-W","03/16/2020 15:02:00","Chlorophyll_a-_uncorrected",0.1,"ug/L",25.26312,-80.18773,0.74
"...45","FIU_WQMP","269-W","03/22/2021 15:32:00","Chlorophyll_a-_uncorrected",0.13932,"ug/L",24.55943,-81.55955,0.83
"...46","FIU_WQMP","288-W","03/23/2020 14:24:00","Chlorophyll_a-_uncorrected",0.30838,"ug/L",24.88333,-81.08333,0.68
"...47","FIU_WQMP","318-W","03/26/2020 10:43:00","Chlorophyll_a-_uncorrected",0.23128,"ug/L",24.65083,-81.90467,0.68
"...48","FIU_WQMP","319-W","02/25/2019 14:03:00","Chlorophyll_a-_uncorrected",0.48801,"ug/L",24.629,-82.07133,0.71
"...49","FIU_WQMP","210-W","11/13/2020 12:48:00","Chlorophyll_a-_uncorrected",0.58,"ug/L",25.325,-80.1636,0.74
"...50","FIU_WQMP","224-W","07/07/2020 13:01:00","Chlorophyll_a-_uncorrected",0.19274,"ug/L",25.03082,-80.39527,0.69
"...51","FIU_WQMP","270-W","12/14/2020 12:41:00","Chlorophyll_a-_uncorrected",0.23,"ug/L",24.52162,-81.56432,0.71
"...52","FIU_WQMP","268-W","10/27/2020 11:04:00","Chlorophyll_a-_uncorrected",0.39,"ug/L",24.58782,-81.57698,0.67
"...53","FIU_WQMP","319-W","10/12/2020 14:32:00","Chlorophyll_a-_uncorrected",0.49,"ug/L",24.629,-82.07133,0.69
"...54","FIU_WQMP","282-W","03/23/2020 13:40:00","Chlorophyll_a-_uncorrected",0.1,"ug/L",24.86667,-80.885,0.67
"...55","FIU_WQMP","222-W","11/15/2020 09:38:00","Chlorophyll_a-_uncorrected",0.36,"ug/L",25.07237,-80.31277,0.7
"...56","FIU_WQMP","288-W","11/16/2020 10:58:00","Chlorophyll_a-_uncorrected",0.34,"ug/L",24.88333,-81.08333,0.66
"...57","FIU_WQMP","289-W","07/01/2020 17:32:00","Chlorophyll_a-_uncorrected",0.52865,"ug/L",24.77775,-81.033,0.67
