"","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"...1","BBAP","LR03","02/05/2020 11:20:00","Chlorophyll_a__free_of_pheophytin",2.8,"ug/L",25.8468,-80.1829,1
"...2","BBAP","BB14","02/15/2019 11:10:00","Chlorophyll_a__free_of_pheophytin",0.85,"ug/L",25.83,-80.1586,0.8
"...3","BBAP","BB14","05/07/2019 18:10:00","Chlorophyll_a__free_of_pheophytin",1.4,"ug/L",25.83,-80.1586,1
"...4","BBAP","LR03","12/10/2019 13:00:00","Chlorophyll_a__free_of_pheophytin",1.1,"ug/L",25.8468,-80.1829,1
"...5","BBAP","LR03","03/05/2020 10:30:00","Chlorophyll_a__free_of_pheophytin",6.1,"ug/L",25.8468,-80.1829,1
"...6","BBAP","LR03","05/07/2019 17:20:00","Chlorophyll_a__free_of_pheophytin",3.4,"ug/L",25.8468,-80.1829,1
"...7","BBAP","DM08","09/10/2019 12:50:00","Chlorophyll_a__free_of_pheophytin",3.4,"ug/L",25.8398,-80.1704,1
"...8","BBAP","LR03","10/07/2019 10:50:00","Chlorophyll_a__free_of_pheophytin",4.6,"ug/L",25.8468,-80.1829,1
"...9","BBAP","DM08","08/05/2019 18:15:00","Chlorophyll_a__free_of_pheophytin",3.1,"ug/L",25.8398,-80.1704,1
"...10","BBAP","LR03","04/03/2019 15:15:00","Chlorophyll_a__free_of_pheophytin",1.4,"ug/L",25.8468,-80.1829,1
"...11","BBAP","LR03","09/10/2019 13:15:00","Chlorophyll_a__free_of_pheophytin",13,"ug/L",25.8468,-80.1829,1
"...12","BBAP","JT66","02/15/2019 12:00:00","Chlorophyll_a__free_of_pheophytin",1.2,"ug/L",25.8165,-80.147,0.9
"...13","BBAP","DM08","10/07/2019 10:30:00","Chlorophyll_a__free_of_pheophytin",0.73,"ug/L",25.8398,-80.1704,1
"...14","BBAP","DM08","05/07/2019 16:50:00","Chlorophyll_a__free_of_pheophytin",3.1,"ug/L",25.8398,-80.1704,0.5
"...15","BBAP","LR03","06/30/2019 13:10:00","Chlorophyll_a__free_of_pheophytin",7.8,"ug/L",25.8468,-80.1829,1
"...16","BBAP","DM08","03/05/2020 10:00:00","Chlorophyll_a__free_of_pheophytin",0.48,"ug/L",25.8398,-80.1704,0.5
"...17","BBAP","DM08","11/05/2019 09:15:00","Chlorophyll_a__free_of_pheophytin",0.86,"ug/L",25.8398,-80.1704,1
"...18","BBAP","JT71","02/15/2019 11:40:00","Chlorophyll_a__free_of_pheophytin",0.76,"ug/L",25.8217,-80.1513,0.9
"...19","BBAP","JT71","06/08/2021 13:30:00","Chlorophyll_a__free_of_pheophytin",1.5,"ug/L",25.8217,-80.1513,0.28
"...20","BBAP","DM08","07/07/2021 12:20:00","Chlorophyll_a__free_of_pheophytin",6.5,"ug/L",25.8398,-80.1704,0.101
"...21","BBAP","BH22","07/19/2021 10:25:00","Chlorophyll_a__free_of_pheophytin",0.68,"ug/L",25.7597,-80.1776,0.439
"...22","BBAP","VR01","01/12/2022 09:15:00","Chlorophyll_a__free_of_pheophytin",1.1,"ug/L",25.8057,-80.1526,0.995
"...23","BBAP","CWA2","02/17/2022 13:50:00","Chlorophyll_a__free_of_pheophytin",1.1,"ug/L",25.7513,-80.1585,0.479
"...24","BBAP","VR01","06/07/2022 07:25:00","Chlorophyll_a__free_of_pheophytin",7.4,"ug/L",25.8057,-80.1526,0.334
"...25","BBAP","MRSC","03/15/2022 12:50:00","Chlorophyll_a__free_of_pheophytin",1,"ug/L",25.8072,-80.2599,0.08
"...26","BBAP","MRSC","07/28/2022 14:35:00","Chlorophyll_a__free_of_pheophytin",3.16,"ug/L",25.8072,-80.2599,0.092
"...27","BBAP","CWA2","04/27/2022 11:40:00","Chlorophyll_a__free_of_pheophytin",1,"ug/L",25.7513,-80.1585,0.455
"...28","BBAP","JT66","07/12/2022 13:55:00","Chlorophyll_a__free_of_pheophytin",0.72,"ug/L",25.8165,-80.147,0.304
"...29","BBAP","VR01","08/09/2022 11:25:00","Chlorophyll_a__free_of_pheophytin",0.82,"ug/L",25.8057,-80.1526,0.734
"...30","BBAP","LR03","08/08/2022 11:55:00","Chlorophyll_a__free_of_pheophytin",8.47,"ug/L",25.8468,-80.1829,0.111
"...31","BBAP","MRSC","02/17/2022 14:40:00","Chlorophyll_a__free_of_pheophytin",6.2,"ug/L",25.8072,-80.2599,0.06
"...32","BBAP","RB1A","08/23/2022 13:10:00","Chlorophyll_a__free_of_pheophytin",0.92,"ug/L",25.7524,-80.1954,0.843
"...33","BBAP","VR11","07/11/2022 12:40:00","Chlorophyll_a__free_of_pheophytin",0.9,"ug/L",25.8047,-80.1794,0.583
"...34","BBAP","BB14","02/01/2022 15:45:00","Chlorophyll_a__free_of_pheophytin",0.32,"ug/L",25.83,-80.1586,0.485
"...35","BBAP","JFK03","06/08/2022 10:55:00","Chlorophyll_a__free_of_pheophytin",23,"ug/L",25.8628,-80.1697,0.557
"...36","BBAP","JFK03","04/19/2022 18:55:00","Chlorophyll_a__free_of_pheophytin",0.97,"ug/L",25.8628,-80.1697,0.433
"...37","BBAP","CWA2","07/25/2023 07:05:00","Chlorophyll_a__free_of_pheophytin",1.9,"ug/L",25.7513,-80.1585,0.643
"...38","BBAP","RB1A","09/21/2022 13:00:00","Chlorophyll_a__free_of_pheophytin",1.7,"ug/L",25.7524,-80.1954,0.96
"...39","BBAP","VR01","09/07/2022 10:50:00","Chlorophyll_a__free_of_pheophytin",1.2,"ug/L",25.8057,-80.1526,0.968
"...40","BBAP","BB14","09/07/2022 12:50:00","Chlorophyll_a__free_of_pheophytin",1,"ug/L",25.83,-80.1586,0.527
"...41","BBAP","BH22","12/01/2022 09:05:00","Chlorophyll_a__free_of_pheophytin",4.4,"ug/L",25.7597,-80.1776,0.641
"...42","BBAP","BB14","02/02/2023 13:25:00","Chlorophyll_a__free_of_pheophytin",0.49,"ug/L",25.83,-80.1586,0.333
"...43","BBAP","BH22","01/04/2023 12:30:00","Chlorophyll_a__free_of_pheophytin",1.4,"ug/L",25.7597,-80.1776,0.233
"...44","BBAP","DM08","01/16/2023 09:10:00","Chlorophyll_a__free_of_pheophytin",0.79,"ug/L",25.8398,-80.1704,0.095
"...45","BBAP","DM08","02/01/2023 11:05:00","Chlorophyll_a__free_of_pheophytin",0.8,"ug/L",25.8398,-80.1704,0.303
"...46","BBAP","CWA5","12/01/2022 07:35:00","Chlorophyll_a__free_of_pheophytin",0.84,"ug/L",25.7633,-80.1609,0.747
