"","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"47642","SFER","2","01/22/2022 15:21:00","Dissolved_Oxygen__CTD_",7.3841,"mg/L",25.6407,-80.1044,0
"47732","SFER","MR","01/22/2022 22:14:00","Dissolved_Oxygen__CTD_",6.327,"mg/L",25.0065,-80.3716,0
"47772","SFER","7","01/23/2022 02:05:00","Dissolved_Oxygen__CTD_",7.181,"mg/L",24.8173,-80.7558,0
"47802","SFER","9","01/23/2022 02:46:00","Dissolved_Oxygen__CTD_",6.375,"mg/L",24.7635,-80.7231,0
"47822","SFER","9.5","01/23/2022 03:27:00","Dissolved_Oxygen__CTD_",6.232,"mg/L",24.7172,-80.6897,0
"47842","SFER","12","01/23/2022 04:49:00","Dissolved_Oxygen__CTD_",6.39,"mg/L",24.7127,-80.8328,0
"47872","SFER","10","01/23/2022 05:38:00","Dissolved_Oxygen__CTD_",6.844,"mg/L",24.7887,-80.8602,0
"47932","SFER","18","01/23/2022 09:18:00","Dissolved_Oxygen__CTD_",6.331,"mg/L",24.5976,-81.184,0
"47952","SFER","16","01/23/2022 10:04:00","Dissolved_Oxygen__CTD_",6.677,"mg/L",24.67,-81.2028,0
"47992","SFER","21LK","01/23/2022 12:32:00","Dissolved_Oxygen__CTD_",6.284,"mg/L",24.5684,-81.4136,0
"48022","SFER","WS","01/23/2022 15:40:00","Dissolved_Oxygen__CTD_",6.2431,"mg/L",24.4749,-81.7162,0
"48082","SFER","KW1","01/23/2022 19:04:00","Dissolved_Oxygen__CTD_",6.465,"mg/L",24.6532,-81.903,0
"481010","SFER","KW2","01/23/2022 20:17:00","Dissolved_Oxygen__CTD_",6.209,"mg/L",24.7266,-81.9157,0
"48132","SFER","KW4","01/23/2022 23:54:00","Dissolved_Oxygen__CTD_",6.423,"mg/L",25.0135,-82.1399,0
"48152","SFER","30","01/24/2022 05:13:00","Dissolved_Oxygen__CTD_",6.545,"mg/L",25.4016,-82.2083,0
"48182","SFER","31","01/24/2022 08:54:00","Dissolved_Oxygen__CTD_",6.757,"mg/L",25.7403,-81.9424,0
"482110","SFER","33","01/24/2022 10:44:00","Dissolved_Oxygen__CTD_",6.705,"mg/L",25.9113,-81.7978,0
"48242","SFER","CAL5","01/24/2022 14:34:00","Dissolved_Oxygen__CTD_",6.782,"mg/L",26.1809,-82.2127,0
"48262","SFER","CAL4","01/24/2022 15:26:00","Dissolved_Oxygen__CTD_",6.831,"mg/L",26.252,-82.1392,0
"48282","SFER","CAL3","01/24/2022 16:31:00","Dissolved_Oxygen__CTD_",6.914,"mg/L",26.3413,-82.0441,0
"48302","SFER","CAL2","01/24/2022 17:11:00","Dissolved_Oxygen__CTD_",7.184,"mg/L",26.3831,-82.0005,0
"483110","SFER","CAL1","01/24/2022 17:47:00","Dissolved_Oxygen__CTD_",7.196,"mg/L",26.4259,-81.9595,0
