"","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"59101","SFER","54","12/03/2014 14:46:00","Dissolved_Oxygen__Discrete_",222.63,"mg/L",25.3451,-81.1521,0
"63101","SFER","57","12/03/2014 17:00:00","Dissolved_Oxygen__Discrete_",239.88,"mg/L",25.3522,-81.2656,0
"9011","SFER","57","12/04/2014 14:26:00","Dissolved_Oxygen__Discrete_",234.57,"mg/L",25.3506,-81.2634,0
"9411","SFER","54","12/04/2014 16:07:00","Dissolved_Oxygen__Discrete_",224.67,"mg/L",25.3425,-81.1535,0
"14311","SFER","21LK","04/14/2015 13:20:00","Dissolved_Oxygen__Discrete_",234.07,"mg/L",24.5372,-81.4183,0
"14411","SFER","21.5","04/14/2015 15:38:00","Dissolved_Oxygen__Discrete_",241.7,"mg/L",24.4832,-81.3903,0
"14611","SFER","WS","04/14/2015 17:50:00","Dissolved_Oxygen__Discrete_",231.08,"mg/L",24.4759,-81.7167,0
"17211","SFER","54","04/15/2015 16:05:00","Dissolved_Oxygen__Discrete_",234.77,"mg/L",25.3416,-81.1544,0
"17511","SFER","57","04/15/2015 17:45:00","Dissolved_Oxygen__Discrete_",231.4,"mg/L",25.3513,-81.2664,0
"19111","SFER","57","04/16/2015 14:50:00","Dissolved_Oxygen__Discrete_",224.89,"mg/L",25.3523,-81.2634,0
"19411","SFER","54","04/16/2015 16:34:00","Dissolved_Oxygen__Discrete_",216.78,"mg/L",25.3449,-81.1518,0
"20811","SFER","MR","06/01/2015 19:36:00","Dissolved_Oxygen__Discrete_",241.25,"mg/L",25.0046,-80.3782,0
"23411","SFER","21LK","06/02/2015 11:21:00","Dissolved_Oxygen__Discrete_",234.19,"mg/L",24.5364,-81.4159,0
"23711","SFER","WS","06/02/2015 14:21:00","Dissolved_Oxygen__Discrete_",229.52,"mg/L",24.4766,-81.7127,0
"26311","SFER","54","06/03/2015 15:24:00","Dissolved_Oxygen__Discrete_",222.69,"mg/L",25.3414,-81.1559,0
"26611","SFER","57","06/03/2015 17:22:00","Dissolved_Oxygen__Discrete_",234.65,"mg/L",25.3517,-81.2648,0
"28311","SFER","54","06/04/2015 10:31:00","Dissolved_Oxygen__Discrete_",220.44,"mg/L",25.3436,-81.1524,0
"28611","SFER","57","06/04/2015 12:05:00","Dissolved_Oxygen__Discrete_",203.05,"mg/L",25.352,-81.2661,0
"12042","SFER","MR","01/30/2017 21:04:00","Dissolved_Oxygen__Discrete_",220.65,"mg/L",25.0008,-80.3697,0
"12314","SFER","21LK","01/31/2017 11:22:00","Dissolved_Oxygen__Discrete_",214.21,"mg/L",24.537,-81.412,0
"12342","SFER","WS","01/31/2017 14:24:00","Dissolved_Oxygen__Discrete_",424.01,"mg/L",24.475,-81.7189,0
"12582","SFER","57","02/01/2017 12:54:00","Dissolved_Oxygen__Discrete_",260.17,"mg/L",25.3507,-81.2668,0
"12652","SFER","54","02/01/2017 18:22:00","Dissolved_Oxygen__Discrete_",230.5,"mg/L",25.3472,-81.1521,0
"13022","SFER","MR","03/27/2017 22:18:00","Dissolved_Oxygen__Discrete_",220.44,"mg/L",25.0071,-80.3721,0
"13282","SFER","21LK","03/28/2017 14:06:00","Dissolved_Oxygen__Discrete_",221.43,"mg/L",24.5362,-81.4124,0
"133110","SFER","WS","03/28/2017 17:35:00","Dissolved_Oxygen__Discrete_",222.29,"mg/L",24.4757,-81.7103,0
"13542","SFER","57","03/29/2017 17:05:00","Dissolved_Oxygen__Discrete_",236.32,"mg/L",25.3516,-81.2648,0
"13552","SFER","56","03/29/2017 17:29:00","Dissolved_Oxygen__Discrete_",234.04,"mg/L",25.35,-81.2257,0
"13562","SFER","55","03/29/2017 17:50:00","Dissolved_Oxygen__Discrete_",228.06,"mg/L",25.35,-81.1935,0
"13572","SFER","54","03/29/2017 18:25:00","Dissolved_Oxygen__Discrete_",229.65,"mg/L",25.3455,-81.1526,0
"14882","SFER","MR","07/31/2017 22:55:00","Dissolved_Oxygen__Discrete_",212.331,"mg/L",25.0088,-80.3704,0
"15182","SFER","21LK","08/01/2017 16:32:00","Dissolved_Oxygen__Discrete_",211.365,"mg/L",24.5363,-81.413,0
"152110","SFER","WS","08/01/2017 20:15:00","Dissolved_Oxygen__Discrete_",203.397,"mg/L",24.4767,-81.716,0
"15362","SFER","54","08/02/2017 14:18:00","Dissolved_Oxygen__Discrete_",206.468,"mg/L",25.3443,-81.151,0
"15392","SFER","57","08/02/2017 15:54:00","Dissolved_Oxygen__Discrete_",201.736,"mg/L",25.3516,-81.265,0
"15702","SFER","57","08/03/2017 22:45:00","Dissolved_Oxygen__Discrete_",205.892,"mg/L",25.3539,-81.267,0
