"","X","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"1",87108,"MiamiBeach","22","2020-01-16","Enterococci",10,"MPN/100mL",NA,NA,NA
"2",87120,"MiamiBeach","23","2020-01-16","Enterococci",20,"MPN/100mL",NA,NA,NA
"3",87132,"MiamiBeach","24","2020-01-16","Enterococci",3320,"MPN/100mL",NA,NA,NA
"4",87144,"MiamiBeach","25","2020-01-16","Enterococci",31,"MPN/100mL",NA,NA,NA
"5",87156,"MiamiBeach","26","2020-01-16","Enterococci",10,"MPN/100mL",NA,NA,NA
"6",87168,"MiamiBeach","27","2020-01-16","Enterococci",NA,"MPN/100mL",NA,NA,NA
"7",87180,"MiamiBeach","28","2020-01-16","Enterococci",10,"MPN/100mL",NA,NA,NA
"8",87192,"MiamiBeach","29","2020-01-16","Enterococci",NA,"MPN/100mL",NA,NA,NA
"9",87204,"MiamiBeach","30","2020-01-16","Enterococci",NA,"MPN/100mL",NA,NA,NA
"10",87216,"MiamiBeach","31","2020-01-16","Enterococci",NA,"MPN/100mL",NA,NA,NA
"11",87228,"MiamiBeach","32","2020-01-16","Enterococci",10,"MPN/100mL",NA,NA,NA
"12",87240,"MiamiBeach","33","2020-01-16","Enterococci",NA,"MPN/100mL",NA,NA,NA
"13",87252,"MiamiBeach","34","2020-01-16","Enterococci",20,"MPN/100mL",NA,NA,NA
"14",87264,"MiamiBeach","35","2020-01-16","Enterococci",20,"MPN/100mL",NA,NA,NA
"15",87276,"MiamiBeach","36","2020-01-16","Enterococci",330,"MPN/100mL",NA,NA,NA
"16",87288,"MiamiBeach","37","2020-01-16","Enterococci",NA,"MPN/100mL",NA,NA,NA
"17",87300,"MiamiBeach","38","2020-01-16","Enterococci",60,"MPN/100mL",NA,NA,NA
"18",87312,"MiamiBeach","39","2020-01-16","Enterococci",NA,"MPN/100mL",NA,NA,NA
"19",87324,"MiamiBeach","40","2020-01-16","Enterococci",NA,"MPN/100mL",NA,NA,NA
"20",87336,"MiamiBeach","41","2020-01-16","Enterococci",NA,"MPN/100mL",NA,NA,NA
"21",87390,"MiamiBeach","1","2020-01-17","Enterococci",10,"MPN/100mL",NA,NA,NA
"22",87391,"MiamiBeach","2","2020-01-17","Enterococci",NA,"MPN/100mL",NA,NA,NA
"23",87392,"MiamiBeach","3b","2020-01-17","Enterococci",10,"MPN/100mL",NA,NA,NA
"24",87393,"MiamiBeach","3","2020-01-17","Enterococci",NA,"MPN/100mL",NA,NA,NA
"25",87394,"MiamiBeach","4","2020-01-17","Enterococci",NA,"MPN/100mL",NA,NA,NA
"26",87395,"MiamiBeach","5","2020-01-17","Enterococci",NA,"MPN/100mL",NA,NA,NA
"27",87396,"MiamiBeach","6","2020-01-17","Enterococci",NA,"MPN/100mL",NA,NA,NA
"28",87397,"MiamiBeach","7","2020-01-17","Enterococci",NA,"MPN/100mL",NA,NA,NA
"29",87398,"MiamiBeach","8","2020-01-17","Enterococci",20,"MPN/100mL",NA,NA,NA
"30",87399,"MiamiBeach","9","2020-01-17","Enterococci",10,"MPN/100mL",NA,NA,NA
"31",87400,"MiamiBeach","10","2020-01-17","Enterococci",NA,"MPN/100mL",NA,NA,NA
"32",87401,"MiamiBeach","11","2020-01-17","Enterococci",52,"MPN/100mL",NA,NA,NA
"33",87402,"MiamiBeach","12","2020-01-17","Enterococci",1440,"MPN/100mL",NA,NA,NA
"34",87403,"MiamiBeach","13","2020-01-17","Enterococci",NA,"MPN/100mL",NA,NA,NA
"35",87404,"MiamiBeach","14","2020-01-17","Enterococci",NA,"MPN/100mL",NA,NA,NA
"36",87405,"MiamiBeach","15","2020-01-17","Enterococci",41,"MPN/100mL",NA,NA,NA
"37",87406,"MiamiBeach","16","2020-01-17","Enterococci",10,"MPN/100mL",NA,NA,NA
"38",87407,"MiamiBeach","17","2020-01-17","Enterococci",NA,"MPN/100mL",NA,NA,NA
"39",87408,"MiamiBeach","18","2020-01-17","Enterococci",10,"MPN/100mL",NA,NA,NA
"40",87409,"MiamiBeach","19","2020-01-17","Enterococci",20,"MPN/100mL",NA,NA,NA
"41",87410,"MiamiBeach","20","2020-01-17","Enterococci",NA,"MPN/100mL",NA,NA,NA
"42",87411,"MiamiBeach","21","2020-01-17","Enterococci",10,"MPN/100mL",NA,NA,NA
