"","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"...1","MiamiBeach","22","01/16/2024 12:00:00","Field_Specific_Conductance",48525,"umhos/cm",NA,NA,NA
"...2","MiamiBeach","23","01/16/2024 12:00:00","Field_Specific_Conductance",49431,"umhos/cm",NA,NA,NA
"...3","MiamiBeach","24","01/16/2024 12:00:00","Field_Specific_Conductance",48439,"umhos/cm",NA,NA,NA
"...4","MiamiBeach","25","01/16/2024 12:00:00","Field_Specific_Conductance",51143,"umhos/cm",NA,NA,NA
"...5","MiamiBeach","26","01/16/2024 12:00:00","Field_Specific_Conductance",35535,"umhos/cm",NA,NA,NA
"...6","MiamiBeach","27","01/16/2024 12:00:00","Field_Specific_Conductance",46926,"umhos/cm",NA,NA,NA
"...7","MiamiBeach","28","01/16/2024 12:00:00","Field_Specific_Conductance",46643,"umhos/cm",NA,NA,NA
"...8","MiamiBeach","29","01/16/2024 12:00:00","Field_Specific_Conductance",41492,"umhos/cm",NA,NA,NA
"...9","MiamiBeach","30","01/16/2024 12:00:00","Field_Specific_Conductance",42643,"umhos/cm",NA,NA,NA
"...10","MiamiBeach","31","01/16/2024 12:00:00","Field_Specific_Conductance",49446,"umhos/cm",NA,NA,NA
"...11","MiamiBeach","32","01/16/2024 12:00:00","Field_Specific_Conductance",46623,"umhos/cm",NA,NA,NA
"...12","MiamiBeach","33","01/16/2024 12:00:00","Field_Specific_Conductance",28678,"umhos/cm",NA,NA,NA
"...13","MiamiBeach","34","01/16/2024 12:00:00","Field_Specific_Conductance",50688,"umhos/cm",NA,NA,NA
"...14","MiamiBeach","35","01/16/2024 12:00:00","Field_Specific_Conductance",50522,"umhos/cm",NA,NA,NA
"...15","MiamiBeach","36","01/16/2024 12:00:00","Field_Specific_Conductance",48590,"umhos/cm",NA,NA,NA
"...16","MiamiBeach","37","01/16/2024 12:00:00","Field_Specific_Conductance",50148,"umhos/cm",NA,NA,NA
"...17","MiamiBeach","38","01/16/2024 12:00:00","Field_Specific_Conductance",51385,"umhos/cm",NA,NA,NA
"...18","MiamiBeach","39","01/16/2024 12:00:00","Field_Specific_Conductance",52110,"umhos/cm",NA,NA,NA
"...19","MiamiBeach","40","01/16/2024 12:00:00","Field_Specific_Conductance",52650,"umhos/cm",NA,NA,NA
"...20","MiamiBeach","41","01/16/2024 12:00:00","Field_Specific_Conductance",52633,"umhos/cm",NA,NA,NA
"...21","MiamiBeach","1","01/17/2024 12:00:00","Field_Specific_Conductance",4656,"umhos/cm",NA,NA,NA
"...22","MiamiBeach","2","01/17/2024 12:00:00","Field_Specific_Conductance",4741,"umhos/cm",NA,NA,NA
"...23","MiamiBeach","3b","01/17/2024 12:00:00","Field_Specific_Conductance",4719,"umhos/cm",NA,NA,NA
