"","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"...1","BBAP","LR05","07/07/2020 12:10:00","Nitrate-Nitrite__N_",0.28,"mg/L",25.871488,-80.231037,0.639
"...2","BBAP","LR03","09/10/2019 13:15:00","Nitrate-Nitrite__N_",0.26,"mg/L",25.8468,-80.1829,1
"...3","BBAP","LR03","10/07/2019 10:50:00","Nitrate-Nitrite__N_",0.25,"mg/L",25.8468,-80.1829,1
"...4","BBAP","DM08","08/05/2019 18:15:00","Nitrate-Nitrite__N_",0.072,"mg/L",25.8398,-80.1704,1
"...5","BBAP","DM08","10/07/2019 10:30:00","Nitrate-Nitrite__N_",0.005,"mg/L",25.8398,-80.1704,1
"...6","BBAP","DM08","09/10/2019 12:50:00","Nitrate-Nitrite__N_",0.072,"mg/L",25.8398,-80.1704,1
"...7","BBAP","LR03","12/10/2019 13:00:00","Nitrate-Nitrite__N_",0.26,"mg/L",25.8468,-80.1829,1
"...8","BBAP","LR03","02/05/2020 11:20:00","Nitrate-Nitrite__N_",0.31,"mg/L",25.8468,-80.1829,1
"...9","BBAP","BB14","02/15/2019 11:10:00","Nitrate-Nitrite__N_",0.013,"mg/L",25.83,-80.1586,0.8
"...10","BBAP","BB14","05/07/2019 18:10:00","Nitrate-Nitrite__N_",0.006,"mg/L",25.83,-80.1586,1
"...11","BBAP","LR03","03/05/2020 10:30:00","Nitrate-Nitrite__N_",0.36,"mg/L",25.8468,-80.1829,1
"...12","BBAP","JT66","02/15/2019 12:00:00","Nitrate-Nitrite__N_",0.016,"mg/L",25.8165,-80.147,0.9
"...13","BBAP","LR03","04/03/2019 15:15:00","Nitrate-Nitrite__N_",0.2,"mg/L",25.8468,-80.1829,1
"...14","BBAP","DM08","06/30/2019 14:10:00","Nitrate-Nitrite__N_",0.13,"mg/L",25.8398,-80.1704,1
"...15","BBAP","LR03","05/07/2019 17:20:00","Nitrate-Nitrite__N_",0.22,"mg/L",25.8468,-80.1829,1
"...16","BBAP","DM08","05/07/2019 16:50:00","Nitrate-Nitrite__N_",0.081,"mg/L",25.8398,-80.1704,0.5
"...17","BBAP","LR03","06/30/2019 13:10:00","Nitrate-Nitrite__N_",0.28,"mg/L",25.8468,-80.1829,1
"...18","BBAP","DM08","03/05/2020 10:00:00","Nitrate-Nitrite__N_",0.022,"mg/L",25.8398,-80.1704,0.5
"...19","BBAP","JT71","08/13/2020 11:00:00","Nitrate-Nitrite__N_",0.004,"mg/L",25.8217,-80.1513,0.127
"...20","BBAP","DM08","11/05/2019 09:15:00","Nitrate-Nitrite__N_",0.005,"mg/L",25.8398,-80.1704,1
"...21","BBAP","JT71","02/15/2019 11:40:00","Nitrate-Nitrite__N_",0.008,"mg/L",25.8217,-80.1513,0.9
"...22","BBAP","DM08","08/17/2020 15:45:00","Nitrate-Nitrite__N_",0.009,"mg/L",25.8398,-80.1704,0.737
"...23","BBAP","DM00","08/13/2020 11:40:00","Nitrate-Nitrite__N_",0.004,"mg/L",25.83025,-80.16968,0.27
"...24","BBAP","JT71","06/08/2021 13:30:00","Nitrate-Nitrite__N_",0.004,"mg/L",25.8217,-80.1513,0.28
"...25","BBAP","DM08","07/07/2021 12:20:00","Nitrate-Nitrite__N_",0.032,"mg/L",25.8398,-80.1704,0.101
"...26","BBAP","BH22","07/19/2021 10:25:00","Nitrate-Nitrite__N_",0.008,"mg/L",25.7597,-80.1776,0.439
"...27","BBAP","VR01","01/12/2022 09:15:00","Nitrate-Nitrite__N_",0.004,"mg/L",25.8057,-80.1526,0.995
"...28","BBAP","CWA2","02/17/2022 13:50:00","Nitrate-Nitrite__N_",0.004,"mg/L",25.7513,-80.1585,0.479
