"","X","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"1",29878,"FIU_Estuaries","Highway Creek","1991-03-14","Nitrate",17.36,"ppm",25.2536,-80.44415,0.855555555555556
"2",29893,"FIU_Estuaries","Highway Creek","1991-04-16","Nitrate",7.28,"ppm",25.2536,-80.44415,0.855555555555556
"3",29908,"FIU_Estuaries","Garfield Bight","1991-04-16","Nitrate",1.96,"ppm",25.15048,-80.80922,0.905555555555556
"4",29923,"FIU_Estuaries","Highway Creek","1991-05-01","Nitrate",7.84,"ppm",25.2536,-80.44415,0.855555555555556
"5",29938,"FIU_Estuaries","Garfield Bight","1991-05-01","Nitrate",2.38,"ppm",25.15048,-80.80922,0.905555555555556
"6",29953,"FIU_Estuaries","Highway Creek","1991-06-11","Nitrate",4.9,"ppm",25.2536,-80.44415,0.855555555555556
"7",29968,"FIU_Estuaries","Garfield Bight","1991-06-11","Nitrate",0.7,"ppm",25.15048,-80.80922,0.905555555555556
"8",29983,"FIU_Estuaries","Highway Creek","1991-07-09","Nitrate",3.22,"ppm",25.2536,-80.44415,0.855555555555556
"9",29998,"FIU_Estuaries","Garfield Bight","1991-07-09","Nitrate",1.54,"ppm",25.15048,-80.80922,0.905555555555556
"10",30013,"FIU_Estuaries","Highway Creek","1991-07-30","Nitrate",0.42,"ppm",25.2536,-80.44415,0.855555555555556
"11",30028,"FIU_Estuaries","Garfield Bight","1991-07-30","Nitrate",1.26,"ppm",25.15048,-80.80922,0.905555555555556
"12",30043,"FIU_Estuaries","Highway Creek","1991-09-11","Nitrate",3.22,"ppm",25.2536,-80.44415,0.855555555555556
"13",30058,"FIU_Estuaries","Garfield Bight","1991-09-11","Nitrate",2.8,"ppm",25.15048,-80.80922,0.905555555555556
"14",30073,"FIU_Estuaries","Highway Creek","1991-10-09","Nitrate",5.32,"ppm",25.2536,-80.44415,0.855555555555556
"15",30088,"FIU_Estuaries","Garfield Bight","1991-10-09","Nitrate",6.72,"ppm",25.15048,-80.80922,0.905555555555556
"16",30103,"FIU_Estuaries","Highway Creek","1991-11-13","Nitrate",6.72,"ppm",25.2536,-80.44415,0.855555555555556
"17",30118,"FIU_Estuaries","Garfield Bight","1991-11-13","Nitrate",2.52,"ppm",25.15048,-80.80922,0.905555555555556
"18",30133,"FIU_Estuaries","Highway Creek","1991-12-04","Nitrate",7.14,"ppm",25.2536,-80.44415,0.855555555555556
"19",30148,"FIU_Estuaries","Garfield Bight","1991-12-04","Nitrate",6.86,"ppm",25.15048,-80.80922,0.905555555555556
"20",30163,"FIU_Estuaries","Highway Creek","1992-01-15","Nitrate",9.1,"ppm",25.2536,-80.44415,0.855555555555556
"21",30178,"FIU_Estuaries","Garfield Bight","1992-01-15","Nitrate",1.68,"ppm",25.15048,-80.80922,0.905555555555556
"22",30193,"FIU_Estuaries","Highway Creek","1992-02-11","Nitrate",27.58,"ppm",25.2536,-80.44415,0.855555555555556
"23",30208,"FIU_Estuaries","Garfield Bight","1992-02-11","Nitrate",3.5,"ppm",25.15048,-80.80922,0.905555555555556
"24",30223,"FIU_Estuaries","Highway Creek","1992-03-10","Nitrate",12.18,"ppm",25.2536,-80.44415,0.855555555555556
"25",30238,"FIU_Estuaries","Garfield Bight","1992-03-10","Nitrate",0.98,"ppm",25.15048,-80.80922,0.905555555555556
"26",30253,"FIU_Estuaries","Highway Creek","1992-04-22","Nitrate",5.6,"ppm",25.2536,-80.44415,0.855555555555556
"27",30268,"FIU_Estuaries","Garfield Bight","1992-04-22","Nitrate",0.42,"ppm",25.15048,-80.80922,0.905555555555556
"28",30283,"FIU_Estuaries","Highway Creek","1992-05-13","Nitrate",1.82,"ppm",25.2536,-80.44415,0.855555555555556
"29",30298,"FIU_Estuaries","Garfield Bight","1992-05-13","Nitrate",0.42,"ppm",25.15048,-80.80922,0.905555555555556
"30",30313,"FIU_Estuaries","Highway Creek","1992-06-17","Nitrate",2.94,"ppm",25.2536,-80.44415,0.855555555555556
"31",30328,"FIU_Estuaries","Garfield Bight","1992-06-17","Nitrate",0.42,"ppm",25.15048,-80.80922,0.905555555555556
"32",30343,"FIU_Estuaries","Highway Creek","1992-07-15","Nitrate",0.420000000000004,"ppm",25.2536,-80.44415,0.855555555555556
"33",30358,"FIU_Estuaries","Garfield Bight","1992-07-15","Nitrate",0.42,"ppm",25.15048,-80.80922,0.905555555555556
"34",30373,"FIU_Estuaries","Highway Creek","1992-08-12","Nitrate",2.66,"ppm",25.2536,-80.44415,0.855555555555556
"35",30388,"FIU_Estuaries","Garfield Bight","1992-08-12","Nitrate",0.420000000000001,"ppm",25.15048,-80.80922,0.905555555555556
"36",30403,"FIU_Estuaries","Highway Creek","1992-09-08","Nitrate",1.12,"ppm",25.2536,-80.44415,0.855555555555556
"37",30418,"FIU_Estuaries","Garfield Bight","1992-09-08","Nitrate",4.06,"ppm",25.15048,-80.80922,0.905555555555556
"38",30433,"FIU_Estuaries","Highway Creek","1992-10-13","Nitrate",1.82,"ppm",25.2536,-80.44415,0.855555555555556
"39",30448,"FIU_Estuaries","Garfield Bight","1992-10-13","Nitrate",0.42,"ppm",25.15048,-80.80922,0.905555555555556
"40",30463,"FIU_Estuaries","Highway Creek","1992-11-10","Nitrate",4.2,"ppm",25.2536,-80.44415,0.855555555555556
"41",30478,"FIU_Estuaries","Garfield Bight","1992-11-10","Nitrate",1.12,"ppm",25.15048,-80.80922,0.905555555555556
"42",30493,"FIU_Estuaries","Highway Creek","1992-12-01","Nitrate",0.42,"ppm",25.2536,-80.44415,0.855555555555556
"43",30508,"FIU_Estuaries","Garfield Bight","1992-12-01","Nitrate",0.42,"ppm",25.15048,-80.80922,0.905555555555556
"44",30523,"FIU_Estuaries","Highway Creek","1993-01-20","Nitrate",5.46,"ppm",25.2536,-80.44415,0.855555555555556
"45",30538,"FIU_Estuaries","Garfield Bight","1993-01-20","Nitrate",NA,"ppm",25.15048,-80.80922,0.905555555555556
"46",30553,"FIU_Estuaries","Highway Creek","1993-02-09","Nitrate",3.5,"ppm",25.2536,-80.44415,0.855555555555556
"47",30568,"FIU_Estuaries","Garfield Bight","1993-02-09","Nitrate",4.62,"ppm",25.15048,-80.80922,0.905555555555556
"48",30583,"FIU_Estuaries","Highway Creek","1993-03-09","Nitrate",7.98,"ppm",25.2536,-80.44415,0.855555555555556
"49",30598,"FIU_Estuaries","Garfield Bight","1993-03-09","Nitrate",2.1,"ppm",25.15048,-80.80922,0.905555555555556
"50",30613,"FIU_Estuaries","Highway Creek","1993-04-06","Nitrate",9.66,"ppm",25.2536,-80.44415,0.855555555555556
