"","X","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"1",5,"SFER","1","2014-12-01","Nitrite",0.04,NA,25,-80,NA
"2",16,"SFER","2","2014-12-01","Nitrite",0.06,NA,25,-80,NA
"3",27,"SFER","3","2014-12-01","Nitrite",0.07,NA,25,-80,NA
"4",38,"SFER","EKIN","2014-12-01","Nitrite",0.11,NA,25,-80,NA
"5",49,"SFER","EKMID","2014-12-01","Nitrite",0.07,NA,25,-80,NA
"6",60,"SFER","4","2014-12-01","Nitrite",0.15,NA,25,-80,NA
"7",71,"SFER","5","2014-12-01","Nitrite",0.06,NA,25,-80,NA
"8",82,"SFER","UKIN","2014-12-01","Nitrite",0.12,NA,24,-80,NA
"9",93,"SFER","UKMID","2014-12-01","Nitrite",0.04,NA,24,-80,NA
"10",104,"SFER","UKOFF","2014-12-01","Nitrite",0.04,NA,24,-80,NA
"11",115,"SFER","7","2014-12-01","Nitrite",0.04,NA,24,-80,NA
"12",126,"SFER","9","2014-12-02","Nitrite",0.03,NA,24,-80,NA
"13",137,"SFER","9.5","2014-12-02","Nitrite",0.03,NA,24,-80,NA
"14",148,"SFER","8","2014-12-02","Nitrite",0.03,NA,24,-80,NA
"15",159,"SFER","10","2014-12-02","Nitrite",0.04,NA,24,-80,NA
"16",170,"SFER","11","2014-12-02","Nitrite",0.04,NA,24,-80,NA
"17",181,"SFER","8","2014-12-02","Nitrite",0.04,NA,24,-80,NA
"18",192,"SFER","12","2014-12-02","Nitrite",0.03,NA,24,-80,NA
"19",203,"SFER","15.5","2014-12-02","Nitrite",0.03,NA,24,-80,NA
"20",214,"SFER","15","2014-12-02","Nitrite",0.03,NA,24,-81,NA
"21",225,"SFER","14","2014-12-02","Nitrite",0.02,NA,24,-81,NA
"22",236,"SFER","13","2014-12-02","Nitrite",0.1,NA,24,-81,NA
"23",247,"SFER","16","2014-12-02","Nitrite",0.08,NA,24,-81,NA
"24",258,"SFER","17","2014-12-02","Nitrite",0.04,NA,24,-81,NA
"25",269,"SFER","18","2014-12-02","Nitrite",0.02,NA,24,-81,NA
"26",280,"SFER","19","2014-12-02","Nitrite",0.07,NA,24,-81,NA
"27",291,"SFER","20","2014-12-02","Nitrite",0.06,NA,24,-81,NA
"28",302,"SFER","21LK","2014-12-02","Nitrite",0,NA,24,-81,NA
"29",313,"SFER","21.5","2014-12-02","Nitrite",0.03,NA,24,-81,NA
"30",324,"SFER","22.5","2014-12-02","Nitrite",0.02,NA,24,-81,NA
"31",335,"SFER","22","2014-12-02","Nitrite",0.01,NA,24,-81,NA
"32",346,"SFER","23","2014-12-02","Nitrite",0.03,NA,24,-81,NA
"33",357,"SFER","24","2014-12-02","Nitrite",0.06,NA,24,-81,NA
"34",368,"SFER","30","2014-12-02","Nitrite",0.02,NA,25,-82,NA
"35",379,"SFER","30","2014-12-02","Nitrite",0.03,NA,25,-82,NA
"36",390,"SFER","30","2014-12-02","Nitrite",0.03,NA,25,-82,NA
"37",401,"SFER","30.5","2014-12-02","Nitrite",0,NA,25,-82,NA
"38",412,"SFER","31","2014-12-03","Nitrite",0.01,NA,25,-81,NA
"39",423,"SFER","31","2014-12-03","Nitrite",0,NA,25,-81,NA
"40",434,"SFER","32","2014-12-03","Nitrite",0.01,NA,25,-81,NA
"41",445,"SFER","33","2014-12-03","Nitrite",0.04,NA,25,-81,NA
"42",456,"SFER","33","2014-12-03","Nitrite",0.04,NA,25,-81,NA
"43",467,"SFER","34","2014-12-03","Nitrite",0.06,NA,25,-81,NA
"44",478,"SFER","42","2014-12-03","Nitrite",0.05,NA,25,-81,NA
"45",489,"SFER","41","2014-12-03","Nitrite",0.05,NA,25,-81,NA
"46",500,"SFER","40","2014-12-03","Nitrite",0.06,NA,25,-81,NA
"47",511,"SFER","39","2014-12-03","Nitrite",0.02,NA,25,-81,NA
"48",522,"SFER","45","2014-12-03","Nitrite",0.06,NA,25,-81,NA
"49",533,"SFER","45","2014-12-03","Nitrite",0.06,NA,25,-81,NA
"50",544,"SFER","46","2014-12-03","Nitrite",0.05,NA,25,-81,NA
"51",555,"SFER","47","2014-12-03","Nitrite",0.06,NA,25,-81,NA
"52",566,"SFER","48","2014-12-03","Nitrite",0.07,NA,25,-81,NA
"53",577,"SFER","49","2014-12-03","Nitrite",0.07,NA,25,-81,NA
"54",588,"SFER","50","2014-12-03","Nitrite",0.07,NA,25,-81,NA
"55",599,"SFER","51","2014-12-03","Nitrite",0.07,NA,25,-81,NA
"56",610,"SFER","51","2014-12-03","Nitrite",0.09,NA,25,-81,NA
"57",621,"SFER","52","2014-12-03","Nitrite",0.08,NA,25,-81,NA
"58",632,"SFER","53","2014-12-03","Nitrite",0.09,NA,25,-81,NA
"59",643,"SFER","54","2014-12-03","Nitrite",0.13,NA,25,-81,NA
"60",654,"SFER","55","2014-12-03","Nitrite",0.1,NA,25,-81,NA
"61",665,"SFER","56","2014-12-03","Nitrite",0.07,NA,25,-81,NA
"62",676,"SFER","57","2014-12-03","Nitrite",0.06,NA,25,-81,NA
"63",687,"SFER","57","2014-12-03","Nitrite",0.1,NA,25,-81,NA
"64",698,"SFER","57.1","2014-12-03","Nitrite",0.07,NA,25,-81,NA
"65",709,"SFER","57.1","2014-12-03","Nitrite",0.07,NA,25,-81,NA
"66",720,"SFER","57.1","2014-12-03","Nitrite",0.07,NA,25,-81,NA
"67",731,"SFER","57.2","2014-12-03","Nitrite",0.09,NA,25,-81,NA
"68",742,"SFER","57.2","2014-12-03","Nitrite",0.04,NA,25,-81,NA
"69",753,"SFER","57.2","2014-12-03","Nitrite",0.1,NA,25,-81,NA
"70",764,"SFER","57.3","2014-12-03","Nitrite",0.08,NA,25,-81,NA
