"","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"...1","DERM_BBWQ","CG03","07/11/2024 12:00:00","Nitrogen-_Total",0.69,"mg/L",25.738545,-80.286792,0.5
"...2","DERM_BBWQ","SP08","08/08/2024 10:10:00","Nitrogen-_Total",0.89,"mg/L",25.7154804,-80.3829744,0.5
"...3","DERM_BBWQ","BB17","09/09/2024 09:05:00","Nitrogen-_Total",0.51,"mg/L",25.802675,-80.1659703,0.5
"...4","DERM_BBWQ","OSC2","08/05/2024 09:15:00","Nitrogen-_Total",2.25,"mg/L",25.890008,-80.243468,0.5
"...5","DERM_BBWQ","SP08","09/12/2024 10:00:00","Nitrogen-_Total",0.94,"mg/L",25.7154804,-80.3829744,0.5
"...6","DERM_BBWQ","MR06","08/06/2024 11:30:00","Nitrogen-_Total",0.79,"mg/L",25.7954165,-80.2443892,0.5
"...7","DERM_BBWQ","OL03","07/08/2024 10:40:00","Nitrogen-_Total",0.81,"mg/L",25.9637064,-80.1502022,0.5
"...8","DERM_BBWQ","MI02","07/10/2024 09:30:00","Nitrogen-_Total",0.46,"mg/L",25.4893605,-80.3473436,0.5
"...9","DERM_BBWQ","BISC101","08/07/2024 10:35:00","Nitrogen-_Total",0.24,"mg/L",25.4783316,-80.320831,0.5
"...10","DERM_BBWQ","BB04","08/05/2024 11:10:00","Nitrogen-_Total",0.24,"mg/L",25.917671,-80.1257684,0.5
"...11","DERM_BBWQ","GL02","09/11/2024 10:30:00","Nitrogen-_Total",2.41,"mg/L",25.5372206,-80.3330313,0.5
"...12","DERM_BBWQ","BB02","07/08/2024 11:05:00","Nitrogen-_Total",0.48,"mg/L",25.9448704,-80.1277678,0.5
"...13","DERM_BBWQ","BISC121","09/11/2024 08:50:00","Nitrogen-_Total",0.24,"mg/L",25.3549983,-80.291665,0.5
"...14","DERM_BBWQ","BS04","09/09/2024 08:30:00","Nitrogen-_Total",1.05,"mg/L",25.8740728,-80.1814691,0.5
"...15","DERM_BBWQ","CD05","07/11/2024 09:00:00","Nitrogen-_Total",0.2,"mg/L",25.6238368,-80.3436253,0.5
"...16","DERM_BBWQ","PR04A","09/11/2024 09:55:00","Nitrogen-_Total",4.14,"mg/L",25.536972,-80.3895984,0.5
"...17","DERM_BBWQ","BBY4","09/12/2024 10:30:00","Nitrogen-_Total",0.55,"mg/L",25.599304,-80.275107,0.5
