"","source","site","datetime","value","units","latitude","longitude","sample_depth"
"...1","MiamiBeach","22","01/16/2024 12:00:00",0.27,"mg/L",NA,NA,NA
"...2","MiamiBeach","23","01/16/2024 12:00:00",0.29,"mg/L",NA,NA,NA
"...3","MiamiBeach","24","01/16/2024 12:00:00",0.44,"mg/L",NA,NA,NA
"...4","MiamiBeach","25","01/16/2024 12:00:00",0.27,"mg/L",NA,NA,NA
"...5","MiamiBeach","26","01/16/2024 12:00:00",0.27,"mg/L",NA,NA,NA
"...6","MiamiBeach","27","01/16/2024 12:00:00",0.28,"mg/L",NA,NA,NA
"...7","MiamiBeach","28","01/16/2024 12:00:00",0.27,"mg/L",NA,NA,NA
"...8","MiamiBeach","29","01/16/2024 12:00:00",0.24,"mg/L",NA,NA,NA
"...9","MiamiBeach","30","01/16/2024 12:00:00",0.26,"mg/L",NA,NA,NA
"...10","MiamiBeach","31","01/16/2024 12:00:00",0.26,"mg/L",NA,NA,NA
"...11","MiamiBeach","32","01/16/2024 12:00:00",0.31,"mg/L",NA,NA,NA
"...12","MiamiBeach","33","01/16/2024 12:00:00",0.27,"mg/L",NA,NA,NA
"...13","MiamiBeach","34","01/16/2024 12:00:00",0.27,"mg/L",NA,NA,NA
"...14","MiamiBeach","35","01/16/2024 12:00:00",0.27,"mg/L",NA,NA,NA
"...15","MiamiBeach","36","01/16/2024 12:00:00",0.37,"mg/L",NA,NA,NA
"...16","MiamiBeach","37","01/16/2024 12:00:00",0.28,"mg/L",NA,NA,NA
"...17","MiamiBeach","38","01/16/2024 12:00:00",0.3,"mg/L",NA,NA,NA
"...18","MiamiBeach","39","01/16/2024 12:00:00",0.27,"mg/L",NA,NA,NA
"...19","MiamiBeach","40","01/16/2024 12:00:00",0.23,"mg/L",NA,NA,NA
"...20","MiamiBeach","41","01/16/2024 12:00:00",0.22,"mg/L",NA,NA,NA
"...21","MiamiBeach","1","01/17/2024 12:00:00",0.3,"mg/L",NA,NA,NA
"...22","MiamiBeach","2","01/17/2024 12:00:00",0.31,"mg/L",NA,NA,NA
"...23","MiamiBeach","3b","01/17/2024 12:00:00",0.32,"mg/L",NA,NA,NA
"...24","MiamiBeach","3","01/17/2024 12:00:00",0.3,"mg/L",NA,NA,NA
"...25","MiamiBeach","4","01/17/2024 12:00:00",0.31,"mg/L",NA,NA,NA
"...26","MiamiBeach","5","01/17/2024 12:00:00",0.29,"mg/L",NA,NA,NA
"...27","MiamiBeach","6","01/17/2024 12:00:00",0.31,"mg/L",NA,NA,NA
"...28","MiamiBeach","7","01/17/2024 12:00:00",0.29,"mg/L",NA,NA,NA
