"","X","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"1",8,"SFER","1","2014-12-01","Orthophosphate",0.26,NA,-80,25,0
"2",19,"SFER","2","2014-12-01","Orthophosphate",0.32,NA,-80,25,0
"3",30,"SFER","3","2014-12-01","Orthophosphate",0.31,NA,-80,25,0
"4",41,"SFER","EKIN","2014-12-01","Orthophosphate",0.39,NA,-80,25,0
"5",52,"SFER","EKMID","2014-12-01","Orthophosphate",0.27,NA,-80,25,0
"6",63,"SFER","4","2014-12-01","Orthophosphate",0.29,NA,-80,25,0
"7",74,"SFER","5","2014-12-01","Orthophosphate",0.36,NA,-80,25,0
"8",85,"SFER","UKIN","2014-12-01","Orthophosphate",0.33,NA,-80,24,0
"9",96,"SFER","UKMID","2014-12-01","Orthophosphate",0.33,NA,-80,24,0
"10",107,"SFER","UKOFF","2014-12-01","Orthophosphate",0.26,NA,-80,24,0
"11",118,"SFER","7","2014-12-01","Orthophosphate",0.28,NA,-80,24,0
"12",129,"SFER","9","2014-12-02","Orthophosphate",0.26,NA,-80,24,0
"13",140,"SFER","9.5","2014-12-02","Orthophosphate",0.24,NA,-80,24,0
"14",151,"SFER","8","2014-12-02","Orthophosphate",0.25,NA,-80,24,0
"15",162,"SFER","10","2014-12-02","Orthophosphate",0.27,NA,-80,24,0
"16",173,"SFER","11","2014-12-02","Orthophosphate",0.34,NA,-80,24,0
"17",184,"SFER","8","2014-12-02","Orthophosphate",0.28,NA,-80,24,0
"18",195,"SFER","12","2014-12-02","Orthophosphate",0.28,NA,-80,24,0
"19",206,"SFER","15.5","2014-12-02","Orthophosphate",0.28,NA,-80,24,0
"20",217,"SFER","15","2014-12-02","Orthophosphate",0.26,NA,-81,24,0
"21",228,"SFER","14","2014-12-02","Orthophosphate",0.26,NA,-81,24,0
"22",239,"SFER","13","2014-12-02","Orthophosphate",0.34,NA,-81,24,0
"23",250,"SFER","16","2014-12-02","Orthophosphate",0.33,NA,-81,24,0
"24",261,"SFER","17","2014-12-02","Orthophosphate",0.31,NA,-81,24,0
"25",272,"SFER","18","2014-12-02","Orthophosphate",0.31,NA,-81,24,0
"26",283,"SFER","19","2014-12-02","Orthophosphate",0.32,NA,-81,24,0
"27",294,"SFER","20","2014-12-02","Orthophosphate",0.27,NA,-81,24,0
"28",305,"SFER","21LK","2014-12-02","Orthophosphate",0.14,NA,-81,24,0
"29",316,"SFER","21.5","2014-12-02","Orthophosphate",0.36,NA,-81,24,0
"30",327,"SFER","22.5","2014-12-02","Orthophosphate",0.27,NA,-81,24,0
"31",338,"SFER","22","2014-12-02","Orthophosphate",0.23,NA,-81,24,0
"32",349,"SFER","23","2014-12-02","Orthophosphate",0.29,NA,-81,24,0
"33",360,"SFER","24","2014-12-02","Orthophosphate",0.34,NA,-81,24,0
"34",371,"SFER","30","2014-12-02","Orthophosphate",0.32,NA,-82,25,0
"35",382,"SFER","30.5","2014-12-02","Orthophosphate",0.04,NA,-82,25,0
"36",393,"SFER","31","2014-12-03","Orthophosphate",0.11,NA,-81,25,0
"37",404,"SFER","32","2014-12-03","Orthophosphate",0.21,NA,-81,25,0
"38",415,"SFER","33","2014-12-03","Orthophosphate",0.33,NA,-81,25,0
"39",426,"SFER","34","2014-12-03","Orthophosphate",0.32,NA,-81,25,0
"40",437,"SFER","42","2014-12-03","Orthophosphate",0.2,NA,-81,25,0
"41",448,"SFER","41","2014-12-03","Orthophosphate",0.21,NA,-81,25,0
"42",459,"SFER","40","2014-12-03","Orthophosphate",0.15,NA,-81,25,0
"43",470,"SFER","39","2014-12-03","Orthophosphate",0.05,NA,-81,25,0
"44",481,"SFER","45","2014-12-03","Orthophosphate",0.12,NA,-81,25,0
"45",492,"SFER","46","2014-12-03","Orthophosphate",0.08,NA,-81,25,0
"46",503,"SFER","47","2014-12-03","Orthophosphate",0.16,NA,-81,25,0
"47",514,"SFER","48","2014-12-03","Orthophosphate",0.06,NA,-81,25,0
"48",525,"SFER","49","2014-12-03","Orthophosphate",0.11,NA,-81,25,0
"49",536,"SFER","50","2014-12-03","Orthophosphate",0.09,NA,-81,25,0
"50",547,"SFER","51","2014-12-03","Orthophosphate",0,NA,-81,25,0
"51",558,"SFER","52","2014-12-03","Orthophosphate",0,NA,-81,25,0
"52",569,"SFER","53","2014-12-03","Orthophosphate",0,NA,-81,25,0
"53",580,"SFER","54","2014-12-03","Orthophosphate",0,NA,-81,25,0
"54",591,"SFER","55","2014-12-03","Orthophosphate",0,NA,-81,25,0
