"","source","site","datetime","value","units","latitude","longitude","sample_depth"
"...1","BROWARD","15","09/25/2019 11:35:00",0.022,"mg/L",26.1183,-80.14363,0.5
"...2","BROWARD","7","08/26/2019 12:40:00",0.005,"mg/L",26.21857,-80.17055,0.5
"...3","BROWARD","19","10/03/2019 09:45:00",0.029,"mg/L",26.10898,-80.15908,0.5
"...4","BROWARD","121","05/03/2017 11:50:00",0.006,"mg/L",26.13533,-80.20202,0.5
"...5","BROWARD","6","08/30/2021 11:50:00",0.006,"mg/L",26.2062,-80.13263,0.5
"...6","BROWARD","11","11/08/2021 10:50:00",0.007,"mg/L",26.1733,-80.17093,0.5
"...7","BROWARD","36","05/20/2024 11:50:00",0.003,"mg/L",26.19035,-80.1025,0.5
"...8","BROWARD","20","07/29/2024 12:30:00",0.007,"mg/L",26.08717,-80.18547,0.5
"...9","BROWARD","6","07/16/2024 10:37:00",0.004,"mg/L",26.2062,-80.13263,0.5
"...10","BROWARD","25","07/30/2024 09:51:00",0.03,"mg/L",26.04815,-80.15513,0.5
"...11","BROWARD","39","07/25/2024 10:40:00",0.009,"mg/L",26.0655,-80.11408,0.5
"...12","BROWARD","24","02/26/2020 11:50:00",0.018,"mg/L",26.0595,-80.14398,0.5
"...13","BROWARD","20","09/05/2019 12:50:00",0.0051,"mg/L",26.08717,-80.18547,0.5
"...14","BROWARD","28","03/06/2017 12:20:00",0.007,"mg/L",26.06385,-80.31325,0.5
"...15","BROWARD","15","05/30/2019 09:20:00",0.015,"mg/L",26.1183,-80.14363,0.5
"...16","BROWARD","40","11/05/2018 10:55:00",0.01,"mg/L",26.03485,-80.11713,0.5
"...17","BROWARD","120","06/25/2018 09:20:00",0.033,"mg/L",26.32458,-80.099,0.5
"...18","BROWARD","25","05/20/2020 11:25:00",0.108,"mg/L",26.04815,-80.15513,0.5
"...19","BROWARD","17","12/09/2020 11:00:00",0.038,"mg/L",26.13581667,-80.1942,0.5
"...20","BROWARD","38","09/16/2020 11:50:00",0.013,"mg/L",26.10265,-80.11868,0.5
"...21","BROWARD","23","05/19/2020 08:55:00",0.006,"mg/L",26.14965,-80.44182,0.5
"...22","BROWARD","25","09/23/2020 11:10:00",0.101,"mg/L",26.04815,-80.15513,0.5
"...23","BROWARD","31","09/23/2020 11:25:00",0.004,"mg/L",25.9642,-80.31062,0.5
"...24","BROWARD","28","09/23/2020 12:00:00",0.006,"mg/L",26.06385,-80.31325,0.5
"...25","BROWARD","4","05/20/2020 10:25:00",0.003,"mg/L",26.35132,-80.28333,0.5
"...26","BROWARD","124","12/16/2020 09:00:00",0.005,"mg/L",26.06565,-80.21588,0.5
"...27","BROWARD","15","10/29/2020 11:30:00",0.037,"mg/L",26.1183,-80.14363,0.5
"...28","BROWARD","122","04/29/2020 08:40:00",0.006,"mg/L",26.09983,-80.25017,0.5
"...29","BROWARD","19","09/16/2020 09:25:00",0.019,"mg/L",26.10898,-80.15908,0.5
"...30","BROWARD","123","03/13/2024 11:53:00",0.004,"mg/L",26.09062,-80.17882,0.5
"...31","BROWARD","8","03/11/2024 12:15:00",0.002,"mg/L",26.2305,-80.20485,0.5
"...32","BROWARD","19","05/21/2024 08:48:00",0.038,"mg/L",26.10898,-80.15908,0.5
"...33","BROWARD","17","03/13/2024 10:23:00",0.019,"mg/L",26.13581667,-80.1942,0.5
"...34","BROWARD","3","05/22/2024 09:49:00",0.003,"mg/L",26.32783,-80.20302,0.5
"...35","BROWARD","128","03/05/2024 09:05:00",0.008,"mg/L",26.06768,-80.18218,0.5
"...36","BROWARD","6","05/28/2024 10:25:00",0.004,"mg/L",26.2062,-80.13263,0.5
"...37","BROWARD","14","03/12/2024 09:06:00",0.006,"mg/L",26.16428,-80.25662,0.5
"...38","BROWARD","111","03/12/2024 12:17:00",0.03,"mg/L",26.15322,-80.12933,0.5
"...39","BROWARD","32","09/05/2019 09:35:00",0.003,"mg/L",25.95677,-80.43062,0.5
"...40","BROWARD","19","09/11/2019 10:20:00",0.02,"mg/L",26.10898,-80.15908,0.5
"...41","BROWARD","35","02/26/2018 12:05:00",0.0066,"mg/L",26.2511,-80.08962,0.5
"...42","BROWARD","123","08/26/2019 12:00:00",0.02,"mg/L",26.09062,-80.17882,0.5
"...43","BROWARD","111","05/18/2020 12:10:00",0.005,"mg/L",26.15322,-80.12933,0.5
"...44","BROWARD","123","12/09/2020 12:18:00",0.005,"mg/L",26.09062,-80.17882,0.5
"...45","BROWARD","37","05/27/2021 09:25:00",0.008,"mg/L",26.13877,-80.10807,0.5
"...46","BROWARD","124","10/31/2023 08:24:00",0.007,"mg/L",26.06565,-80.21588,0.5
"...47","BROWARD","32","11/07/2023 10:10:00",0.003,"mg/L",25.95677,-80.43062,0.5
"...48","BROWARD","4","11/18/2019 11:10:00",0.003,"mg/L",26.35132,-80.28333,0.5
"...49","BROWARD","11","05/28/2019 10:15:00",0.016,"mg/L",26.1733,-80.17093,0.5
"...50","BROWARD","36","11/20/2019 10:10:00",0.037,"mg/L",26.19035,-80.1025,0.5
"...51","BROWARD","14","08/29/2018 09:30:00",0.003,"mg/L",26.16428,-80.25662,0.5
"...52","BROWARD","14","05/02/2017 10:10:00",0.006,"mg/L",26.16428,-80.25662,0.5
"...53","BROWARD","6","03/01/2021 11:30:00",0.01,"mg/L",26.2062,-80.13263,0.5
"...54","BROWARD","120","02/22/2021 10:00:00",0.098,"mg/L",26.32458,-80.099,0.5
"...55","BROWARD","15","05/17/2021 10:25:00",0.028,"mg/L",26.1183,-80.14363,0.5
"...56","BROWARD","36","05/27/2021 10:05:00",0.003,"mg/L",26.19035,-80.1025,0.5
"...57","BROWARD","37","11/09/2021 12:45:00",0.032,"mg/L",26.13877,-80.10807,0.5
"...58","BROWARD","25","03/03/2021 11:45:00",0.042,"mg/L",26.04815,-80.15513,0.5
"...59","BROWARD","26","11/15/2021 11:50:00",0.022,"mg/L",26.06812,-80.1686,0.5
"...60","BROWARD","8","11/16/2021 12:40:00",0.005,"mg/L",26.2305,-80.20485,0.5
"...61","BROWARD","17","07/29/2024 10:33:00",0.008,"mg/L",26.13581667,-80.1942,0.5
"...62","BROWARD","40","07/25/2024 10:00:00",0.008,"mg/L",26.03485,-80.11713,0.5
"...63","BROWARD","125","10/21/2024 12:22:00",0.039,"mg/L",26.1289,-80.11855,0.5
"...64","BROWARD","19","07/29/2024 08:38:00",0.019,"mg/L",26.10898,-80.15908,0.5
"...65","BROWARD","110","03/07/2017 10:10:00",0.016,"mg/L",26.23132,-80.12687,0.5
"...66","BROWARD","124","11/05/2018 09:25:00",0.01,"mg/L",26.06565,-80.21588,0.5
"...67","BROWARD","1","05/01/2017 10:15:00",0.026,"mg/L",26.32555,-80.09015,0.5
"...68","BROWARD","112","05/28/2019 11:55:00",0.032,"mg/L",26.16392,-80.12632,0.5
"...69","BROWARD","16","03/08/2017 10:15:00",0.016,"mg/L",26.12202,-80.14653,0.5
"...70","BROWARD","111","08/29/2018 14:00:00",0.014,"mg/L",26.15322,-80.12933,0.5
"...71","BROWARD","121","03/03/2021 11:45:00",0.004,"mg/L",26.13533,-80.20202,0.5
"...72","BROWARD","3","02/24/2021 11:15:00",0.109,"mg/L",26.32783,-80.20302,0.5
"...73","BROWARD","39","11/16/2021 11:50:00",0.013,"mg/L",26.0655,-80.11408,0.5
"...74","BROWARD","122","08/30/2021 09:10:00",0.007,"mg/L",26.09983,-80.25017,0.5
"...75","BROWARD","89","08/25/2021 12:10:00",0.003,"mg/L",26.229646,-80.281948,0.5
"...76","BROWARD","23","02/22/2021 09:55:00",0.006,"mg/L",26.14965,-80.44182,0.5
"...77","BROWARD","17","08/23/2021 10:55:00",0.006,"mg/L",26.13581667,-80.1942,0.5
"...78","BROWARD","4","02/24/2021 11:45:00",0.003,"mg/L",26.35132,-80.28333,0.5
"...79","BROWARD","33","07/17/2024 09:53:00",0.087,"mg/L",26.31338,-80.0806,0.5
"...80","BROWARD","129","07/30/2024 10:17:00",0.005,"mg/L",26.02595,-80.16338,0.5
"...81","BROWARD","40","02/20/2020 11:20:00",0.007,"mg/L",26.03485,-80.11713,0.5
"...82","BROWARD","11","11/06/2018 11:00:00",0.034,"mg/L",26.1733,-80.17093,0.5
"...83","BROWARD","5","11/12/2019 12:15:00",0.028,"mg/L",26.22162,-80.10303,0.5
