"","X","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"1",68320,"AOML_FBBB","1",NA,"Pheophytin",NA,"µg/L",25.17733,-80.49333,NA
"2",68335,"AOML_FBBB","7",NA,"Pheophytin",NA,"µg/L",25.11656,-80.79433,NA
"3",68350,"AOML_FBBB","1",NA,"Pheophytin",NA,"µg/L",25.17167,-80.49117,NA
"4",68365,"AOML_FBBB","1",NA,"Pheophytin",NA,"µg/L",25.17683,-80.4965,NA
"5",68380,"AOML_FBBB","3",NA,"Pheophytin",NA,"µg/L",25.13367,-80.621,NA
"6",68395,"AOML_FBBB","6",NA,"Pheophytin",NA,"µg/L",25.0745,-80.75317,NA
"7",68410,"AOML_FBBB","7",NA,"Pheophytin",NA,"µg/L",25.11733,-80.79483,NA
"8",68425,"AOML_FBBB","7",NA,"Pheophytin",NA,"µg/L",25.11683,-80.79467,NA
"9",68440,"AOML_FBBB","9",NA,"Pheophytin",NA,"µg/L",25.11833,-80.905,NA
"10",68455,"AOML_FBBB","14",NA,"Pheophytin",NA,"µg/L",25.02667,-81.02567,NA
"11",68470,"AOML_FBBB","33",NA,"Pheophytin",NA,"µg/L",25.055,-80.91717,NA
"12",68485,"AOML_FBBB","50",NA,"Pheophytin",NA,"µg/L",25.142,-80.92217,NA
"13",68500,"AOML_FBBB","14",NA,"Pheophytin",NA,"µg/L",25.025,-81.02517,NA
"14",68515,"AOML_FBBB","14",NA,"Pheophytin",NA,"µg/L",25.02766,-81.02818,NA
"15",68530,"AOML_FBBB","17",NA,"Pheophytin",NA,"µg/L",24.91133,-80.708,NA
"16",68545,"AOML_FBBB","19",NA,"Pheophytin",NA,"µg/L",25.02083,-80.5555,NA
"17",68560,"AOML_FBBB","36",NA,"Pheophytin",NA,"µg/L",24.95016,-80.795,NA
"18",68575,"AOML_FBBB","36",NA,"Pheophytin",NA,"µg/L",24.95017,-80.7905,NA
"19",68590,"AOML_FBBB","1",NA,"Pheophytin",NA,"µg/L",25.176,-80.4975,NA
"20",68605,"AOML_FBBB","7",NA,"Pheophytin",NA,"µg/L",25.11633,-80.79117,NA
"21",68620,"AOML_FBBB","1",NA,"Pheophytin",NA,"µg/L",25.17633,-80.4945,NA
"22",68635,"AOML_FBBB","1",NA,"Pheophytin",NA,"µg/L",25.17783,-80.49733,NA
"23",68650,"AOML_FBBB","3",NA,"Pheophytin",NA,"µg/L",25.13417,-80.621,NA
"24",68665,"AOML_FBBB","6",NA,"Pheophytin",NA,"µg/L",25.0755,-80.75083,NA
"25",68680,"AOML_FBBB","7",NA,"Pheophytin",NA,"µg/L",25.11567,-80.79367,NA
"26",68695,"AOML_FBBB","7",NA,"Pheophytin",NA,"µg/L",25.11617,-80.78933,NA
"27",68710,"AOML_FBBB","9",NA,"Pheophytin",NA,"µg/L",25.11867,-80.905,NA
"28",68725,"AOML_FBBB","14",NA,"Pheophytin",NA,"µg/L",25.01967,-81.02133,NA
"29",68740,"AOML_FBBB","33",NA,"Pheophytin",NA,"µg/L",25.0535,-80.91833,NA
"30",68755,"AOML_FBBB","14",NA,"Pheophytin",NA,"µg/L",25.02817,-81.02567,NA
"31",68770,"AOML_FBBB","17",NA,"Pheophytin",NA,"µg/L",24.9102,-80.708,NA
"32",68785,"AOML_FBBB","19",NA,"Pheophytin",NA,"µg/L",25.01933,-80.55783,NA
"33",68800,"AOML_FBBB","36",NA,"Pheophytin",NA,"µg/L",24.95083,-80.79017,NA
"34",68815,"AOML_FBBB","36",NA,"Pheophytin",NA,"µg/L",24.95033,-80.78933,NA
"35",68830,"AOML_FBBB","1",NA,"Pheophytin",NA,"µg/L",25.17466,-80.49534,NA
"36",68845,"AOML_FBBB","3",NA,"Pheophytin",NA,"µg/L",25.13282,-80.621,NA
"37",68860,"AOML_FBBB","6",NA,"Pheophytin",NA,"µg/L",25.0735,-80.75,NA
