"","X","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"1",18633,"MiamiBeach","29","2020-08-15","Phosphorus",0.036,"mg/L",25.7876,-80.1577,NA
"2",18634,"MiamiBeach","32","2020-10-27","Phosphorus",0.036,"mg/L",25.7876,-80.1626,NA
"3",18635,"MiamiBeach","35","2020-02-23","Phosphorus",0.037,"mg/L",25.7823,-80.168,NA
"4",18636,"MiamiBeach","2","2020-03-15","Phosphorus",0.037,"mg/L",25.8167,-80.139,NA
"5",18637,"MiamiBeach","46","2020-03-16","Phosphorus",0.037,"mg/L",25.767,-80.1371,NA
"6",18638,"MiamiBeach","17","2020-06-21","Phosphorus",0.037,"mg/L",25.8052,-80.1268,NA
"7",18639,"MiamiBeach","21","2020-01-11","Phosphorus",0.037,"mg/L",25.7933,-80.1629,NA
"8",18640,"MiamiBeach","36","2020-02-09","Phosphorus",0.037,"mg/L",25.7825,-80.1682,NA
"9",18641,"MiamiBeach","28","2020-11-09","Phosphorus",0.038,"mg/L",25.7874,-80.155,NA
"10",18642,"MiamiBeach","63","2020-02-09","Phosphorus",0.038,"mg/L",25.781,-80.1616,NA
"11",18643,"MiamiBeach","25","2020-10-27","Phosphorus",0.04,"mg/L",25.7943,-80.1553,NA
"12",18644,"MiamiBeach","16","2020-04-19","Phosphorus",0.042,"mg/L",25.8051,-80.1269,NA
"13",18645,"MiamiBeach","18","2020-05-16","Phosphorus",0.042,"mg/L",25.8075,-80.1251,NA
"14",18646,"MiamiBeach","19","2020-03-15","Phosphorus",0.045,"mg/L",25.8134,-80.1246,NA
"15",18647,"MiamiBeach","54","2020-04-18","Phosphorus",0.051,"mg/L",25.7965,-80.1425,NA
"16",18648,"MiamiBeach","59","2020-12-14","Phosphorus",0.058,"mg/L",25.7933,-80.1451,NA
"17",18649,"MiamiBeach","39","2020-10-27","Phosphorus",0.036,"mg/L",25.7813,-80.1556,NA
"18",18650,"MiamiBeach","18","2020-01-18","Phosphorus",0.037,"mg/L",25.8075,-80.1251,NA
"19",18651,"MiamiBeach","48","2020-03-16","Phosphorus",0.037,"mg/L",25.7741,-80.1419,NA
"20",18652,"MiamiBeach","40","2020-10-27","Phosphorus",0.037,"mg/L",25.7813,-80.1552,NA
