"","X","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"1",2,"SFER","1","2014-12-01","Salinity",36.241,NA,25.645,-80.1252,NA
"2",13,"SFER","2","2014-12-01","Salinity",36.169,NA,25.6415,-80.1042,NA
"3",24,"SFER","3","2014-12-01","Salinity",36.144,NA,25.6458,-80.0818,NA
"4",35,"SFER","EKIN","2014-12-01","Salinity",35.599,NA,25.3336,-80.2231,NA
"5",46,"SFER","EKMID","2014-12-01","Salinity",36.192,NA,25.3164,-80.1949,NA
"6",57,"SFER","4","2014-12-01","Salinity",35.094,NA,25.1087,-80.3826,NA
"7",68,"SFER","5","2014-12-01","Salinity",36.1,NA,25.0906,-80.3591,NA
"8",79,"SFER","UKIN","2014-12-01","Salinity",34.85,NA,24.9356,-80.5717,NA
"9",90,"SFER","UKMID","2014-12-01","Salinity",36.176,NA,24.9205,-80.5454,NA
"10",101,"SFER","UKOFF","2014-12-01","Salinity",35.957,NA,24.8991,-80.5298,NA
"11",112,"SFER","7","2014-12-01","Salinity",36.012,NA,24.8129,-80.7488,NA
"12",123,"SFER","9","2014-12-02","Salinity",35.707,NA,24.7621,-80.7223,NA
"13",134,"SFER","9.5","2014-12-02","Salinity",35.958,NA,24.7167,-80.6899,NA
"14",145,"SFER","8","2014-12-02","Salinity",35.822,NA,24.7922,-80.7418,NA
"15",156,"SFER","10","2014-12-02","Salinity",36.04,NA,24.7753,-80.8613,NA
"16",167,"SFER","11","2014-12-02","Salinity",36.043,NA,24.7539,-80.8477,NA
"17",178,"SFER","8","2014-12-02","Salinity",35.822,NA,24.7742,-80.7323,NA
"18",189,"SFER","12","2014-12-02","Salinity",35.711,NA,24.7132,-80.8357,NA
"19",200,"SFER","15.5","2014-12-02","Salinity",35.986,NA,24.5924,-80.9939,NA
"20",211,"SFER","15","2014-12-02","Salinity",35.753,NA,24.6435,-81.0183,NA
"21",222,"SFER","14","2014-12-02","Salinity",36.112,NA,24.6753,-81.0244,NA
"22",233,"SFER","13","2014-12-02","Salinity",35.839,NA,24.7008,-81.03,NA
"23",244,"SFER","16","2014-12-02","Salinity",36.337,NA,24.6719,-81.2029,NA
"24",255,"SFER","17","2014-12-02","Salinity",36.008,NA,24.634,-81.1935,NA
"25",266,"SFER","18","2014-12-02","Salinity",35.74,NA,24.5986,-81.1832,NA
"26",277,"SFER","19","2014-12-02","Salinity",36.205,NA,24.6105,-81.4196,NA
"27",288,"SFER","20","2014-12-02","Salinity",35.995,NA,24.5743,-81.4185,NA
"28",299,"SFER","21LK","2014-12-02","Salinity",35.696,NA,24.5374,-81.4132,NA
"29",310,"SFER","21.5","2014-12-02","Salinity",35.83,NA,24.484,-81.3922,NA
"30",321,"SFER","22.5","2014-12-02","Salinity",35.732,NA,24.3961,-81.8339,NA
"31",332,"SFER","22","2014-12-02","Salinity",35.68,NA,24.4558,-81.8285,NA
"32",343,"SFER","23","2014-12-02","Salinity",35.679,NA,24.4848,-81.8293,NA
"33",354,"SFER","24","2014-12-02","Salinity",36.201,NA,24.5379,-81.829,NA
"34",365,"SFER","30","2014-12-02","Salinity",35.794,NA,25.4024,-82.21,NA
"35",376,"SFER","30","2014-12-02","Salinity",35.704,NA,25.4024,-82.21,NA
"36",387,"SFER","30","2014-12-02","Salinity",35.704,NA,25.4024,-82.21,NA
"37",398,"SFER","30.5","2014-12-02","Salinity",35.9,NA,25.5713,-82.075,NA
"38",409,"SFER","31","2014-12-03","Salinity",35.616,NA,25.7415,-81.9451,NA
"39",420,"SFER","31","2014-12-03","Salinity",35.584,NA,25.7415,-81.9451,NA
"40",431,"SFER","32","2014-12-03","Salinity",34.855,NA,25.8726,-81.8336,NA
"41",442,"SFER","33","2014-12-03","Salinity",34.604,NA,25.9124,-81.8008,NA
"42",453,"SFER","33","2014-12-03","Salinity",35.523,NA,25.9124,-81.8008,NA
"43",464,"SFER","34","2014-12-03","Salinity",34.175,NA,25.9493,-81.7675,NA
"44",475,"SFER","42","2014-12-03","Salinity",35.254,NA,25.6522,-81.7188,NA
"45",486,"SFER","41","2014-12-03","Salinity",34.692,NA,25.7334,-81.5751,NA
"46",497,"SFER","40","2014-12-03","Salinity",34.671,NA,25.756,-81.5207,NA
