"","X","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"1",9,"SFER","1","2014-12-01","Silicate",0.1,NA,25,-80,NA
"2",20,"SFER","2","2014-12-01","Silicate",0.1,NA,25,-80,NA
"3",31,"SFER","3","2014-12-01","Silicate",0.3,NA,25,-80,NA
"4",42,"SFER","EKIN","2014-12-01","Silicate",0.5,NA,25,-80,NA
"5",53,"SFER","EKMID","2014-12-01","Silicate",0.1,NA,25,-80,NA
"6",64,"SFER","4","2014-12-01","Silicate",1.2,NA,25,-80,NA
"7",75,"SFER","5","2014-12-01","Silicate",0,NA,25,-80,NA
"8",86,"SFER","UKIN","2014-12-01","Silicate",1.1,NA,24,-80,NA
"9",97,"SFER","UKMID","2014-12-01","Silicate",0,NA,24,-80,NA
"10",108,"SFER","UKOFF","2014-12-01","Silicate",0,NA,24,-80,NA
"11",119,"SFER","7","2014-12-01","Silicate",0,NA,24,-80,NA
"12",130,"SFER","9","2014-12-02","Silicate",0,NA,24,-80,NA
"13",141,"SFER","9.5","2014-12-02","Silicate",0,NA,24,-80,NA
"14",152,"SFER","8","2014-12-02","Silicate",0,NA,24,-80,NA
"15",163,"SFER","10","2014-12-02","Silicate",0,NA,24,-80,NA
"16",174,"SFER","11","2014-12-02","Silicate",0,NA,24,-80,NA
"17",185,"SFER","8","2014-12-02","Silicate",0,NA,24,-80,NA
"18",196,"SFER","12","2014-12-02","Silicate",0,NA,24,-80,NA
"19",207,"SFER","15.5","2014-12-02","Silicate",0,NA,24,-80,NA
"20",218,"SFER","15","2014-12-02","Silicate",0,NA,24,-81,NA
"21",229,"SFER","14","2014-12-02","Silicate",0,NA,24,-81,NA
"22",240,"SFER","13","2014-12-02","Silicate",0.9,NA,24,-81,NA
"23",251,"SFER","16","2014-12-02","Silicate",2,NA,24,-81,NA
"24",262,"SFER","17","2014-12-02","Silicate",0.4,NA,24,-81,NA
"25",273,"SFER","18","2014-12-02","Silicate",0,NA,24,-81,NA
"26",284,"SFER","19","2014-12-02","Silicate",3.6,NA,24,-81,NA
"27",295,"SFER","20","2014-12-02","Silicate",1.6,NA,24,-81,NA
"28",306,"SFER","21LK","2014-12-02","Silicate",0,NA,24,-81,NA
"29",317,"SFER","21.5","2014-12-02","Silicate",0,NA,24,-81,NA
"30",328,"SFER","22.5","2014-12-02","Silicate",0,NA,24,-81,NA
"31",339,"SFER","22","2014-12-02","Silicate",0,NA,24,-81,NA
"32",350,"SFER","23","2014-12-02","Silicate",0,NA,24,-81,NA
"33",361,"SFER","24","2014-12-02","Silicate",1.4,NA,24,-81,NA
"34",372,"SFER","30","2014-12-02","Silicate",0.6,NA,25,-82,NA
"35",383,"SFER","30","2014-12-02","Silicate",2.1,NA,25,-82,NA
"36",394,"SFER","30","2014-12-02","Silicate",1.2,NA,25,-82,NA
"37",405,"SFER","30.5","2014-12-02","Silicate",0,NA,25,-82,NA
"38",416,"SFER","31","2014-12-03","Silicate",1.1,NA,25,-81,NA
"39",427,"SFER","31","2014-12-03","Silicate",1.1,NA,25,-81,NA
"40",438,"SFER","32","2014-12-03","Silicate",6.8,NA,25,-81,NA
"41",449,"SFER","33","2014-12-03","Silicate",7.3,NA,25,-81,NA
"42",460,"SFER","33","2014-12-03","Silicate",7.4,NA,25,-81,NA
"43",471,"SFER","34","2014-12-03","Silicate",10.1,NA,25,-81,NA
"44",482,"SFER","42","2014-12-03","Silicate",0,NA,25,-81,NA
"45",493,"SFER","41","2014-12-03","Silicate",3.5,NA,25,-81,NA
"46",504,"SFER","40","2014-12-03","Silicate",10.9,NA,25,-81,NA
"47",515,"SFER","39","2014-12-03","Silicate",20.2,NA,25,-81,NA
"48",526,"SFER","45","2014-12-03","Silicate",18.2,NA,25,-81,NA
"49",537,"SFER","45","2014-12-03","Silicate",18.5,NA,25,-81,NA
"50",548,"SFER","46","2014-12-03","Silicate",18.4,NA,25,-81,NA
"51",559,"SFER","47","2014-12-03","Silicate",21.4,NA,25,-81,NA
"52",570,"SFER","48","2014-12-03","Silicate",30.8,NA,25,-81,NA
"53",581,"SFER","49","2014-12-03","Silicate",29.6,NA,25,-81,NA
"54",592,"SFER","50","2014-12-03","Silicate",14.9,NA,25,-81,NA
"55",603,"SFER","51","2014-12-03","Silicate",26,NA,25,-81,NA
"56",614,"SFER","51","2014-12-03","Silicate",25.7,NA,25,-81,NA
"57",625,"SFER","52","2014-12-03","Silicate",27.2,NA,25,-81,NA
"58",636,"SFER","53","2014-12-03","Silicate",28.3,NA,25,-81,NA
"59",647,"SFER","54","2014-12-03","Silicate",31.8,NA,25,-81,NA
"60",658,"SFER","55","2014-12-03","Silicate",26.6,NA,25,-81,NA
"61",669,"SFER","56","2014-12-03","Silicate",24.8,NA,25,-81,NA
"62",680,"SFER","57","2014-12-03","Silicate",19.3,NA,25,-81,NA
"63",691,"SFER","57","2014-12-03","Silicate",19,NA,25,-81,NA
"64",702,"SFER","57.1","2014-12-03","Silicate",7.7,NA,25,-81,NA
"65",713,"SFER","57.1","2014-12-03","Silicate",8,NA,25,-81,NA
"66",724,"SFER","57.1","2014-12-03","Silicate",6.8,NA,25,-81,NA
"67",735,"SFER","57.2","2014-12-03","Silicate",7.1,NA,25,-81,NA
"68",746,"SFER","57.2","2014-12-03","Silicate",7,NA,25,-81,NA
"69",757,"SFER","57.2","2014-12-03","Silicate",7,NA,25,-81,NA
"70",768,"SFER","57.3","2014-12-03","Silicate",1,NA,25,-81,NA
"71",779,"SFER","57.3","2014-12-03","Silicate",1,NA,25,-81,NA
"72",790,"SFER","58","2014-12-03","Silicate",2.9,NA,25,-81,NA
"73",801,"SFER","58","2014-12-03","Silicate",2.6,NA,25,-81,NA
"74",812,"SFER","59","2014-12-03","Silicate",6.5,NA,25,-81,NA
"75",823,"SFER","61","2014-12-04","Silicate",18.5,NA,25,-81,NA
"76",834,"SFER","62","2014-12-04","Silicate",15.8,NA,25,-81,NA
"77",845,"SFER","60","2014-12-04","Silicate",17.3,NA,25,-81,NA
"78",856,"SFER","63","2014-12-04","Silicate",18.8,NA,25,-81,NA
"79",867,"SFER","64","2014-12-04","Silicate",20,NA,25,-81,NA
"80",878,"SFER","65","2014-12-04","Silicate",5.3,NA,25,-81,NA
"81",889,"SFER","66","2014-12-04","Silicate",5.1,NA,25,-81,NA
"82",900,"SFER","67","2014-12-04","Silicate",9.2,NA,25,-81,NA
"83",911,"SFER","68","2014-12-04","Silicate",0.3,NA,24,-81,NA
"84",922,"SFER","69","2014-12-04","Silicate",0.3,NA,24,-81,NA
"85",933,"SFER","70","2014-12-04","Silicate",0,NA,24,-81,NA
"86",944,"SFER","71","2014-12-04","Silicate",5.7,NA,24,-80,NA
"87",955,"SFER","57.2","2014-12-04","Silicate",2.4,NA,25,-81,NA
"88",966,"SFER","57.2","2014-12-04","Silicate",2.4,NA,25,-81,NA
"89",977,"SFER","57.1","2014-12-04","Silicate",8.1,NA,25,-81,NA
"90",988,"SFER","57","2014-12-04","Silicate",16.4,NA,25,-81,NA
"91",999,"SFER","57.1","2014-12-04","Silicate",16.7,NA,25,-81,NA
"92",1010,"SFER","56","2014-12-04","Silicate",18.1,NA,25,-81,NA
"93",1021,"SFER","55","2014-12-04","Silicate",18.9,NA,25,-81,NA
"94",1032,"SFER","54","2014-12-04","Silicate",21.1,NA,25,-81,NA
"95",1043,"SFER","6.5","2014-12-05","Silicate",0,NA,25,-80,NA
"96",1054,"SFER","6","2014-12-05","Silicate",0,NA,25,-80,NA
"97",1065,"SFER","5.5","2014-12-05","Silicate",0,NA,25,-80,NA
"98",1076,"SFER","EKOFF","2014-12-05","Silicate",0,NA,25,-80,NA
"99",1087,"SFER","8","2015-04-13","Silicate",0.006,NA,24,-80,NA
"100",1098,"SFER","9","2015-04-13","Silicate",0.319,NA,24,-80,NA
"101",1109,"SFER","9","2015-04-13","Silicate",0,NA,24,-80,NA
"102",1120,"SFER","9.5","2015-04-13","Silicate",8.957,NA,24,-80,NA
"103",1131,"SFER","9.5","2015-04-13","Silicate",2.359,NA,24,-80,NA
"104",1142,"SFER","9.5","2015-04-13","Silicate",0.494,NA,24,-80,NA
