"","X","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"1",107300,"MiamiBeach","33","2020-11-14","Total_Kjeldahl_Nitrogen",0.43,"mg/L",25.7852,-80.1653,NA
"2",107301,"MiamiBeach","28","2020-02-23","Total_Kjeldahl_Nitrogen",0.43,"mg/L",25.7874,-80.155,NA
"3",107302,"MiamiBeach","47","2020-05-18","Total_Kjeldahl_Nitrogen",0.43,"mg/L",25.7741,-80.1418,NA
"4",107303,"MiamiBeach","21","2020-05-18","Total_Kjeldahl_Nitrogen",0.43,"mg/L",25.7933,-80.1629,NA
"5",107304,"MiamiBeach","24","2020-05-18","Total_Kjeldahl_Nitrogen",0.45,"mg/L",25.796,-80.159,NA
"6",107305,"MiamiBeach","17","2020-10-12","Total_Kjeldahl_Nitrogen",0.45,"mg/L",25.8052,-80.1268,NA
"7",107306,"MiamiBeach","17","2020-04-19","Total_Kjeldahl_Nitrogen",0.45,"mg/L",25.8052,-80.1268,NA
"8",107307,"MiamiBeach","2","2020-09-12","Total_Kjeldahl_Nitrogen",0.46,"mg/L",25.8167,-80.139,NA
"9",107308,"MiamiBeach","2","2020-03-15","Total_Kjeldahl_Nitrogen",0.48,"mg/L",25.8167,-80.139,NA
"10",107309,"MiamiBeach","21","2020-10-27","Total_Kjeldahl_Nitrogen",0.48,"mg/L",25.7933,-80.1629,NA
"11",107310,"MiamiBeach","35","2020-01-17","Total_Kjeldahl_Nitrogen",0.49,"mg/L",25.7823,-80.168,NA
"12",107311,"MiamiBeach","9","2020-02-23","Total_Kjeldahl_Nitrogen",0.49,"mg/L",25.8002,-80.1278,NA
"13",107312,"MiamiBeach","17","2020-09-14","Total_Kjeldahl_Nitrogen",0.52,"mg/L",25.8052,-80.1268,NA
"14",107313,"MiamiBeach","9","2020-04-18","Total_Kjeldahl_Nitrogen",0.54,"mg/L",25.8002,-80.1278,NA
"15",107314,"MiamiBeach","29","2020-12-13","Total_Kjeldahl_Nitrogen",0.43,"mg/L",25.7876,-80.1577,NA
"16",107315,"MiamiBeach","54","2020-11-08","Total_Kjeldahl_Nitrogen",0.24,"mg/L",25.7965,-80.1425,NA
"17",107316,"MiamiBeach","23","2020-05-18","Total_Kjeldahl_Nitrogen",0.43,"mg/L",25.7954,-80.1592,NA
"18",107317,"MiamiBeach","32","2020-05-18","Total_Kjeldahl_Nitrogen",0.45,"mg/L",25.7876,-80.1626,NA
"19",107318,"MiamiBeach","40","2020-07-28","Total_Kjeldahl_Nitrogen",0.45,"mg/L",25.7813,-80.1552,NA
"20",107319,"MiamiBeach","17","2020-08-04","Total_Kjeldahl_Nitrogen",0.45,"mg/L",25.8052,-80.1268,NA
"21",107320,"MiamiBeach","28","2020-03-16","Total_Kjeldahl_Nitrogen",0.32,"mg/L",25.7874,-80.155,NA
"22",107321,"MiamiBeach","52","2020-12-13","Total_Kjeldahl_Nitrogen",0.35,"mg/L",25.7804,-80.1432,NA
"23",107322,"MiamiBeach","29","2020-10-03","Total_Kjeldahl_Nitrogen",0.35,"mg/L",25.7876,-80.1577,NA
"24",107323,"MiamiBeach","39","2020-07-28","Total_Kjeldahl_Nitrogen",0.48,"mg/L",25.7813,-80.1556,NA
