"","X","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"1",84940,"MiamiBeach","30","2020-11-14","Total_Nitrogen",0.453,"mg/L",25.7876,-80.1576,NA
"2",84941,"MiamiBeach","16","2020-11-08","Total_Nitrogen",0.386,"mg/L",25.8051,-80.1269,NA
"3",84942,"MiamiBeach","46","2020-09-21","Total_Nitrogen",0.427,"mg/L",25.767,-80.1371,NA
"4",84943,"MiamiBeach","16","2020-01-10","Total_Nitrogen",0.54,"mg/L",25.8051,-80.1269,NA
"5",84944,"MiamiBeach","23","2020-04-18","Total_Nitrogen",0.519,"mg/L",25.7954,-80.1592,NA
"6",84945,"MiamiBeach","4","2020-08-17","Total_Nitrogen",0.505,"mg/L",25.8463,-80.1282,NA
"7",84946,"MiamiBeach","39","2020-06-22","Total_Nitrogen",0.489,"mg/L",25.7813,-80.1556,NA
"8",84947,"MiamiBeach","4","2020-09-20","Total_Nitrogen",0.55,"mg/L",25.8463,-80.1282,NA
"9",84948,"MiamiBeach","62","2020-10-27","Total_Nitrogen",0.45,"mg/L",25.7808,-80.1617,NA
"10",84949,"MiamiBeach","33","2020-09-20","Total_Nitrogen",0.435,"mg/L",25.7852,-80.1653,NA
"11",84950,"MiamiBeach","56","2020-11-08","Total_Nitrogen",0.246,"mg/L",25.7917,-80.1451,NA
"12",84951,"MiamiBeach","48","2020-03-16","Total_Nitrogen",0.265,"mg/L",25.7741,-80.1419,NA
"13",84952,"MiamiBeach","56","2020-12-14","Total_Nitrogen",0.351,"mg/L",25.7917,-80.1451,NA
"14",84953,"MiamiBeach","30","2020-03-16","Total_Nitrogen",0.355,"mg/L",25.7876,-80.1576,NA
"15",84954,"MiamiBeach","36","2020-12-13","Total_Nitrogen",0.459,"mg/L",25.7825,-80.1682,NA
"16",84955,"MiamiBeach","60","2020-01-10","Total_Nitrogen",0.463,"mg/L",25.7933,-80.1453,NA
"17",84956,"MiamiBeach","22","2020-09-12","Total_Nitrogen",0.47,"mg/L",25.7942,-80.1628,NA
"18",84957,"MiamiBeach","54","2020-04-14","Total_Nitrogen",0.333,"mg/L",25.7965,-80.1425,NA
"19",84958,"MiamiBeach","47","2020-03-16","Total_Nitrogen",0.295,"mg/L",25.7741,-80.1418,NA
"20",84959,"MiamiBeach","60","2020-03-15","Total_Nitrogen",0.385,"mg/L",25.7933,-80.1453,NA
"21",84960,"MiamiBeach","22","2020-01-11","Total_Nitrogen",0.441,"mg/L",25.7942,-80.1628,NA
"22",84961,"MiamiBeach","26","2020-10-27","Total_Nitrogen",0.408,"mg/L",25.7949,-80.1553,NA
"23",84962,"MiamiBeach","9","2020-11-17","Total_Nitrogen",0.194,"mg/L",25.8002,-80.1278,NA
"24",84963,"MiamiBeach","39","2020-05-18","Total_Nitrogen",0.471,"mg/L",25.7813,-80.1556,NA
"25",84964,"MiamiBeach","16","2020-09-14","Total_Nitrogen",0.58,"mg/L",25.8051,-80.1269,NA
"26",84965,"MiamiBeach","17","2020-09-14","Total_Nitrogen",0.594,"mg/L",25.8052,-80.1268,NA
"27",84966,"MiamiBeach","45","2020-01-11","Total_Nitrogen",0.662,"mg/L",25.767,-80.137,NA
"28",84967,"MiamiBeach","28","2020-02-09","Total_Nitrogen",0.425,"mg/L",25.7874,-80.155,NA
"29",84968,"MiamiBeach","23","2020-08-16","Total_Nitrogen",0.376,"mg/L",25.7954,-80.1592,NA
"30",84969,"MiamiBeach","29","2020-08-15","Total_Nitrogen",0.284,"mg/L",25.7876,-80.1577,NA
"31",84970,"MiamiBeach","18","2020-07-18","Total_Nitrogen",0.418,"mg/L",25.8075,-80.1251,NA
"32",84971,"MiamiBeach","32","2020-12-20","Total_Nitrogen",0.32,"mg/L",25.7876,-80.1626,NA
"33",84972,"MiamiBeach","78","2020-05-25","Total_Nitrogen",0.783,"mg/L",25.8499,-80.1367,NA
"34",84973,"MiamiBeach","54","2020-06-17","Total_Nitrogen",0.417,"mg/L",25.7965,-80.1425,NA
"35",84974,"MiamiBeach","19","2020-11-26","Total_Nitrogen",0.547,"mg/L",25.8134,-80.1246,NA
"36",84975,"MiamiBeach","37","2020-04-18","Total_Nitrogen",0.338,"mg/L",25.7776,-80.1565,NA
"37",84976,"MiamiBeach","42","2020-12-14","Total_Nitrogen",0.476,"mg/L",25.8015,-80.1401,NA
"38",84977,"MiamiBeach","38","2020-12-19","Total_Nitrogen",0.443,"mg/L",25.7775,-80.1562,NA
"39",84978,"MiamiBeach","19","2020-08-04","Total_Nitrogen",0.468,"mg/L",25.8134,-80.1246,NA
"40",84979,"MiamiBeach","59","2020-10-24","Total_Nitrogen",0.47,"mg/L",25.7933,-80.1451,NA
"41",84980,"MiamiBeach","26","2020-11-27","Total_Nitrogen",0.402,"mg/L",25.7949,-80.1553,NA
"42",84981,"MiamiBeach","9","2020-07-18","Total_Nitrogen",0.366,"mg/L",25.8002,-80.1278,NA
"43",84982,"MiamiBeach","4","2020-06-27","Total_Nitrogen",0.335,"mg/L",25.8463,-80.1282,NA
"44",84983,"MiamiBeach","29","2020-05-29","Total_Nitrogen",0.58,"mg/L",25.7876,-80.1577,NA
"45",84984,"MiamiBeach","28","2020-11-14","Total_Nitrogen",0.419,"mg/L",25.7874,-80.155,NA
"46",84985,"MiamiBeach","74","2020-09-26","Total_Nitrogen",0.111,"mg/L",25.7806,-80.1618,NA
"47",84986,"MiamiBeach","70","2020-02-03","Total_Nitrogen",0.33,"mg/L",25.8642,-80.1291,NA
"48",84987,"MiamiBeach","74","2020-06-17","Total_Nitrogen",2.13,"mg/L",25.7806,-80.1618,NA
"49",84988,"MiamiBeach","60","2020-09-21","Total_Nitrogen",0.213,"mg/L",25.7933,-80.1453,NA
"50",84989,"MiamiBeach","9","2020-10-28","Total_Nitrogen",0.511,"mg/L",25.8002,-80.1278,NA
"51",84990,"MiamiBeach","34","2020-12-20","Total_Nitrogen",0.267,"mg/L",25.7858,-80.1656,NA
"52",84991,"MiamiBeach","9","2020-12-20","Total_Nitrogen",0.392,"mg/L",25.8002,-80.1278,NA
"53",84992,"MiamiBeach","74","2020-02-12","Total_Nitrogen",0.274,"mg/L",25.7806,-80.1618,NA
"54",84993,"MiamiBeach","23","2020-03-14","Total_Nitrogen",0.313,"mg/L",25.7954,-80.1592,NA
"55",84994,"MiamiBeach","34","2020-03-27","Total_Nitrogen",0.388,"mg/L",25.7858,-80.1656,NA
"56",84995,"MiamiBeach","35","2020-05-30","Total_Nitrogen",0.412,"mg/L",25.7823,-80.168,NA
"57",84996,"MiamiBeach","22","2020-12-20","Total_Nitrogen",0.303,"mg/L",25.7942,-80.1628,NA
"58",84997,"MiamiBeach","38","2020-02-24","Total_Nitrogen",0.235,"mg/L",25.7775,-80.1562,NA
"59",84998,"MiamiBeach","29","2020-10-03","Total_Nitrogen",0.405,"mg/L",25.7876,-80.1577,NA
"60",84999,"MiamiBeach","22","2020-11-09","Total_Nitrogen",0.394,"mg/L",25.7942,-80.1628,NA
"61",85000,"MiamiBeach","28","2020-04-18","Total_Nitrogen",0.404,"mg/L",25.7874,-80.155,NA
"62",85001,"MiamiBeach","39","2020-09-21","Total_Nitrogen",0.462,"mg/L",25.7813,-80.1556,NA
"63",85002,"MiamiBeach","54","2020-01-10","Total_Nitrogen",0.479,"mg/L",25.7965,-80.1425,NA
"64",85003,"MiamiBeach","4","2020-07-29","Total_Nitrogen",0.293,"mg/L",25.8463,-80.1282,NA
"65",85004,"MiamiBeach","34","2020-09-23","Total_Nitrogen",0.323,"mg/L",25.7858,-80.1656,NA
"66",85005,"MiamiBeach","17","2020-08-13","Total_Nitrogen",0.111,"mg/L",25.8052,-80.1268,NA
"67",85006,"MiamiBeach","38","2020-10-22","Total_Nitrogen",0.101,"mg/L",25.7775,-80.1562,NA
"68",85007,"MiamiBeach","71","2020-11-15","Total_Nitrogen",0.347,"mg/L",25.867,-80.1243,NA
"69",85008,"MiamiBeach","19","2020-12-22","Total_Nitrogen",0.328,"mg/L",25.8134,-80.1246,NA
"70",85009,"MiamiBeach","67","2020-05-20","Total_Nitrogen",0.225,"mg/L",25.8388,-80.1225,NA
"71",85010,"MiamiBeach","54","2020-05-12","Total_Nitrogen",0.456,"mg/L",25.7965,-80.1425,NA
"72",85011,"MiamiBeach","17","2020-08-11","Total_Nitrogen",0.778,"mg/L",25.8052,-80.1268,NA
"73",85012,"MiamiBeach","29","2020-02-09","Total_Nitrogen",0.434,"mg/L",25.7876,-80.1577,NA
"74",85013,"MiamiBeach","38","2020-06-18","Total_Nitrogen",0.426,"mg/L",25.7775,-80.1562,NA
"75",85014,"MiamiBeach","19","2020-08-15","Total_Nitrogen",0.395,"mg/L",25.8134,-80.1246,NA
